ward,precinct,total,Dan Brady,Dan Brady Percent,John C. Milhiser,John C. Milhiser Percent,precinct_id
1,1,11,11,100.0,0,0.0,01001
1,2,10,8,80.0,2,20.0,01002
1,3,14,11,78.57,3,21.43,01003
1,4,16,12,75.0,4,25.0,01004
1,5,9,6,66.67,3,33.33,01005
1,6,12,7,58.33,5,41.67,01006
1,7,9,7,77.78,2,22.22,01007
1,8,11,7,63.64,4,36.36,01008
1,9,14,8,57.14,6,42.86,01009
1,10,8,3,37.5,5,62.5,01010
1,11,10,7,70.0,3,30.0,01011
1,12,19,17,89.47,2,10.53,01012
1,13,7,7,100.0,0,0.0,01013
1,14,17,15,88.24,2,11.76,01014
1,15,8,5,62.5,3,37.5,01015
1,16,9,5,55.56,4,44.44,01016
1,17,10,7,70.0,3,30.0,01017
1,18,7,4,57.14,3,42.86,01018
1,19,10,10,100.0,0,0.0,01019
1,20,11,9,81.82,2,18.18,01020
1,21,13,9,69.23,4,30.77,01021
1,22,9,7,77.78,2,22.22,01022
1,23,5,1,20.0,4,80.0,01023
1,24,4,3,75.0,1,25.0,01024
1,25,3,3,100.0,0,0.0,01025
1,26,7,5,71.43,2,28.57,01026
1,27,11,8,72.73,3,27.27,01027
1,28,2,1,50.0,1,50.0,01028
1,29,13,9,69.23,4,30.77,01029
1,30,12,7,58.33,5,41.67,01030
1,31,8,7,87.5,1,12.5,01031
1,32,14,7,50.0,7,50.0,01032
1,33,22,15,68.18,7,31.82,01033
1,34,6,2,33.33,4,66.67,01034
1,35,15,8,53.33,7,46.67,01035
1,36,16,9,56.25,7,43.75,01036
1,37,33,20,60.61,13,39.39,01037
1,38,10,8,80.0,2,20.0,01038
1,39,11,10,90.91,1,9.09,01039
1,40,20,12,60.0,8,40.0,01040
1,41,6,5,83.33,1,16.67,01041
1,42,5,2,40.0,3,60.0,01042
1,43,8,7,87.5,1,12.5,01043
1,44,8,7,87.5,1,12.5,01044
2,1,11,8,72.73,3,27.27,02001
2,2,28,20,71.43,8,28.57,02002
2,3,9,3,33.33,6,66.67,02003
2,4,9,6,66.67,3,33.33,02004
2,5,14,11,78.57,3,21.43,02005
2,6,13,8,61.54,5,38.46,02006
2,7,12,8,66.67,4,33.33,02007
2,8,14,9,64.29,5,35.71,02008
2,9,23,20,86.96,3,13.04,02009
2,10,45,30,66.67,15,33.33,02010
2,11,31,25,80.65,6,19.35,02011
2,12,19,12,63.16,7,36.84,02012
2,13,37,28,75.68,9,24.32,02013
2,14,18,13,72.22,5,27.78,02014
2,15,21,10,47.62,11,52.38,02015
2,16,9,7,77.78,2,22.22,02016
2,17,14,14,100.0,0,0.0,02017
2,18,25,17,68.0,8,32.0,02018
2,19,31,22,70.97,9,29.03,02019
2,20,22,17,77.27,5,22.73,02020
2,21,13,8,61.54,5,38.46,02021
2,22,41,29,70.73,12,29.27,02022
2,23,20,15,75.0,5,25.0,02023
2,24,23,15,65.22,8,34.78,02024
2,25,9,9,100.0,0,0.0,02025
2,26,23,14,60.87,9,39.13,02026
2,27,39,25,64.1,14,35.9,02027
2,28,25,22,88.0,3,12.0,02028
2,29,25,14,56.0,11,44.0,02029
2,30,42,28,66.67,14,33.33,02030
2,31,40,34,85.0,6,15.0,02031
2,32,16,12,75.0,4,25.0,02032
2,33,45,32,71.11,13,28.89,02033
2,34,31,31,100.0,0,0.0,02034
2,35,43,31,72.09,12,27.91,02035
2,36,35,26,74.29,9,25.71,02036
2,37,32,27,84.38,5,15.63,02037
2,38,44,32,72.73,12,27.27,02038
2,39,28,24,85.71,4,14.29,02039
2,40,29,20,68.97,9,31.03,02040
2,41,36,27,75.0,9,25.0,02041
2,42,12,11,91.67,1,8.33,02042
2,43,40,32,80.0,8,20.0,02043
2,44,41,33,80.49,8,19.51,02044
2,45,25,13,52.0,12,48.0,02045
2,46,17,14,82.35,3,17.65,02046
3,1,3,3,100.0,0,0.0,03001
3,2,4,3,75.0,1,25.0,03002
3,3,10,4,40.0,6,60.0,03003
3,4,6,5,83.33,1,16.67,03004
3,5,6,3,50.0,3,50.0,03005
3,6,32,20,62.5,12,37.5,03006
3,7,3,3,100.0,0,0.0,03007
3,8,1,0,0.0,1,100.0,03008
3,9,4,4,100.0,0,0.0,03009
3,10,2,2,100.0,0,0.0,03010
3,11,6,4,66.67,2,33.33,03011
3,12,6,4,66.67,2,33.33,03012
3,13,16,11,68.75,5,31.25,03013
3,14,7,4,57.14,3,42.86,03014
3,15,3,3,100.0,0,0.0,03015
3,16,2,0,0.0,2,100.0,03016
3,17,12,8,66.67,4,33.33,03017
3,18,5,2,40.0,3,60.0,03018
3,19,33,25,75.76,8,24.24,03019
3,20,2,2,100.0,0,0.0,03020
3,21,27,18,66.67,9,33.33,03021
3,22,23,19,82.61,4,17.39,03022
3,23,5,4,80.0,1,20.0,03023
3,24,0,0,0.0,0,0.0,03024
3,25,39,30,76.92,9,23.08,03025
3,26,41,23,56.1,18,43.9,03026
3,27,36,25,69.44,11,30.56,03027
3,28,3,3,100.0,0,0.0,03028
3,29,2,2,100.0,0,0.0,03029
