ward,precinct,total,Darren Bailey & Stephanie Trussell,Darren Bailey & Stephanie Trussell Percent,Paul Schimpf & Carolyn Schofield,Paul Schimpf & Carolyn Schofield Percent,Richard C. Irvin & Avery Bourne,Richard C. Irvin & Avery Bourne Percent,Gary Rabine & Aaron Del Mar,Gary Rabine & Aaron Del Mar Percent,Max Solomon & Latasha H. Fields,Max Solomon & Latasha H. Fields Percent,Jesse Sullivan & Kathleen Murphy,Jesse Sullivan & Kathleen Murphy Percent,precinct_id
1,1,15,7,46.67,0,0.0,3,20.0,1,6.67,0,0.0,4,26.67,01001
1,2,12,1,8.33,3,25.0,5,41.67,0,0.0,0,0.0,3,25.0,01002
1,3,15,4,26.67,5,33.33,3,20.0,0,0.0,0,0.0,3,20.0,01003
1,4,20,4,20.0,1,5.0,10,50.0,3,15.0,0,0.0,2,10.0,01004
1,5,11,1,9.09,0,0.0,10,90.91,0,0.0,0,0.0,0,0.0,01005
1,6,13,1,7.69,2,15.38,7,53.85,2,15.38,0,0.0,1,7.69,01006
1,7,9,2,22.22,0,0.0,4,44.44,1,11.11,0,0.0,2,22.22,01007
1,8,15,4,26.67,2,13.33,7,46.67,1,6.67,0,0.0,1,6.67,01008
1,9,15,3,20.0,0,0.0,4,26.67,3,20.0,0,0.0,5,33.33,01009
1,10,13,3,23.08,0,0.0,9,69.23,1,7.69,0,0.0,0,0.0,01010
1,11,13,2,15.38,0,0.0,9,69.23,0,0.0,1,7.69,1,7.69,01011
1,12,21,10,47.62,2,9.52,3,14.29,1,4.76,1,4.76,4,19.05,01012
1,13,7,0,0.0,0,0.0,4,57.14,0,0.0,0,0.0,3,42.86,01013
1,14,19,4,21.05,1,5.26,10,52.63,2,10.53,1,5.26,1,5.26,01014
1,15,8,2,25.0,0,0.0,5,62.5,1,12.5,0,0.0,0,0.0,01015
1,16,10,3,30.0,0,0.0,2,20.0,1,10.0,0,0.0,4,40.0,01016
1,17,10,6,60.0,0,0.0,1,10.0,2,20.0,0,0.0,1,10.0,01017
1,18,8,4,50.0,0,0.0,1,12.5,0,0.0,0,0.0,3,37.5,01018
1,19,16,8,50.0,0,0.0,4,25.0,1,6.25,0,0.0,3,18.75,01019
1,20,11,5,45.45,0,0.0,2,18.18,1,9.09,0,0.0,3,27.27,01020
1,21,15,3,20.0,0,0.0,9,60.0,1,6.67,1,6.67,1,6.67,01021
1,22,9,2,22.22,0,0.0,5,55.56,1,11.11,0,0.0,1,11.11,01022
1,23,5,3,60.0,1,20.0,0,0.0,0,0.0,0,0.0,1,20.0,01023
1,24,7,1,14.29,1,14.29,2,28.57,1,14.29,1,14.29,1,14.29,01024
1,25,4,0,0.0,0,0.0,2,50.0,2,50.0,0,0.0,0,0.0,01025
1,26,8,5,62.5,0,0.0,2,25.0,0,0.0,1,12.5,0,0.0,01026
1,27,13,7,53.85,1,7.69,4,30.77,0,0.0,0,0.0,1,7.69,01027
1,28,2,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,01028
1,29,14,4,28.57,0,0.0,7,50.0,0,0.0,1,7.14,2,14.29,01029
1,30,13,3,23.08,0,0.0,4,30.77,1,7.69,0,0.0,5,38.46,01030
1,31,10,2,20.0,0,0.0,3,30.0,1,10.0,1,10.0,3,30.0,01031
1,32,16,5,31.25,1,6.25,5,31.25,2,12.5,1,6.25,2,12.5,01032
1,33,24,6,25.0,2,8.33,10,41.67,1,4.17,1,4.17,4,16.67,01033
1,34,6,1,16.67,0,0.0,3,50.0,1,16.67,0,0.0,1,16.67,01034
1,35,15,3,20.0,1,6.67,9,60.0,0,0.0,0,0.0,2,13.33,01035
1,36,17,4,23.53,2,11.76,9,52.94,0,0.0,0,0.0,2,11.76,01036
1,37,34,12,35.29,0,0.0,12,35.29,3,8.82,0,0.0,7,20.59,01037
1,38,11,0,0.0,0,0.0,7,63.64,1,9.09,0,0.0,3,27.27,01038
1,39,13,4,30.77,0,0.0,7,53.85,0,0.0,0,0.0,2,15.38,01039
1,40,26,10,38.46,0,0.0,10,38.46,3,11.54,0,0.0,3,11.54,01040
1,41,9,5,55.56,0,0.0,2,22.22,0,0.0,0,0.0,2,22.22,01041
1,42,5,0,0.0,0,0.0,3,60.0,2,40.0,0,0.0,0,0.0,01042
1,43,8,6,75.0,0,0.0,1,12.5,0,0.0,0,0.0,1,12.5,01043
1,44,9,2,22.22,0,0.0,6,66.67,0,0.0,1,11.11,0,0.0,01044
2,1,12,6,50.0,0,0.0,3,25.0,0,0.0,0,0.0,3,25.0,02001
2,2,31,14,45.16,3,9.68,10,32.26,0,0.0,1,3.23,3,9.68,02002
2,3,12,3,25.0,1,8.33,8,66.67,0,0.0,0,0.0,0,0.0,02003
2,4,9,3,33.33,1,11.11,5,55.56,0,0.0,0,0.0,0,0.0,02004
2,5,19,7,36.84,0,0.0,8,42.11,0,0.0,0,0.0,4,21.05,02005
2,6,14,2,14.29,3,21.43,5,35.71,2,14.29,0,0.0,2,14.29,02006
2,7,14,6,42.86,2,14.29,1,7.14,2,14.29,2,14.29,1,7.14,02007
2,8,15,2,13.33,0,0.0,11,73.33,1,6.67,0,0.0,1,6.67,02008
2,9,23,10,43.48,2,8.7,5,21.74,0,0.0,1,4.35,5,21.74,02009
2,10,48,9,18.75,6,12.5,21,43.75,4,8.33,0,0.0,8,16.67,02010
2,11,42,19,45.24,3,7.14,16,38.1,0,0.0,1,2.38,3,7.14,02011
2,12,23,6,26.09,0,0.0,12,52.17,1,4.35,0,0.0,4,17.39,02012
2,13,40,18,45.0,6,15.0,8,20.0,2,5.0,0,0.0,6,15.0,02013
2,14,20,11,55.0,1,5.0,5,25.0,2,10.0,0,0.0,1,5.0,02014
2,15,24,9,37.5,0,0.0,7,29.17,2,8.33,2,8.33,4,16.67,02015
2,16,10,6,60.0,0,0.0,4,40.0,0,0.0,0,0.0,0,0.0,02016
2,17,14,6,42.86,1,7.14,4,28.57,1,7.14,1,7.14,1,7.14,02017
2,18,27,4,14.81,3,11.11,15,55.56,1,3.7,0,0.0,4,14.81,02018
2,19,34,16,47.06,0,0.0,16,47.06,0,0.0,0,0.0,2,5.88,02019
2,20,26,6,23.08,2,7.69,13,50.0,1,3.85,0,0.0,4,15.38,02020
2,21,16,4,25.0,1,6.25,4,25.0,2,12.5,0,0.0,5,31.25,02021
2,22,46,12,26.09,3,6.52,22,47.83,1,2.17,1,2.17,7,15.22,02022
2,23,26,10,38.46,3,11.54,12,46.15,0,0.0,0,0.0,1,3.85,02023
2,24,24,12,50.0,0,0.0,10,41.67,0,0.0,0,0.0,2,8.33,02024
2,25,10,2,20.0,2,20.0,4,40.0,0,0.0,0,0.0,2,20.0,02025
2,26,27,5,18.52,0,0.0,21,77.78,0,0.0,0,0.0,1,3.7,02026
2,27,48,21,43.75,3,6.25,17,35.42,0,0.0,1,2.08,6,12.5,02027
2,28,27,11,40.74,2,7.41,11,40.74,0,0.0,0,0.0,3,11.11,02028
2,29,31,8,25.81,2,6.45,13,41.94,1,3.23,0,0.0,7,22.58,02029
2,30,49,23,46.94,6,12.24,13,26.53,2,4.08,0,0.0,5,10.2,02030
2,31,46,12,26.09,6,13.04,19,41.3,2,4.35,0,0.0,7,15.22,02031
2,32,20,7,35.0,2,10.0,9,45.0,0,0.0,0,0.0,2,10.0,02032
2,33,50,19,38.0,3,6.0,14,28.0,1,2.0,3,6.0,10,20.0,02033
2,34,34,6,17.65,9,26.47,8,23.53,3,8.82,1,2.94,7,20.59,02034
2,35,44,15,34.09,2,4.55,17,38.64,4,9.09,1,2.27,5,11.36,02035
2,36,37,12,32.43,2,5.41,11,29.73,3,8.11,1,2.7,8,21.62,02036
2,37,33,10,30.3,0,0.0,11,33.33,5,15.15,0,0.0,7,21.21,02037
2,38,50,24,48.0,1,2.0,20,40.0,1,2.0,0,0.0,4,8.0,02038
2,39,31,15,48.39,2,6.45,9,29.03,2,6.45,1,3.23,2,6.45,02039
2,40,33,16,48.48,2,6.06,10,30.3,0,0.0,0,0.0,5,15.15,02040
2,41,37,15,40.54,2,5.41,12,32.43,3,8.11,0,0.0,5,13.51,02041
2,42,15,8,53.33,0,0.0,4,26.67,1,6.67,0,0.0,2,13.33,02042
2,43,46,14,30.43,2,4.35,24,52.17,2,4.35,1,2.17,3,6.52,02043
2,44,46,22,47.83,5,10.87,13,28.26,2,4.35,0,0.0,4,8.7,02044
2,45,27,5,18.52,0,0.0,15,55.56,2,7.41,0,0.0,5,18.52,02045
2,46,22,9,40.91,0,0.0,13,59.09,0,0.0,0,0.0,0,0.0,02046
3,1,5,2,40.0,0,0.0,2,40.0,0,0.0,0,0.0,1,20.0,03001
3,2,6,3,50.0,0,0.0,2,33.33,0,0.0,0,0.0,1,16.67,03002
3,3,13,7,53.85,1,7.69,4,30.77,1,7.69,0,0.0,0,0.0,03003
3,4,6,0,0.0,1,16.67,1,16.67,2,33.33,0,0.0,2,33.33,03004
3,5,7,4,57.14,0,0.0,3,42.86,0,0.0,0,0.0,0,0.0,03005
3,6,34,20,58.82,0,0.0,6,17.65,4,11.76,0,0.0,4,11.76,03006
3,7,4,2,50.0,0,0.0,1,25.0,1,25.0,0,0.0,0,0.0,03007
3,8,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,03008
3,9,3,1,33.33,0,0.0,2,66.67,0,0.0,0,0.0,0,0.0,03009
3,10,2,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,03010
3,11,6,1,16.67,0,0.0,3,50.0,0,0.0,1,16.67,1,16.67,03011
3,12,8,0,0.0,0,0.0,5,62.5,0,0.0,0,0.0,3,37.5,03012
3,13,16,2,12.5,2,12.5,8,50.0,1,6.25,0,0.0,3,18.75,03013
3,14,8,1,12.5,1,12.5,5,62.5,0,0.0,0,0.0,1,12.5,03014
3,15,3,1,33.33,0,0.0,1,33.33,0,0.0,1,33.33,0,0.0,03015
3,16,3,2,66.67,0,0.0,1,33.33,0,0.0,0,0.0,0,0.0,03016
3,17,14,4,28.57,0,0.0,3,21.43,2,14.29,0,0.0,5,35.71,03017
3,18,7,1,14.29,0,0.0,2,28.57,2,28.57,0,0.0,2,28.57,03018
3,19,40,16,40.0,2,5.0,17,42.5,1,2.5,1,2.5,3,7.5,03019
3,20,2,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,03020
3,21,31,5,16.13,6,19.35,7,22.58,3,9.68,0,0.0,10,32.26,03021
3,22,25,10,40.0,0,0.0,8,32.0,2,8.0,2,8.0,3,12.0,03022
3,23,5,1,20.0,0,0.0,3,60.0,0,0.0,0,0.0,1,20.0,03023
3,24,2,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,1,50.0,03024
3,25,46,13,28.26,5,10.87,21,45.65,0,0.0,0,0.0,7,15.22,03025
3,26,46,15,32.61,4,8.7,21,45.65,4,8.7,0,0.0,2,4.35,03026
3,27,37,18,48.65,1,2.7,10,27.03,2,5.41,1,2.7,5,13.51,03027
3,28,3,1,33.33,0,0.0,1,33.33,0,0.0,0,0.0,1,33.33,03028
3,29,2,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,03029
3,30,3,1,33.33,1,33.33,0,0.0,0,0.0,1,33.33,0,0.0,03030
3,31,2,0,0.0,0,0.0,2,100.0,0,0.0,0,0.0,0,0.0,03031
3,32,26,11,42.31,0,0.0,8,30.77,0,0.0,0,0.0,7,26.92,03032
3,33,15,4,26.67,2,13.33,4,26.67,3,20.0,1,6.67,1,6.67,03033
3,34,17,5,29.41,1,5.88,6,35.29,1,5.88,0,0.0,4,23.53,03034
3,35,1,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,03035
3,36,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03036
3,37,2,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,1,50.0,03037
3,38,3,1,33.33,0,0.0,1,33.33,0,0.0,0,0.0,1,33.33,03038
3,39,31,7,22.58,5,16.13,15,48.39,2,6.45,0,0.0,2,6.45,03039
3,40,13,3,23.08,0,0.0,8,61.54,0,0.0,0,0.0,2,15.38,03040
3,41,9,4,44.44,0,0.0,1,11.11,0,0.0,0,0.0,4,44.44,03041
4,1,2,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,04001
4,2,26,11,42.31,1,3.85,10,38.46,0,0.0,1,3.85,3,11.54,04002
4,3,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,04003
4,4,9,5,55.56,0,0.0,3,33.33,0,0.0,0,0.0,1,11.11,04004
4,5,9,5,55.56,0,0.0,2,22.22,0,0.0,1,11.11,1,11.11,04005
4,6,11,7,63.64,0,0.0,1,9.09,1,9.09,0,0.0,2,18.18,04006
4,7,3,0,0.0,0,0.0,3,100.0,0,0.0,0,0.0,0,0.0,04007
4,8,1,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,04008
4,9,5,0,0.0,0,0.0,2,40.0,0,0.0,1,20.0,2,40.0,04009
4,10,12,2,16.67,0,0.0,4,33.33,0,0.0,4,33.33,2,16.67,04010
4,11,2,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,04011
4,12,7,0,0.0,0,0.0,3,42.86,0,0.0,1,14.29,3,42.86,04012
4,13,8,3,37.5,0,0.0,3,37.5,1,12.5,1,12.5,0,0.0,04013
4,14,7,1,14.29,0,0.0,2,28.57,1,14.29,0,0.0,3,42.86,04014
4,15,5,2,40.0,0,0.0,2,40.0,0,0.0,0,0.0,1,20.0,04015
4,16,31,7,22.58,4,12.9,11,35.48,6,19.35,1,3.23,2,6.45,04016
4,17,22,4,18.18,4,18.18,8,36.36,1,4.55,0,0.0,5,22.73,04017
4,18,6,3,50.0,0,0.0,3,50.0,0,0.0,0,0.0,0,0.0,04018
4,19,2,0,0.0,0,0.0,1,50.0,0,0.0,0,0.0,1,50.0,04019
4,20,26,5,19.23,3,11.54,8,30.77,2,7.69,2,7.69,6,23.08,04020
4,21,18,3,16.67,3,16.67,6,33.33,3,16.67,2,11.11,1,5.56,04021
4,22,9,2,22.22,3,33.33,3,33.33,0,0.0,0,0.0,1,11.11,04022
4,23,3,2,66.67,0,0.0,1,33.33,0,0.0,0,0.0,0,0.0,04023
4,24,9,7,77.78,0,0.0,1,11.11,0,0.0,1,11.11,0,0.0,04024
4,25,27,11,40.74,5,18.52,6,22.22,0,0.0,2,7.41,3,11.11,04025
4,26,2,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,04026
