ward,precinct,total,Richard A. Devine,Richard A. Devine Percent,Tommy H. Brewer,Tommy H. Brewer Percent,precinct_id
1,1,138,108,78.26,30,21.74,01001
1,2,141,113,80.14,28,19.86,01002
1,3,98,82,83.67,16,16.33,01003
1,4,132,108,81.82,24,18.18,01004
1,5,119,89,74.79,30,25.21,01005
1,6,102,85,83.33,17,16.67,01006
1,7,145,122,84.14,23,15.86,01007
1,8,127,105,82.68,22,17.32,01008
1,9,144,112,77.78,32,22.22,01009
1,10,91,68,74.73,23,25.27,01010
1,11,122,93,76.23,29,23.77,01011
1,12,113,90,79.65,23,20.35,01012
1,13,139,116,83.45,23,16.55,01013
1,14,171,133,77.78,38,22.22,01014
1,15,90,70,77.78,20,22.22,01015
1,16,79,64,81.01,15,18.99,01016
1,17,122,92,75.41,30,24.59,01017
1,18,107,83,77.57,24,22.43,01018
1,19,144,112,77.78,32,22.22,01019
1,20,137,107,78.1,30,21.9,01020
1,21,147,116,78.91,31,21.09,01021
1,22,117,101,86.32,16,13.68,01022
1,23,127,99,77.95,28,22.05,01023
1,24,222,174,78.38,48,21.62,01024
1,25,100,81,81.0,19,19.0,01025
1,26,123,102,82.93,21,17.07,01026
1,27,105,77,73.33,28,26.67,01027
1,28,143,117,81.82,26,18.18,01028
1,29,104,77,74.04,27,25.96,01029
1,30,193,157,81.35,36,18.65,01030
1,31,69,57,82.61,12,17.39,01031
1,32,93,74,79.57,19,20.43,01032
1,33,140,123,87.86,17,12.14,01033
1,34,76,56,73.68,20,26.32,01034
1,35,59,44,74.58,15,25.42,01035
1,36,122,91,74.59,31,25.41,01036
1,37,131,101,77.1,30,22.9,01037
1,38,71,60,84.51,11,15.49,01038
1,39,170,141,82.94,29,17.06,01039
1,40,51,47,92.16,4,7.84,01040
2,1,183,135,73.77,48,26.23,02001
2,2,9,5,55.56,4,44.44,02002
2,3,91,65,71.43,26,28.57,02003
2,4,124,87,70.16,37,29.84,02004
2,5,85,51,60.0,34,40.0,02005
2,6,85,63,74.12,22,25.88,02006
2,7,227,150,66.08,77,33.92,02007
2,8,202,150,74.26,52,25.74,02008
2,9,114,84,73.68,30,26.32,02009
2,10,41,29,70.73,12,29.27,02010
2,11,97,69,71.13,28,28.87,02011
2,12,91,74,81.32,17,18.68,02012
2,13,133,89,66.92,44,33.08,02013
2,14,294,190,64.63,104,35.37,02014
2,15,30,25,83.33,5,16.67,02015
2,16,106,85,80.19,21,19.81,02016
2,17,143,98,68.53,45,31.47,02017
2,18,312,255,81.73,57,18.27,02018
2,19,85,57,67.06,28,32.94,02019
2,20,176,124,70.45,52,29.55,02020
2,21,195,134,68.72,61,31.28,02021
2,22,299,220,73.58,79,26.42,02022
2,23,114,78,68.42,36,31.58,02023
2,24,95,66,69.47,29,30.53,02024
2,25,94,77,81.91,17,18.09,02025
2,26,191,147,76.96,44,23.04,02026
2,27,102,70,68.63,32,31.37,02027
2,28,47,34,72.34,13,27.66,02028
2,29,72,53,73.61,19,26.39,02029
2,30,101,76,75.25,25,24.75,02030
2,31,204,131,64.22,73,35.78,02031
2,32,83,61,73.49,22,26.51,02032
2,33,101,68,67.33,33,32.67,02033
2,34,178,128,71.91,50,28.09,02034
2,35,43,29,67.44,14,32.56,02035
2,36,74,46,62.16,28,37.84,02036
2,37,176,130,73.86,46,26.14,02037
2,38,177,130,73.45,47,26.55,02038
2,39,137,105,76.64,32,23.36,02039
2,40,198,131,66.16,67,33.84,02040
2,41,90,62,68.89,28,31.11,02041
2,42,52,42,80.77,10,19.23,02042
2,43,210,160,76.19,50,23.81,02043
2,44,105,68,64.76,37,35.24,02044
2,45,135,98,72.59,37,27.41,02045
2,46,274,166,60.58,108,39.42,02046
2,47,155,106,68.39,49,31.61,02047
2,48,102,69,67.65,33,32.35,02048
2,49,130,99,76.15,31,23.85,02049
2,50,103,72,69.9,31,30.1,02050
2,51,133,98,73.68,35,26.32,02051
2,52,139,102,73.38,37,26.62,02052
2,53,65,49,75.38,16,24.62,02053
2,54,173,118,68.21,55,31.79,02054
2,55,34,23,67.65,11,32.35,02055
2,56,153,101,66.01,52,33.99,02056
2,57,82,56,68.29,26,31.71,02057
2,58,59,38,64.41,21,35.59,02058
2,59,182,140,76.92,42,23.08,02059
3,1,130,87,66.92,43,33.08,03001
3,2,236,137,58.05,99,41.95,03002
3,3,112,83,74.11,29,25.89,03003
3,4,56,42,75.0,14,25.0,03004
3,5,93,59,63.44,34,36.56,03005
3,6,95,59,62.11,36,37.89,03006
3,7,140,84,60.0,56,40.0,03007
3,8,27,19,70.37,8,29.63,03008
3,9,116,75,64.66,41,35.34,03009
3,10,72,44,61.11,28,38.89,03010
3,11,74,52,70.27,22,29.73,03011
3,12,148,95,64.19,53,35.81,03012
3,13,107,87,81.31,20,18.69,03013
3,14,70,43,61.43,27,38.57,03014
3,15,153,106,69.28,47,30.72,03015
3,16,246,149,60.57,97,39.43,03016
3,17,100,69,69.0,31,31.0,03017
3,18,89,55,61.8,34,38.2,03018
3,19,16,9,56.25,7,43.75,03019
3,20,10,7,70.0,3,30.0,03020
3,21,95,68,71.58,27,28.42,03021
3,22,97,58,59.79,39,40.21,03022
3,23,22,15,68.18,7,31.82,03023
3,24,96,64,66.67,32,33.33,03024
3,25,22,16,72.73,6,27.27,03025
3,26,100,68,68.0,32,32.0,03026
3,27,7,5,71.43,2,28.57,03027
3,28,80,54,67.5,26,32.5,03028
3,29,104,74,71.15,30,28.85,03029
3,30,118,82,69.49,36,30.51,03030
3,31,193,125,64.77,68,35.23,03031
3,32,88,60,68.18,28,31.82,03032
3,33,182,120,65.93,62,34.07,03033
3,34,100,59,59.0,41,41.0,03034
3,35,118,71,60.17,47,39.83,03035
3,36,84,57,67.86,27,32.14,03036
3,37,78,47,60.26,31,39.74,03037
3,38,35,25,71.43,10,28.57,03038
3,39,209,108,51.67,101,48.33,03039
3,40,141,88,62.41,53,37.59,03040
3,41,132,95,71.97,37,28.03,03041
3,42,105,87,82.86,18,17.14,03042
3,43,34,30,88.24,4,11.76,03043
3,44,64,44,68.75,20,31.25,03044
3,45,55,43,78.18,12,21.82,03045
3,46,136,83,61.03,53,38.97,03046
3,47,96,70,72.92,26,27.08,03047
3,48,102,71,69.61,31,30.39,03048
3,49,30,16,53.33,14,46.67,03049
3,50,117,85,72.65,32,27.35,03050
3,51,41,31,75.61,10,24.39,03051
3,52,54,31,57.41,23,42.59,03052
3,53,137,90,65.69,47,34.31,03053
3,54,120,100,83.33,20,16.67,03054
3,55,101,64,63.37,37,36.63,03055
3,56,124,80,64.52,44,35.48,03056
3,57,174,112,64.37,62,35.63,03057
3,58,46,24,52.17,22,47.83,03058
3,59,59,41,69.49,18,30.51,03059
3,60,125,88,70.4,37,29.6,03060
3,61,116,83,71.55,33,28.45,03061
3,62,78,35,44.87,43,55.13,03062
3,63,70,55,78.57,15,21.43,03063
4,1,193,117,60.62,76,39.38,04001
4,2,265,165,62.26,100,37.74,04002
4,3,267,184,68.91,83,31.09,04003
4,4,242,161,66.53,81,33.47,04004
4,5,242,145,59.92,97,40.08,04005
4,6,102,58,56.86,44,43.14,04006
4,7,148,92,62.16,56,37.84,04007
4,8,204,131,64.22,73,35.78,04008
4,9,430,275,63.95,155,36.05,04009
4,10,243,144,59.26,99,40.74,04010
4,11,223,154,69.06,69,30.94,04011
4,12,117,61,52.14,56,47.86,04012
4,13,203,146,71.92,57,28.08,04013
4,14,122,79,64.75,43,35.25,04014
4,15,119,83,69.75,36,30.25,04015
4,16,271,183,67.53,88,32.47,04016
4,17,231,157,67.97,74,32.03,04017
4,18,219,159,72.6,60,27.4,04018
4,19,234,165,70.51,69,29.49,04019
4,20,62,41,66.13,21,33.87,04020
4,21,281,180,64.06,101,35.94,04021
4,22,303,204,67.33,99,32.67,04022
4,23,165,113,68.48,52,31.52,04023
4,24,279,181,64.87,98,35.13,04024
4,25,223,144,64.57,79,35.43,04025
4,26,205,120,58.54,85,41.46,04026
4,27,255,168,65.88,87,34.12,04027
4,28,150,102,68.0,48,32.0,04028
4,29,176,122,69.32,54,30.68,04029
4,30,57,39,68.42,18,31.58,04030
4,31,47,32,68.09,15,31.91,04031
4,32,269,185,68.77,84,31.23,04032
4,33,81,48,59.26,33,40.74,04033
4,34,166,123,74.1,43,25.9,04034
4,35,112,68,60.71,44,39.29,04035
4,36,101,67,66.34,34,33.66,04036
4,37,92,68,73.91,24,26.09,04037
4,38,322,226,70.19,96,29.81,04038
4,39,94,61,64.89,33,35.11,04039
4,40,184,137,74.46,47,25.54,04040
4,41,100,75,75.0,25,25.0,04041
4,42,235,160,68.09,75,31.91,04042
4,43,139,92,66.19,47,33.81,04043
4,44,142,101,71.13,41,28.87,04044
4,45,380,261,68.68,119,31.32,04045
4,46,205,116,56.59,89,43.41,04046
4,47,314,220,70.06,94,29.94,04047
4,48,320,217,67.81,103,32.19,04048
4,49,91,64,70.33,27,29.67,04049
4,50,170,124,72.94,46,27.06,04050
4,51,250,156,62.4,94,37.6,04051
4,52,37,22,59.46,15,40.54,04052
4,53,208,147,70.67,61,29.33,04053
4,54,101,78,77.23,23,22.77,04054
4,55,149,97,65.1,52,34.9,04055
4,56,247,181,73.28,66,26.72,04056
4,57,119,81,68.07,38,31.93,04057
5,1,185,100,54.05,85,45.95,05001
5,2,197,122,61.93,75,38.07,05002
5,3,123,76,61.79,47,38.21,05003
5,4,174,101,58.05,73,41.95,05004
5,5,160,94,58.75,66,41.25,05005
5,6,221,126,57.01,95,42.99,05006
5,7,242,116,47.93,126,52.07,05007
5,8,259,138,53.28,121,46.72,05008
5,9,194,109,56.19,85,43.81,05009
5,10,205,110,53.66,95,46.34,05010
5,11,232,111,47.84,121,52.16,05011
5,12,130,95,73.08,35,26.92,05012
5,13,177,98,55.37,79,44.63,05013
5,14,291,190,65.29,101,34.71,05014
5,15,201,108,53.73,93,46.27,05015
5,16,147,91,61.9,56,38.1,05016
5,17,212,136,64.15,76,35.85,05017
5,18,244,144,59.02,100,40.98,05018
5,19,84,37,44.05,47,55.95,05019
5,20,80,48,60.0,32,40.0,05020
5,21,245,170,69.39,75,30.61,05021
5,22,209,139,66.51,70,33.49,05022
5,23,156,91,58.33,65,41.67,05023
5,24,186,137,73.66,49,26.34,05024
5,25,196,121,61.73,75,38.27,05025
5,26,198,122,61.62,76,38.38,05026
5,27,243,143,58.85,100,41.15,05027
5,28,220,113,51.36,107,48.64,05028
5,29,237,131,55.27,106,44.73,05029
5,30,157,76,48.41,81,51.59,05030
5,31,187,119,63.64,68,36.36,05031
5,32,289,160,55.36,129,44.64,05032
5,33,124,78,62.9,46,37.1,05033
5,34,200,119,59.5,81,40.5,05034
5,35,156,103,66.03,53,33.97,05035
5,36,129,89,68.99,40,31.01,05036
5,37,172,105,61.05,67,38.95,05037
5,38,215,134,62.33,81,37.67,05038
5,39,219,125,57.08,94,42.92,05039
5,40,213,143,67.14,70,32.86,05040
5,41,165,106,64.24,59,35.76,05041
5,42,220,137,62.27,83,37.73,05042
5,43,265,133,50.19,132,49.81,05043
5,44,245,144,58.78,101,41.22,05044
5,45,120,78,65.0,42,35.0,05045
5,46,234,141,60.26,93,39.74,05046
5,47,154,97,62.99,57,37.01,05047
5,48,158,82,51.9,76,48.1,05048
5,49,45,31,68.89,14,31.11,05049
5,50,182,121,66.48,61,33.52,05050
5,51,154,87,56.49,67,43.51,05051
5,52,50,24,48.0,26,52.0,05052
5,53,242,159,65.7,83,34.3,05053
5,54,306,151,49.35,155,50.65,05054
5,55,158,97,61.39,61,38.61,05055
6,1,284,153,53.87,131,46.13,06001
6,2,267,151,56.55,116,43.45,06002
6,3,244,137,56.15,107,43.85,06003
6,4,124,63,50.81,61,49.19,06004
6,5,98,60,61.22,38,38.78,06005
6,6,200,127,63.5,73,36.5,06006
6,7,241,146,60.58,95,39.42,06007
6,8,209,119,56.94,90,43.06,06008
6,9,164,72,43.9,92,56.1,06009
6,10,279,158,56.63,121,43.37,06010
6,11,230,145,63.04,85,36.96,06011
6,12,155,93,60.0,62,40.0,06012
6,13,185,100,54.05,85,45.95,06013
6,14,221,135,61.09,86,38.91,06014
6,15,167,110,65.87,57,34.13,06015
6,16,246,139,56.5,107,43.5,06016
6,17,281,136,48.4,145,51.6,06017
6,18,55,40,72.73,15,27.27,06018
6,19,252,138,54.76,114,45.24,06019
6,20,198,110,55.56,88,44.44,06020
6,21,203,106,52.22,97,47.78,06021
6,22,212,113,53.3,99,46.7,06022
6,23,177,94,53.11,83,46.89,06023
6,24,232,137,59.05,95,40.95,06024
6,25,163,102,62.58,61,37.42,06025
6,26,217,133,61.29,84,38.71,06026
6,27,313,179,57.19,134,42.81,06027
6,28,384,213,55.47,171,44.53,06028
6,29,274,147,53.65,127,46.35,06029
6,30,193,102,52.85,91,47.15,06030
6,31,289,177,61.25,112,38.75,06031
6,32,257,161,62.65,96,37.35,06032
6,33,260,165,63.46,95,36.54,06033
