ward,precinct,total,William O. Lipinski,William O. Lipinski Percent,precinct_id
13,38,201,201,100.0,13038
13,39,147,147,100.0,13039
13,40,120,120,100.0,13040
13,41,148,148,100.0,13041
13,42,168,168,100.0,13042
13,43,124,124,100.0,13043
13,44,130,130,100.0,13044
13,45,245,245,100.0,13045
13,46,153,153,100.0,13046
13,47,129,129,100.0,13047
13,48,173,173,100.0,13048
13,49,197,197,100.0,13049
13,50,147,147,100.0,13050
13,51,123,123,100.0,13051
13,52,152,152,100.0,13052
13,53,177,177,100.0,13053
13,54,156,156,100.0,13054
14,2,111,111,100.0,14002
14,25,159,159,100.0,14025
14,28,128,128,100.0,14028
15,1,66,66,100.0,15001
15,10,76,76,100.0,15010
15,13,50,50,100.0,15013
15,14,120,120,100.0,15014
15,15,73,73,100.0,15015
15,16,57,57,100.0,15016
15,25,78,78,100.0,15025
15,28,87,87,100.0,15028
15,32,113,113,100.0,15032
15,44,110,110,100.0,15044
15,49,23,23,100.0,15049
16,1,42,42,100.0,16001
16,4,75,75,100.0,16004
16,6,30,30,100.0,16006
16,7,53,53,100.0,16007
16,11,89,89,100.0,16011
16,13,70,70,100.0,16013
16,17,129,129,100.0,16017
16,23,77,77,100.0,16023
16,32,36,36,100.0,16032
16,35,80,80,100.0,16035
16,39,40,40,100.0,16039
16,42,39,39,100.0,16042
16,47,5,5,100.0,16047
18,3,183,183,100.0,18003
18,6,148,148,100.0,18006
18,15,105,105,100.0,18015
18,28,246,246,100.0,18028
18,41,207,207,100.0,18041
18,43,98,98,100.0,18043
18,48,99,99,100.0,18048
18,55,188,188,100.0,18055
18,56,135,135,100.0,18056
18,57,130,130,100.0,18057
18,64,132,132,100.0,18064
19,1,288,288,100.0,19001
19,2,188,188,100.0,19002
19,3,175,175,100.0,19003
19,4,194,194,100.0,19004
19,5,200,200,100.0,19005
19,6,177,177,100.0,19006
19,7,224,224,100.0,19007
19,8,168,168,100.0,19008
19,9,175,175,100.0,19009
19,10,287,287,100.0,19010
19,11,237,237,100.0,19011
19,12,225,225,100.0,19012
19,13,155,155,100.0,19013
19,14,132,132,100.0,19014
19,15,122,122,100.0,19015
19,16,268,268,100.0,19016
19,17,260,260,100.0,19017
19,18,247,247,100.0,19018
19,19,226,226,100.0,19019
19,20,178,178,100.0,19020
19,21,159,159,100.0,19021
19,22,271,271,100.0,19022
19,23,235,235,100.0,19023
19,24,174,174,100.0,19024
19,25,239,239,100.0,19025
19,26,235,235,100.0,19026
19,27,132,132,100.0,19027
19,29,176,176,100.0,19029
19,30,190,190,100.0,19030
19,31,198,198,100.0,19031
19,32,257,257,100.0,19032
19,33,205,205,100.0,19033
19,34,223,223,100.0,19034
19,35,218,218,100.0,19035
19,36,216,216,100.0,19036
19,37,188,188,100.0,19037
19,38,252,252,100.0,19038
19,39,80,80,100.0,19039
19,40,208,208,100.0,19040
19,41,199,199,100.0,19041
19,42,169,169,100.0,19042
19,44,163,163,100.0,19044
19,45,271,271,100.0,19045
19,46,345,345,100.0,19046
19,47,128,128,100.0,19047
19,49,213,213,100.0,19049
19,51,194,194,100.0,19051
19,52,146,146,100.0,19052
19,53,233,233,100.0,19053
19,54,174,174,100.0,19054
19,55,196,196,100.0,19055
19,56,266,266,100.0,19056
19,57,238,238,100.0,19057
19,58,198,198,100.0,19058
19,59,229,229,100.0,19059
19,61,300,300,100.0,19061
19,62,232,232,100.0,19062
19,63,152,152,100.0,19063
19,64,245,245,100.0,19064
19,65,147,147,100.0,19065
19,67,52,52,100.0,19067
20,41,5,5,100.0,20041
20,51,20,20,100.0,20051
23,1,194,194,100.0,23001
23,2,324,324,100.0,23002
23,3,165,165,100.0,23003
23,4,197,197,100.0,23004
23,5,124,124,100.0,23005
23,6,210,210,100.0,23006
23,7,71,71,100.0,23007
23,8,210,210,100.0,23008
23,10,292,292,100.0,23010
23,11,190,190,100.0,23011
23,12,179,179,100.0,23012
23,13,222,222,100.0,23013
23,14,50,50,100.0,23014
23,15,135,135,100.0,23015
23,16,234,234,100.0,23016
23,17,226,226,100.0,23017
23,18,129,129,100.0,23018
23,19,197,197,100.0,23019
23,20,185,185,100.0,23020
23,21,145,145,100.0,23021
23,22,185,185,100.0,23022
23,23,177,177,100.0,23023
23,25,118,118,100.0,23025
23,26,190,190,100.0,23026
23,27,133,133,100.0,23027
23,28,168,168,100.0,23028
23,30,193,193,100.0,23030
23,31,111,111,100.0,23031
23,32,223,223,100.0,23032
23,33,246,246,100.0,23033
23,34,141,141,100.0,23034
23,35,125,125,100.0,23035
23,36,248,248,100.0,23036
23,37,126,126,100.0,23037
23,38,154,154,100.0,23038
23,39,167,167,100.0,23039
23,40,184,184,100.0,23040
23,41,122,122,100.0,23041
23,42,160,160,100.0,23042
23,43,231,231,100.0,23043
23,44,225,225,100.0,23044
23,45,203,203,100.0,23045
23,46,222,222,100.0,23046
23,47,209,209,100.0,23047
23,48,165,165,100.0,23048
23,49,234,234,100.0,23049
23,50,99,99,100.0,23050
23,51,169,169,100.0,23051
23,52,206,206,100.0,23052
23,53,116,116,100.0,23053
23,54,300,300,100.0,23054
23,55,227,227,100.0,23055
23,56,168,168,100.0,23056
