ward,precinct,total,Dorothy A. Brown,Dorothy A. Brown Percent,Jerry Orbach,Jerry Orbach Percent,precinct_id
1,1,132,78,59.09,54,40.91,01001
1,2,132,92,69.7,40,30.3,01002
1,3,85,76,89.41,9,10.59,01003
1,4,121,80,66.12,41,33.88,01004
1,5,115,84,73.04,31,26.96,01005
1,6,94,60,63.83,34,36.17,01006
1,7,138,89,64.49,49,35.51,01007
1,8,128,92,71.88,36,28.13,01008
1,9,146,96,65.75,50,34.25,01009
1,10,89,63,70.79,26,29.21,01010
1,11,120,79,65.83,41,34.17,01011
1,12,108,77,71.3,31,28.7,01012
1,13,136,81,59.56,55,40.44,01013
1,14,162,129,79.63,33,20.37,01014
1,15,85,65,76.47,20,23.53,01015
1,16,92,83,90.22,9,9.78,01016
1,17,129,92,71.32,37,28.68,01017
1,18,107,88,82.24,19,17.76,01018
1,19,150,99,66.0,51,34.0,01019
1,20,132,101,76.52,31,23.48,01020
1,21,148,103,69.59,45,30.41,01021
1,22,113,94,83.19,19,16.81,01022
1,23,126,84,66.67,42,33.33,01023
1,24,210,158,75.24,52,24.76,01024
1,25,98,80,81.63,18,18.37,01025
1,26,121,79,65.29,42,34.71,01026
1,27,103,78,75.73,25,24.27,01027
1,28,148,118,79.73,30,20.27,01028
1,29,109,81,74.31,28,25.69,01029
1,30,181,135,74.59,46,25.41,01030
1,31,66,46,69.7,20,30.3,01031
1,32,95,67,70.53,28,29.47,01032
1,33,125,91,72.8,34,27.2,01033
1,34,71,53,74.65,18,25.35,01034
1,35,54,35,64.81,19,35.19,01035
1,36,116,89,76.72,27,23.28,01036
1,37,122,91,74.59,31,25.41,01037
1,38,66,50,75.76,16,24.24,01038
1,39,164,114,69.51,50,30.49,01039
1,40,48,37,77.08,11,22.92,01040
2,1,185,151,81.62,34,18.38,02001
2,2,8,7,87.5,1,12.5,02002
2,3,98,82,83.67,16,16.33,02003
2,4,141,137,97.16,4,2.84,02004
2,5,99,94,94.95,5,5.05,02005
2,6,85,59,69.41,26,30.59,02006
2,7,256,235,91.8,21,8.2,02007
2,8,206,157,76.21,49,23.79,02008
2,9,125,119,95.2,6,4.8,02009
2,10,53,51,96.23,2,3.77,02010
2,11,98,79,80.61,19,19.39,02011
2,12,83,57,68.67,26,31.33,02012
2,13,138,120,86.96,18,13.04,02013
2,14,305,285,93.44,20,6.56,02014
2,15,35,31,88.57,4,11.43,02015
2,16,108,92,85.19,16,14.81,02016
2,17,143,139,97.2,4,2.8,02017
2,18,307,222,72.31,85,27.69,02018
2,19,100,87,87.0,13,13.0,02019
2,20,196,183,93.37,13,6.63,02020
2,21,237,211,89.03,26,10.97,02021
2,22,299,231,77.26,68,22.74,02022
2,23,127,116,91.34,11,8.66,02023
2,24,107,103,96.26,4,3.74,02024
2,25,98,77,78.57,21,21.43,02025
2,26,195,176,90.26,19,9.74,02026
2,27,123,119,96.75,4,3.25,02027
2,28,46,40,86.96,6,13.04,02028
2,29,77,67,87.01,10,12.99,02029
2,30,111,105,94.59,6,5.41,02030
2,31,208,203,97.6,5,2.4,02031
2,32,100,91,91.0,9,9.0,02032
2,33,103,94,91.26,9,8.74,02033
2,34,230,217,94.35,13,5.65,02034
