ward,precinct,total,"Emil Jones, Jr.","Emil Jones, Jr. Percent",precinct_id
9,1,259,259,100.0,09001
9,2,202,202,100.0,09002
9,5,199,199,100.0,09005
9,9,252,252,100.0,09009
9,10,204,204,100.0,09010
9,12,211,211,100.0,09012
9,13,306,306,100.0,09013
9,14,296,296,100.0,09014
9,17,171,171,100.0,09017
9,18,6,6,100.0,09018
9,20,250,250,100.0,09020
9,21,177,177,100.0,09021
9,22,239,239,100.0,09022
9,23,163,163,100.0,09023
9,27,120,120,100.0,09027
9,29,167,167,100.0,09029
9,31,182,182,100.0,09031
9,32,227,227,100.0,09032
9,34,178,178,100.0,09034
9,35,221,221,100.0,09035
9,38,213,213,100.0,09038
9,40,252,252,100.0,09040
9,43,140,140,100.0,09043
9,46,178,178,100.0,09046
9,48,256,256,100.0,09048
9,51,146,146,100.0,09051
9,52,237,237,100.0,09052
9,53,1,1,100.0,09053
9,55,45,45,100.0,09055
19,13,220,220,100.0,19013
19,20,219,219,100.0,19020
19,27,164,164,100.0,19027
19,28,313,313,100.0,19028
19,31,232,232,100.0,19031
19,40,236,236,100.0,19040
19,42,200,200,100.0,19042
19,43,276,276,100.0,19043
19,48,188,188,100.0,19048
19,49,309,309,100.0,19049
19,50,261,261,100.0,19050
19,60,257,257,100.0,19060
19,63,186,186,100.0,19063
19,64,323,323,100.0,19064
19,66,222,222,100.0,19066
19,67,53,53,100.0,19067
21,1,328,328,100.0,21001
21,3,337,337,100.0,21003
21,4,317,317,100.0,21004
21,5,225,225,100.0,21005
21,6,188,188,100.0,21006
21,7,240,240,100.0,21007
21,8,281,281,100.0,21008
21,9,233,233,100.0,21009
21,10,163,163,100.0,21010
21,11,220,220,100.0,21011
21,12,204,204,100.0,21012
21,13,102,102,100.0,21013
21,14,208,208,100.0,21014
21,18,234,234,100.0,21018
21,19,197,197,100.0,21019
21,20,111,111,100.0,21020
21,21,250,250,100.0,21021
21,22,224,224,100.0,21022
21,24,221,221,100.0,21024
21,27,261,261,100.0,21027
21,28,163,163,100.0,21028
21,31,292,292,100.0,21031
21,33,210,210,100.0,21033
21,38,199,199,100.0,21038
21,40,227,227,100.0,21040
21,42,253,253,100.0,21042
21,44,207,207,100.0,21044
21,45,198,198,100.0,21045
21,47,313,313,100.0,21047
21,49,294,294,100.0,21049
21,50,222,222,100.0,21050
21,51,248,248,100.0,21051
21,53,27,27,100.0,21053
21,54,225,225,100.0,21054
21,56,164,164,100.0,21056
21,58,161,161,100.0,21058
21,59,298,298,100.0,21059
21,60,214,214,100.0,21060
21,61,243,243,100.0,21061
21,63,207,207,100.0,21063
21,66,179,179,100.0,21066
21,68,212,212,100.0,21068
34,1,307,307,100.0,34001
34,2,220,220,100.0,34002
34,3,132,132,100.0,34003
34,4,188,188,100.0,34004
34,5,144,144,100.0,34005
34,7,300,300,100.0,34007
34,8,270,270,100.0,34008
34,9,172,172,100.0,34009
34,10,311,311,100.0,34010
34,11,157,157,100.0,34011
34,12,207,207,100.0,34012
34,13,202,202,100.0,34013
34,14,154,154,100.0,34014
34,15,170,170,100.0,34015
34,16,134,134,100.0,34016
34,17,185,185,100.0,34017
34,18,163,163,100.0,34018
34,19,167,167,100.0,34019
34,20,318,318,100.0,34020
34,21,250,250,100.0,34021
34,22,285,285,100.0,34022
34,23,201,201,100.0,34023
34,24,230,230,100.0,34024
34,25,131,131,100.0,34025
34,26,180,180,100.0,34026
34,27,128,128,100.0,34027
34,28,150,150,100.0,34028
34,29,305,305,100.0,34029
34,30,321,321,100.0,34030
34,31,131,131,100.0,34031
34,32,278,278,100.0,34032
34,33,126,126,100.0,34033
34,34,244,244,100.0,34034
34,36,272,272,100.0,34036
34,37,106,106,100.0,34037
34,38,135,135,100.0,34038
34,39,152,152,100.0,34039
34,40,238,238,100.0,34040
34,41,208,208,100.0,34041
34,42,265,265,100.0,34042
34,43,247,247,100.0,34043
34,44,315,315,100.0,34044
34,45,280,280,100.0,34045
34,46,147,147,100.0,34046
34,47,120,120,100.0,34047
34,48,249,249,100.0,34048
34,49,270,270,100.0,34049
34,50,179,179,100.0,34050
34,51,321,321,100.0,34051
34,52,175,175,100.0,34052
34,53,176,176,100.0,34053
34,54,182,182,100.0,34054
34,55,153,153,100.0,34055
34,56,166,166,100.0,34056
34,57,106,106,100.0,34057
34,58,172,172,100.0,34058
34,59,190,190,100.0,34059
34,60,135,135,100.0,34060
34,61,117,117,100.0,34061
34,62,273,273,100.0,34062
34,63,203,203,100.0,34063
34,64,49,49,100.0,34064
34,66,223,223,100.0,34066
34,67,192,192,100.0,34067
34,68,131,131,100.0,34068
34,69,181,181,100.0,34069
34,70,203,203,100.0,34070
34,71,187,187,100.0,34071
34,72,147,147,100.0,34072
34,73,175,175,100.0,34073
