ward,precinct,total,Jason E. Tabour,Jason E. Tabour Percent,precinct_id
2,14,6,6,100.0,02014
2,20,1,1,100.0,02020
2,31,2,2,100.0,02031
2,44,1,1,100.0,02044
3,5,5,5,100.0,03005
3,7,3,3,100.0,03007
3,20,1,1,100.0,03020
3,38,2,2,100.0,03038
3,53,2,2,100.0,03053
4,1,4,4,100.0,04001
4,2,3,3,100.0,04002
4,3,3,3,100.0,04003
4,8,1,1,100.0,04008
4,9,2,2,100.0,04009
4,12,2,2,100.0,04012
4,13,3,3,100.0,04013
4,17,7,7,100.0,04017
4,18,10,10,100.0,04018
4,19,2,2,100.0,04019
4,20,2,2,100.0,04020
4,21,3,3,100.0,04021
4,22,2,2,100.0,04022
4,23,2,2,100.0,04023
4,24,4,4,100.0,04024
4,28,10,10,100.0,04028
4,29,3,3,100.0,04029
4,32,4,4,100.0,04032
4,33,2,2,100.0,04033
4,34,2,2,100.0,04034
4,38,7,7,100.0,04038
4,40,2,2,100.0,04040
4,41,6,6,100.0,04041
4,42,3,3,100.0,04042
4,43,3,3,100.0,04043
4,44,2,2,100.0,04044
4,45,3,3,100.0,04045
4,47,2,2,100.0,04047
4,48,4,4,100.0,04048
4,49,1,1,100.0,04049
4,51,4,4,100.0,04051
4,52,2,2,100.0,04052
4,54,1,1,100.0,04054
4,55,3,3,100.0,04055
5,2,3,3,100.0,05002
5,3,1,1,100.0,05003
5,5,1,1,100.0,05005
5,8,4,4,100.0,05008
5,9,2,2,100.0,05009
5,10,2,2,100.0,05010
5,13,2,2,100.0,05013
5,15,4,4,100.0,05015
5,16,2,2,100.0,05016
5,17,2,2,100.0,05017
5,18,1,1,100.0,05018
5,19,2,2,100.0,05019
5,22,2,2,100.0,05022
5,23,1,1,100.0,05023
5,25,4,4,100.0,05025
5,27,11,11,100.0,05027
5,30,8,8,100.0,05030
5,35,9,9,100.0,05035
5,39,9,9,100.0,05039
5,41,5,5,100.0,05041
5,48,4,4,100.0,05048
5,52,1,1,100.0,05052
5,53,3,3,100.0,05053
5,55,1,1,100.0,05055
6,2,1,1,100.0,06002
6,3,2,2,100.0,06003
6,4,1,1,100.0,06004
6,6,1,1,100.0,06006
6,7,2,2,100.0,06007
6,9,2,2,100.0,06009
6,11,2,2,100.0,06011
6,12,4,4,100.0,06012
6,13,4,4,100.0,06013
6,14,2,2,100.0,06014
6,15,2,2,100.0,06015
6,16,1,1,100.0,06016
6,18,1,1,100.0,06018
6,20,2,2,100.0,06020
6,24,1,1,100.0,06024
6,25,2,2,100.0,06025
6,27,2,2,100.0,06027
6,28,1,1,100.0,06028
6,30,1,1,100.0,06030
6,32,3,3,100.0,06032
6,34,1,1,100.0,06034
6,35,2,2,100.0,06035
6,36,2,2,100.0,06036
6,38,2,2,100.0,06038
6,39,1,1,100.0,06039
6,41,1,1,100.0,06041
6,43,2,2,100.0,06043
6,44,3,3,100.0,06044
6,47,2,2,100.0,06047
6,48,1,1,100.0,06048
6,49,2,2,100.0,06049
6,50,2,2,100.0,06050
6,51,2,2,100.0,06051
6,54,1,1,100.0,06054
6,55,1,1,100.0,06055
6,56,1,1,100.0,06056
6,58,1,1,100.0,06058
6,59,1,1,100.0,06059
6,60,1,1,100.0,06060
6,63,1,1,100.0,06063
8,1,2,2,100.0,08001
8,12,3,3,100.0,08012
8,13,1,1,100.0,08013
8,16,1,1,100.0,08016
8,18,1,1,100.0,08018
8,21,3,3,100.0,08021
8,29,2,2,100.0,08029
8,31,1,1,100.0,08031
8,33,1,1,100.0,08033
8,35,3,3,100.0,08035
8,38,1,1,100.0,08038
8,40,1,1,100.0,08040
8,41,1,1,100.0,08041
8,43,1,1,100.0,08043
8,45,2,2,100.0,08045
8,48,2,2,100.0,08048
8,52,1,1,100.0,08052
8,53,3,3,100.0,08053
8,55,1,1,100.0,08055
8,56,1,1,100.0,08056
8,59,3,3,100.0,08059
8,61,1,1,100.0,08061
8,67,2,2,100.0,08067
8,68,2,2,100.0,08068
8,69,1,1,100.0,08069
15,2,1,1,100.0,15002
15,3,1,1,100.0,15003
15,5,1,1,100.0,15005
15,6,1,1,100.0,15006
15,8,1,1,100.0,15008
15,9,2,2,100.0,15009
15,11,4,4,100.0,15011
15,17,1,1,100.0,15017
15,19,3,3,100.0,15019
15,20,1,1,100.0,15020
15,22,2,2,100.0,15022
15,23,2,2,100.0,15023
15,24,2,2,100.0,15024
15,29,2,2,100.0,15029
15,30,1,1,100.0,15030
15,31,1,1,100.0,15031
15,33,2,2,100.0,15033
15,34,1,1,100.0,15034
15,35,2,2,100.0,15035
15,38,1,1,100.0,15038
15,39,1,1,100.0,15039
15,41,4,4,100.0,15041
15,45,1,1,100.0,15045
15,46,1,1,100.0,15046
15,49,2,2,100.0,15049
15,50,1,1,100.0,15050
15,51,1,1,100.0,15051
15,52,1,1,100.0,15052
16,3,1,1,100.0,16003
16,5,1,1,100.0,16005
16,8,4,4,100.0,16008
16,9,1,1,100.0,16009
16,12,2,2,100.0,16012
