ward,precinct,total,Stewart Umholtz,Stewart Umholtz Percent,precinct_id
1,1,11,11,100.0,01001
1,2,6,6,100.0,01002
1,3,7,7,100.0,01003
1,4,4,4,100.0,01004
1,5,4,4,100.0,01005
1,6,13,13,100.0,01006
1,7,9,9,100.0,01007
1,8,2,2,100.0,01008
1,9,6,6,100.0,01009
1,10,7,7,100.0,01010
1,11,6,6,100.0,01011
1,12,7,7,100.0,01012
1,13,5,5,100.0,01013
1,14,4,4,100.0,01014
1,15,4,4,100.0,01015
1,16,1,1,100.0,01016
1,17,4,4,100.0,01017
1,18,5,5,100.0,01018
1,19,5,5,100.0,01019
1,20,8,8,100.0,01020
1,21,11,11,100.0,01021
1,23,5,5,100.0,01023
1,24,7,7,100.0,01024
1,25,4,4,100.0,01025
1,26,5,5,100.0,01026
1,27,5,5,100.0,01027
1,28,4,4,100.0,01028
1,29,7,7,100.0,01029
1,30,11,11,100.0,01030
1,31,8,8,100.0,01031
1,32,10,10,100.0,01032
1,33,11,11,100.0,01033
1,34,1,1,100.0,01034
1,35,4,4,100.0,01035
1,36,13,13,100.0,01036
1,37,5,5,100.0,01037
1,39,10,10,100.0,01039
1,40,12,12,100.0,01040
1,41,15,15,100.0,01041
1,42,8,8,100.0,01042
1,43,5,5,100.0,01043
1,44,6,6,100.0,01044
1,45,5,5,100.0,01045
1,46,2,2,100.0,01046
1,47,5,5,100.0,01047
1,48,4,4,100.0,01048
1,50,2,2,100.0,01050
2,1,21,21,100.0,02001
2,3,11,11,100.0,02003
2,4,2,2,100.0,02004
2,5,3,3,100.0,02005
2,6,16,16,100.0,02006
2,7,2,2,100.0,02007
2,8,26,26,100.0,02008
2,9,2,2,100.0,02009
2,11,9,9,100.0,02011
2,12,25,25,100.0,02012
2,13,9,9,100.0,02013
2,14,6,6,100.0,02014
2,16,10,10,100.0,02016
2,17,2,2,100.0,02017
2,18,17,17,100.0,02018
2,20,1,1,100.0,02020
2,21,7,7,100.0,02021
2,22,22,22,100.0,02022
2,23,4,4,100.0,02023
2,24,1,1,100.0,02024
2,26,16,16,100.0,02026
2,28,9,9,100.0,02028
2,29,2,2,100.0,02029
2,31,2,2,100.0,02031
2,33,1,1,100.0,02033
2,34,3,3,100.0,02034
2,35,7,7,100.0,02035
2,36,1,1,100.0,02036
2,37,23,23,100.0,02037
2,38,7,7,100.0,02038
2,39,6,6,100.0,02039
2,40,9,9,100.0,02040
