ward,precinct,total,Kevin Edward White,Kevin Edward White Percent,precinct_id
1,7,1,1,100.0,01007
1,28,1,1,100.0,01028
1,42,1,1,100.0,01042
29,2,2,2,100.0,29002
29,9,7,7,100.0,29009
29,24,1,1,100.0,29024
29,30,4,4,100.0,29030
29,32,6,6,100.0,29032
30,1,11,11,100.0,30001
30,2,4,4,100.0,30002
30,3,10,10,100.0,30003
30,6,3,3,100.0,30006
30,7,5,5,100.0,30007
30,8,7,7,100.0,30008
30,9,7,7,100.0,30009
30,10,7,7,100.0,30010
30,11,8,8,100.0,30011
30,12,7,7,100.0,30012
30,13,9,9,100.0,30013
30,14,4,4,100.0,30014
30,15,3,3,100.0,30015
30,16,7,7,100.0,30016
30,17,6,6,100.0,30017
30,28,3,3,100.0,30028
30,30,16,16,100.0,30030
30,34,2,2,100.0,30034
30,37,14,14,100.0,30037
30,38,11,11,100.0,30038
30,39,3,3,100.0,30039
30,40,5,5,100.0,30040
31,3,4,4,100.0,31003
31,8,5,5,100.0,31008
31,9,3,3,100.0,31009
31,15,4,4,100.0,31015
31,16,1,1,100.0,31016
31,19,5,5,100.0,31019
31,26,4,4,100.0,31026
31,28,8,8,100.0,31028
31,29,12,12,100.0,31029
31,32,6,6,100.0,31032
31,33,6,6,100.0,31033
31,38,4,4,100.0,31038
31,41,5,5,100.0,31041
31,43,6,6,100.0,31043
31,45,6,6,100.0,31045
31,46,3,3,100.0,31046
31,47,2,2,100.0,31047
31,48,3,3,100.0,31048
31,50,8,8,100.0,31050
32,7,8,8,100.0,32007
32,8,23,23,100.0,32008
32,9,8,8,100.0,32009
32,10,16,16,100.0,32010
32,13,11,11,100.0,32013
32,15,10,10,100.0,32015
32,18,15,15,100.0,32018
32,19,6,6,100.0,32019
32,20,10,10,100.0,32020
32,21,9,9,100.0,32021
32,22,13,13,100.0,32022
32,23,15,15,100.0,32023
32,24,11,11,100.0,32024
32,25,7,7,100.0,32025
32,27,11,11,100.0,32027
32,30,20,20,100.0,32030
32,32,21,21,100.0,32032
32,37,8,8,100.0,32037
32,38,8,8,100.0,32038
32,39,14,14,100.0,32039
32,40,14,14,100.0,32040
32,41,24,24,100.0,32041
32,42,8,8,100.0,32042
32,43,18,18,100.0,32043
32,44,10,10,100.0,32044
32,45,9,9,100.0,32045
32,47,36,36,100.0,32047
32,48,25,25,100.0,32048
32,49,7,7,100.0,32049
32,50,3,3,100.0,32050
33,5,10,10,100.0,33005
33,7,5,5,100.0,33007
33,9,9,9,100.0,33009
33,10,11,11,100.0,33010
33,14,8,8,100.0,33014
33,22,4,4,100.0,33022
33,23,18,18,100.0,33023
33,24,12,12,100.0,33024
33,25,8,8,100.0,33025
35,22,4,4,100.0,35022
35,33,13,13,100.0,35033
36,1,15,15,100.0,36001
36,2,8,8,100.0,36002
36,3,14,14,100.0,36003
36,5,12,12,100.0,36005
36,6,22,22,100.0,36006
36,7,12,12,100.0,36007
36,8,16,16,100.0,36008
36,9,15,15,100.0,36009
36,10,7,7,100.0,36010
36,11,19,19,100.0,36011
36,12,16,16,100.0,36012
36,13,14,14,100.0,36013
36,14,10,10,100.0,36014
36,15,15,15,100.0,36015
36,16,9,9,100.0,36016
36,17,13,13,100.0,36017
36,18,16,16,100.0,36018
36,19,18,18,100.0,36019
36,20,16,16,100.0,36020
36,21,45,45,100.0,36021
36,22,18,18,100.0,36022
36,25,8,8,100.0,36025
36,26,23,23,100.0,36026
36,27,8,8,100.0,36027
36,28,15,15,100.0,36028
36,29,11,11,100.0,36029
36,30,24,24,100.0,36030
36,31,13,13,100.0,36031
36,32,8,8,100.0,36032
36,33,3,3,100.0,36033
36,34,17,17,100.0,36034
36,35,11,11,100.0,36035
36,36,9,9,100.0,36036
36,37,10,10,100.0,36037
36,38,9,9,100.0,36038
36,39,16,16,100.0,36039
36,40,17,17,100.0,36040
36,41,12,12,100.0,36041
36,42,11,11,100.0,36042
36,43,18,18,100.0,36043
36,45,6,6,100.0,36045
36,46,16,16,100.0,36046
36,47,8,8,100.0,36047
36,48,14,14,100.0,36048
36,49,25,25,100.0,36049
36,50,6,6,100.0,36050
36,51,13,13,100.0,36051
36,52,12,12,100.0,36052
36,53,7,7,100.0,36053
36,55,7,7,100.0,36055
38,1,20,20,100.0,38001
38,2,7,7,100.0,38002
38,3,16,16,100.0,38003
38,4,10,10,100.0,38004
38,5,23,23,100.0,38005
38,6,11,11,100.0,38006
38,7,20,20,100.0,38007
38,8,14,14,100.0,38008
38,9,8,8,100.0,38009
38,10,16,16,100.0,38010
38,11,7,7,100.0,38011
38,12,19,19,100.0,38012
38,13,13,13,100.0,38013
38,14,12,12,100.0,38014
38,15,13,13,100.0,38015
38,16,9,9,100.0,38016
38,17,4,4,100.0,38017
38,18,19,19,100.0,38018
38,19,20,20,100.0,38019
38,20,21,21,100.0,38020
38,21,17,17,100.0,38021
38,22,13,13,100.0,38022
38,23,14,14,100.0,38023
38,24,6,6,100.0,38024
38,25,7,7,100.0,38025
38,26,12,12,100.0,38026
38,27,13,13,100.0,38027
38,28,21,21,100.0,38028
38,29,11,11,100.0,38029
38,30,8,8,100.0,38030
38,31,15,15,100.0,38031
38,32,23,23,100.0,38032
38,33,10,10,100.0,38033
38,34,3,3,100.0,38034
38,35,12,12,100.0,38035
38,36,5,5,100.0,38036
38,37,14,14,100.0,38037
38,38,24,24,100.0,38038
38,39,12,12,100.0,38039
38,40,16,16,100.0,38040
38,41,30,30,100.0,38041
38,42,13,13,100.0,38042
38,43,12,12,100.0,38043
38,44,16,16,100.0,38044
38,45,13,13,100.0,38045
38,46,16,16,100.0,38046
38,47,10,10,100.0,38047
38,48,12,12,100.0,38048
38,49,11,11,100.0,38049
38,50,20,20,100.0,38050
38,51,10,10,100.0,38051
