ward,precinct,total,Charles Hutchinson,Charles Hutchinson Percent,precinct_id
1,1,10,10,100.0,01001
1,6,13,13,100.0,01006
1,11,5,5,100.0,01011
1,44,6,6,100.0,01044
2,1,23,23,100.0,02001
2,3,10,10,100.0,02003
2,4,4,4,100.0,02004
2,5,3,3,100.0,02005
2,6,15,15,100.0,02006
2,7,2,2,100.0,02007
2,8,26,26,100.0,02008
2,9,3,3,100.0,02009
2,11,8,8,100.0,02011
2,12,23,23,100.0,02012
2,13,9,9,100.0,02013
2,15,1,1,100.0,02015
2,16,10,10,100.0,02016
2,17,2,2,100.0,02017
2,18,15,15,100.0,02018
2,21,10,10,100.0,02021
2,22,21,21,100.0,02022
2,23,3,3,100.0,02023
2,24,1,1,100.0,02024
2,26,17,17,100.0,02026
2,28,9,9,100.0,02028
2,29,2,2,100.0,02029
2,33,1,1,100.0,02033
2,34,3,3,100.0,02034
2,35,8,8,100.0,02035
2,36,1,1,100.0,02036
2,37,23,23,100.0,02037
2,38,6,6,100.0,02038
2,39,6,6,100.0,02039
2,40,9,9,100.0,02040
2,41,2,2,100.0,02041
2,43,20,20,100.0,02043
2,45,2,2,100.0,02045
2,47,1,1,100.0,02047
2,48,1,1,100.0,02048
2,49,13,13,100.0,02049
2,50,5,5,100.0,02050
2,51,3,3,100.0,02051
2,52,2,2,100.0,02052
2,54,21,21,100.0,02054
2,55,3,3,100.0,02055
2,56,1,1,100.0,02056
2,57,2,2,100.0,02057
2,58,9,9,100.0,02058
2,59,13,13,100.0,02059
2,60,15,15,100.0,02060
2,61,9,9,100.0,02061
3,1,2,2,100.0,03001
3,2,2,2,100.0,03002
3,3,4,4,100.0,03003
3,6,1,1,100.0,03006
3,8,1,1,100.0,03008
3,10,1,1,100.0,03010
3,11,1,1,100.0,03011
3,12,5,5,100.0,03012
3,14,1,1,100.0,03014
3,17,1,1,100.0,03017
3,18,1,1,100.0,03018
3,21,1,1,100.0,03021
3,26,1,1,100.0,03026
3,27,2,2,100.0,03027
3,29,1,1,100.0,03029
3,31,3,3,100.0,03031
3,32,1,1,100.0,03032
3,33,2,2,100.0,03033
3,39,1,1,100.0,03039
3,40,3,3,100.0,03040
3,41,1,1,100.0,03041
3,42,2,2,100.0,03042
3,45,7,7,100.0,03045
3,46,1,1,100.0,03046
3,47,2,2,100.0,03047
3,48,1,1,100.0,03048
3,54,9,9,100.0,03054
4,5,4,4,100.0,04005
4,7,1,1,100.0,04007
4,10,2,2,100.0,04010
4,11,1,1,100.0,04011
4,15,3,3,100.0,04015
4,25,4,4,100.0,04025
4,27,1,1,100.0,04027
4,35,2,2,100.0,04035
4,36,2,2,100.0,04036
4,53,2,2,100.0,04053
11,14,5,5,100.0,11014
11,27,4,4,100.0,11027
11,28,4,4,100.0,11028
11,34,3,3,100.0,11034
11,46,1,1,100.0,11046
12,18,4,4,100.0,12018
16,15,1,1,100.0,16015
16,16,1,1,100.0,16016
16,18,1,1,100.0,16018
16,20,1,1,100.0,16020
16,30,2,2,100.0,16030
20,31,1,1,100.0,20031
20,40,1,1,100.0,20040
20,45,2,2,100.0,20045
20,48,1,1,100.0,20048
22,21,3,3,100.0,22021
24,2,2,2,100.0,24002
24,3,1,1,100.0,24003
24,4,1,1,100.0,24004
24,5,1,1,100.0,24005
24,6,2,2,100.0,24006
24,7,1,1,100.0,24007
24,8,1,1,100.0,24008
24,9,3,3,100.0,24009
24,10,2,2,100.0,24010
24,11,1,1,100.0,24011
24,13,2,2,100.0,24013
24,14,2,2,100.0,24014
24,15,2,2,100.0,24015
24,17,1,1,100.0,24017
24,19,1,1,100.0,24019
24,22,1,1,100.0,24022
24,23,3,3,100.0,24023
24,25,2,2,100.0,24025
24,27,7,7,100.0,24027
24,28,3,3,100.0,24028
24,29,1,1,100.0,24029
24,30,2,2,100.0,24030
24,31,1,1,100.0,24031
24,32,1,1,100.0,24032
24,34,2,2,100.0,24034
24,36,1,1,100.0,24036
24,37,2,2,100.0,24037
24,38,1,1,100.0,24038
24,40,1,1,100.0,24040
24,41,2,2,100.0,24041
24,43,1,1,100.0,24043
24,45,1,1,100.0,24045
24,49,1,1,100.0,24049
24,55,2,2,100.0,24055
24,56,1,1,100.0,24056
25,3,2,2,100.0,25003
25,4,14,14,100.0,25004
25,10,2,2,100.0,25010
25,14,5,5,100.0,25014
25,16,4,4,100.0,25016
25,18,5,5,100.0,25018
25,21,11,11,100.0,25021
25,25,1,1,100.0,25025
25,26,8,8,100.0,25026
25,27,8,8,100.0,25027
25,28,19,19,100.0,25028
25,29,10,10,100.0,25029
26,17,23,23,100.0,26017
26,28,1,1,100.0,26028
26,33,11,11,100.0,26033
26,46,17,17,100.0,26046
27,1,5,5,100.0,27001
27,2,2,2,100.0,27002
27,3,1,1,100.0,27003
27,4,2,2,100.0,27004
27,5,4,4,100.0,27005
27,7,9,9,100.0,27007
27,9,4,4,100.0,27009
27,11,6,6,100.0,27011
27,12,19,19,100.0,27012
27,14,3,3,100.0,27014
27,15,2,2,100.0,27015
27,16,5,5,100.0,27016
27,17,6,6,100.0,27017
27,18,7,7,100.0,27018
27,19,1,1,100.0,27019
27,21,1,1,100.0,27021
27,25,2,2,100.0,27025
27,27,4,4,100.0,27027
27,28,13,13,100.0,27028
27,31,1,1,100.0,27031
27,33,2,2,100.0,27033
27,34,1,1,100.0,27034
27,36,4,4,100.0,27036
27,37,3,3,100.0,27037
27,42,10,10,100.0,27042
27,43,2,2,100.0,27043
27,45,1,1,100.0,27045
27,46,1,1,100.0,27046
27,50,11,11,100.0,27050
27,53,12,12,100.0,27053
27,54,8,8,100.0,27054
27,55,1,1,100.0,27055
27,57,6,6,100.0,27057
27,58,6,6,100.0,27058
28,1,1,1,100.0,28001
28,3,2,2,100.0,28003
28,4,2,2,100.0,28004
28,5,1,1,100.0,28005
28,7,2,2,100.0,28007
28,9,2,2,100.0,28009
28,10,1,1,100.0,28010
28,20,3,3,100.0,28020
28,26,3,3,100.0,28026
28,27,1,1,100.0,28027
28,28,1,1,100.0,28028
28,30,1,1,100.0,28030
28,31,1,1,100.0,28031
28,32,2,2,100.0,28032
28,36,1,1,100.0,28036
28,37,1,1,100.0,28037
28,45,2,2,100.0,28045
28,46,2,2,100.0,28046
28,47,12,12,100.0,28047
28,50,1,1,100.0,28050
28,51,2,2,100.0,28051
28,53,1,1,100.0,28053
28,55,1,1,100.0,28055
28,57,1,1,100.0,28057
28,59,1,1,100.0,28059
28,61,1,1,100.0,28061
29,1,1,1,100.0,29001
29,4,1,1,100.0,29004
29,12,2,2,100.0,29012
29,13,1,1,100.0,29013
29,14,1,1,100.0,29014
29,15,3,3,100.0,29015
29,16,1,1,100.0,29016
29,17,2,2,100.0,29017
29,18,2,2,100.0,29018
29,19,1,1,100.0,29019
29,20,1,1,100.0,29020
29,21,2,2,100.0,29021
29,22,20,20,100.0,29022
29,23,2,2,100.0,29023
29,25,1,1,100.0,29025
29,26,1,1,100.0,29026
29,27,1,1,100.0,29027
29,28,3,3,100.0,29028
29,29,5,5,100.0,29029
29,33,4,4,100.0,29033
29,34,3,3,100.0,29034
29,35,1,1,100.0,29035
29,40,1,1,100.0,29040
29,42,2,2,100.0,29042
29,44,4,4,100.0,29044
29,47,3,3,100.0,29047
29,50,2,2,100.0,29050
29,51,5,5,100.0,29051
32,1,6,6,100.0,32001
32,6,19,19,100.0,32006
32,12,4,4,100.0,32012
32,26,7,7,100.0,32026
32,46,1,1,100.0,32046
32,50,15,15,100.0,32050
