ward,precinct,total,Mark Wayne Lorch,Mark Wayne Lorch Percent,precinct_id
1,1,6,6,100.0,01001
1,2,3,3,100.0,01002
1,7,3,3,100.0,01007
1,9,11,11,100.0,01009
1,13,8,8,100.0,01013
1,15,10,10,100.0,01015
1,16,6,6,100.0,01016
1,17,8,8,100.0,01017
1,18,4,4,100.0,01018
1,19,8,8,100.0,01019
1,20,6,6,100.0,01020
1,22,8,8,100.0,01022
1,23,13,13,100.0,01023
1,24,3,3,100.0,01024
1,25,4,4,100.0,01025
1,26,3,3,100.0,01026
1,27,11,11,100.0,01027
1,29,10,10,100.0,01029
1,30,8,8,100.0,01030
1,31,7,7,100.0,01031
1,34,8,8,100.0,01034
1,38,4,4,100.0,01038
1,41,3,3,100.0,01041
1,42,4,4,100.0,01042
1,43,5,5,100.0,01043
1,44,8,8,100.0,01044
11,3,6,6,100.0,11003
11,37,0,0,0.0,11037
11,38,4,4,100.0,11038
12,2,5,5,100.0,12002
12,3,5,5,100.0,12003
12,5,11,11,100.0,12005
12,6,13,13,100.0,12006
12,7,4,4,100.0,12007
12,8,8,8,100.0,12008
12,10,8,8,100.0,12010
12,11,9,9,100.0,12011
12,12,13,13,100.0,12012
12,13,6,6,100.0,12013
12,14,1,1,100.0,12014
12,15,1,1,100.0,12015
12,16,1,1,100.0,12016
12,17,5,5,100.0,12017
12,18,5,5,100.0,12018
12,19,0,0,0.0,12019
12,20,6,6,100.0,12020
12,21,11,11,100.0,12021
12,22,0,0,0.0,12022
14,2,11,11,100.0,14002
14,3,4,4,100.0,14003
14,5,6,6,100.0,14005
14,6,3,3,100.0,14006
14,10,10,10,100.0,14010
14,11,4,4,100.0,14011
14,13,9,9,100.0,14013
14,14,6,6,100.0,14014
14,15,4,4,100.0,14015
14,16,9,9,100.0,14016
14,17,9,9,100.0,14017
14,19,5,5,100.0,14019
14,20,10,10,100.0,14020
14,25,7,7,100.0,14025
14,27,14,14,100.0,14027
14,28,3,3,100.0,14028
14,30,1,1,100.0,14030
14,31,2,2,100.0,14031
15,1,0,0,0.0,15001
15,4,7,7,100.0,15004
15,5,1,1,100.0,15005
15,6,13,13,100.0,15006
15,8,5,5,100.0,15008
15,9,13,13,100.0,15009
15,10,13,13,100.0,15010
15,11,7,7,100.0,15011
15,12,11,11,100.0,15012
15,15,0,0,0.0,15015
16,1,8,8,100.0,16001
22,3,6,6,100.0,22003
22,4,1,1,100.0,22004
22,5,4,4,100.0,22005
22,6,2,2,100.0,22006
22,7,3,3,100.0,22007
22,9,3,3,100.0,22009
22,10,9,9,100.0,22010
22,11,0,0,0.0,22011
22,13,9,9,100.0,22013
22,14,3,3,100.0,22014
22,15,4,4,100.0,22015
22,16,3,3,100.0,22016
22,17,2,2,100.0,22017
22,18,5,5,100.0,22018
22,19,0,0,0.0,22019
22,20,3,3,100.0,22020
22,22,6,6,100.0,22022
22,24,2,2,100.0,22024
22,25,1,1,100.0,22025
23,9,8,8,100.0,23009
23,13,6,6,100.0,23013
23,15,1,1,100.0,23015
23,24,6,6,100.0,23024
23,26,1,1,100.0,23026
23,34,3,3,100.0,23034
23,39,7,7,100.0,23039
24,16,2,2,100.0,24016
25,1,10,10,100.0,25001
25,2,4,4,100.0,25002
25,5,4,4,100.0,25005
25,7,2,2,100.0,25007
25,8,5,5,100.0,25008
25,9,4,4,100.0,25009
25,11,5,5,100.0,25011
25,12,8,8,100.0,25012
25,13,3,3,100.0,25013
25,14,0,0,0.0,25014
25,15,12,12,100.0,25015
25,17,12,12,100.0,25017
25,19,4,4,100.0,25019
25,22,2,2,100.0,25022
25,23,0,0,0.0,25023
25,24,6,6,100.0,25024
25,26,10,10,100.0,25026
25,27,0,0,0.0,25027
25,28,9,9,100.0,25028
25,30,5,5,100.0,25030
25,32,13,13,100.0,25032
26,1,1,1,100.0,26001
26,2,7,7,100.0,26002
26,5,2,2,100.0,26005
26,6,11,11,100.0,26006
26,7,5,5,100.0,26007
26,8,5,5,100.0,26008
26,9,9,9,100.0,26009
26,10,4,4,100.0,26010
26,11,6,6,100.0,26011
26,12,4,4,100.0,26012
26,13,1,1,100.0,26013
26,14,2,2,100.0,26014
26,15,2,2,100.0,26015
26,16,1,1,100.0,26016
26,18,3,3,100.0,26018
26,20,5,5,100.0,26020
26,22,3,3,100.0,26022
26,23,1,1,100.0,26023
26,24,4,4,100.0,26024
26,25,6,6,100.0,26025
26,26,4,4,100.0,26026
26,27,6,6,100.0,26027
26,29,4,4,100.0,26029
26,30,1,1,100.0,26030
26,31,10,10,100.0,26031
26,33,4,4,100.0,26033
26,34,3,3,100.0,26034
26,35,6,6,100.0,26035
26,36,0,0,0.0,26036
26,37,2,2,100.0,26037
26,38,4,4,100.0,26038
26,39,3,3,100.0,26039
26,40,6,6,100.0,26040
26,41,10,10,100.0,26041
26,42,4,4,100.0,26042
26,43,2,2,100.0,26043
26,44,2,2,100.0,26044
26,45,0,0,0.0,26045
26,47,10,10,100.0,26047
26,48,2,2,100.0,26048
26,49,0,0,0.0,26049
28,19,0,0,0.0,28019
29,1,1,1,100.0,29001
29,9,20,20,100.0,29009
29,23,16,16,100.0,29023
29,30,15,15,100.0,29030
29,38,22,22,100.0,29038
29,39,9,9,100.0,29039
29,43,4,4,100.0,29043
30,1,20,20,100.0,30001
30,2,16,16,100.0,30002
30,3,10,10,100.0,30003
30,4,23,23,100.0,30004
30,5,5,5,100.0,30005
30,6,15,15,100.0,30006
30,7,23,23,100.0,30007
30,8,13,13,100.0,30008
30,9,16,16,100.0,30009
30,10,14,14,100.0,30010
30,11,6,6,100.0,30011
30,12,18,18,100.0,30012
30,13,13,13,100.0,30013
30,14,7,7,100.0,30014
30,15,8,8,100.0,30015
30,16,11,11,100.0,30016
30,17,12,12,100.0,30017
30,18,8,8,100.0,30018
30,19,10,10,100.0,30019
30,20,12,12,100.0,30020
30,22,14,14,100.0,30022
30,23,16,16,100.0,30023
30,24,11,11,100.0,30024
30,25,10,10,100.0,30025
30,26,15,15,100.0,30026
30,27,8,8,100.0,30027
30,28,14,14,100.0,30028
30,29,1,1,100.0,30029
30,30,2,2,100.0,30030
30,31,14,14,100.0,30031
30,32,9,9,100.0,30032
31,1,9,9,100.0,31001
31,2,6,6,100.0,31002
31,3,15,15,100.0,31003
31,4,6,6,100.0,31004
31,5,5,5,100.0,31005
31,6,6,6,100.0,31006
31,7,4,4,100.0,31007
31,8,4,4,100.0,31008
31,9,3,3,100.0,31009
31,10,5,5,100.0,31010
31,11,9,9,100.0,31011
31,12,4,4,100.0,31012
31,13,3,3,100.0,31013
31,14,2,2,100.0,31014
31,15,9,9,100.0,31015
31,16,4,4,100.0,31016
31,17,9,9,100.0,31017
31,18,7,7,100.0,31018
31,19,4,4,100.0,31019
31,20,5,5,100.0,31020
31,21,7,7,100.0,31021
31,22,6,6,100.0,31022
31,23,7,7,100.0,31023
