ward,precinct,total,Mark M. Weiman,Mark M. Weiman Percent,precinct_id
1,1,11,11,100.0,01001
1,6,17,17,100.0,01006
1,11,0,0,0.0,01011
1,44,6,6,100.0,01044
2,1,43,43,100.0,02001
2,2,0,0,0.0,02002
2,3,13,13,100.0,02003
2,4,0,0,0.0,02004
2,5,3,3,100.0,02005
2,6,40,40,100.0,02006
2,7,3,3,100.0,02007
2,8,32,32,100.0,02008
2,9,3,3,100.0,02009
2,10,0,0,0.0,02010
2,11,27,27,100.0,02011
2,12,38,38,100.0,02012
2,13,11,11,100.0,02013
2,14,0,0,0.0,02014
2,15,1,1,100.0,02015
2,16,30,30,100.0,02016
2,17,1,1,100.0,02017
2,18,29,29,100.0,02018
2,19,33,33,100.0,02019
2,20,3,3,100.0,02020
2,21,5,5,100.0,02021
2,22,27,27,100.0,02022
2,23,3,3,100.0,02023
2,24,11,11,100.0,02024
2,25,18,18,100.0,02025
2,26,13,13,100.0,02026
2,27,0,0,0.0,02027
2,28,16,16,100.0,02028
2,29,6,6,100.0,02029
2,30,34,34,100.0,02030
2,32,8,8,100.0,02032
2,33,2,2,100.0,02033
2,34,5,5,100.0,02034
2,35,7,7,100.0,02035
2,36,18,18,100.0,02036
2,37,28,28,100.0,02037
2,38,46,46,100.0,02038
2,39,8,8,100.0,02039
2,40,38,38,100.0,02040
2,41,0,0,0.0,02041
2,42,1,1,100.0,02042
2,43,17,17,100.0,02043
2,45,4,4,100.0,02045
2,47,2,2,100.0,02047
2,48,0,0,0.0,02048
2,49,16,16,100.0,02049
2,50,6,6,100.0,02050
2,51,5,5,100.0,02051
2,52,3,3,100.0,02052
2,53,13,13,100.0,02053
2,54,19,19,100.0,02054
2,55,19,19,100.0,02055
2,56,1,1,100.0,02056
3,1,0,0,0.0,03001
3,2,1,1,100.0,03002
3,3,11,11,100.0,03003
3,4,0,0,0.0,03004
3,6,1,1,100.0,03006
3,8,1,1,100.0,03008
3,9,1,1,100.0,03009
3,10,2,2,100.0,03010
3,11,1,1,100.0,03011
3,12,3,3,100.0,03012
3,14,0,0,0.0,03014
3,15,1,1,100.0,03015
3,16,1,1,100.0,03016
3,17,1,1,100.0,03017
3,18,0,0,0.0,03018
3,20,0,0,0.0,03020
3,21,0,0,0.0,03021
3,22,0,0,0.0,03022
3,23,1,1,100.0,03023
3,24,3,3,100.0,03024
3,25,0,0,0.0,03025
3,26,0,0,0.0,03026
3,27,0,0,0.0,03027
3,28,34,34,100.0,03028
3,29,0,0,0.0,03029
3,31,1,1,100.0,03031
3,32,0,0,0.0,03032
3,33,0,0,0.0,03033
3,35,0,0,0.0,03035
3,36,0,0,0.0,03036
3,37,0,0,0.0,03037
3,39,1,1,100.0,03039
3,40,0,0,0.0,03040
3,42,1,1,100.0,03042
3,43,0,0,0.0,03043
3,45,16,16,100.0,03045
3,46,1,1,100.0,03046
3,47,1,1,100.0,03047
3,48,1,1,100.0,03048
3,49,0,0,0.0,03049
3,50,0,0,0.0,03050
4,4,1,1,100.0,04004
4,5,1,1,100.0,04005
4,6,0,0,0.0,04006
4,7,4,4,100.0,04007
4,10,0,0,0.0,04010
4,11,2,2,100.0,04011
4,14,1,1,100.0,04014
4,15,2,2,100.0,04015
4,25,3,3,100.0,04025
4,27,0,0,0.0,04027
4,30,3,3,100.0,04030
4,35,0,0,0.0,04035
4,36,2,2,100.0,04036
4,42,3,3,100.0,04042
11,14,11,11,100.0,11014
11,27,11,11,100.0,11027
11,28,7,7,100.0,11028
11,31,0,0,0.0,11031
11,34,1,1,100.0,11034
11,36,0,0,0.0,11036
11,46,0,0,0.0,11046
12,1,0,0,0.0,12001
12,6,1,1,100.0,12006
12,18,0,0,0.0,12018
16,15,0,0,0.0,16015
16,16,0,0,0.0,16016
16,18,0,0,0.0,16018
16,20,0,0,0.0,16020
16,22,0,0,0.0,16022
16,29,2,2,100.0,16029
16,30,0,0,0.0,16030
16,33,0,0,0.0,16033
20,27,0,0,0.0,20027
20,31,1,1,100.0,20031
20,40,0,0,0.0,20040
20,45,0,0,0.0,20045
20,48,0,0,0.0,20048
22,7,0,0,0.0,22007
22,18,0,0,0.0,22018
22,19,1,1,100.0,22019
