ward,precinct,total,Miriam Shabo,Miriam Shabo Percent,James Thigpen,James Thigpen Percent,precinct_id
9,1,0,0,0.0,0,0.0,09001
9,2,4,2,50.0,2,50.0,09002
9,3,1,1,100.0,0,0.0,09003
9,4,1,0,0.0,1,100.0,09004
9,5,1,1,100.0,0,0.0,09005
9,6,2,0,0.0,2,100.0,09006
9,7,1,1,100.0,0,0.0,09007
9,9,0,0,0.0,0,0.0,09009
9,10,1,1,100.0,0,0.0,09010
9,11,2,0,0.0,2,100.0,09011
9,12,0,0,0.0,0,0.0,09012
9,13,1,1,100.0,0,0.0,09013
9,14,2,1,50.0,1,50.0,09014
9,15,2,0,0.0,2,100.0,09015
9,16,1,0,0.0,1,100.0,09016
9,17,1,0,0.0,1,100.0,09017
9,18,1,1,100.0,0,0.0,09018
9,19,1,1,100.0,0,0.0,09019
9,22,1,1,100.0,0,0.0,09022
9,23,2,0,0.0,2,100.0,09023
9,24,1,1,100.0,0,0.0,09024
9,25,2,1,50.0,1,50.0,09025
9,26,1,1,100.0,0,0.0,09026
9,28,0,0,0.0,0,0.0,09028
9,29,0,0,0.0,0,0.0,09029
9,30,0,0,0.0,0,0.0,09030
9,31,1,1,100.0,0,0.0,09031
9,32,3,2,66.67,1,33.33,09032
9,33,1,0,0.0,1,100.0,09033
9,34,4,3,75.0,1,25.0,09034
9,35,2,0,0.0,2,100.0,09035
9,38,2,2,100.0,0,0.0,09038
9,39,3,3,100.0,0,0.0,09039
9,40,0,0,0.0,0,0.0,09040
9,41,1,1,100.0,0,0.0,09041
9,42,0,0,0.0,0,0.0,09042
9,43,2,2,100.0,0,0.0,09043
9,44,0,0,0.0,0,0.0,09044
9,45,0,0,0.0,0,0.0,09045
9,46,0,0,0.0,0,0.0,09046
9,48,2,1,50.0,1,50.0,09048
9,50,0,0,0.0,0,0.0,09050
9,52,0,0,0.0,0,0.0,09052
9,53,0,0,0.0,0,0.0,09053
19,43,4,1,25.0,3,75.0,19043
19,48,3,3,100.0,0,0.0,19048
19,50,0,0,0.0,0,0.0,19050
19,66,5,1,20.0,4,80.0,19066
34,1,0,0,0.0,0,0.0,34001
34,2,1,1,100.0,0,0.0,34002
34,3,0,0,0.0,0,0.0,34003
34,4,2,1,50.0,1,50.0,34004
34,5,0,0,0.0,0,0.0,34005
34,6,1,0,0.0,1,100.0,34006
34,7,0,0,0.0,0,0.0,34007
34,9,2,1,50.0,1,50.0,34009
34,10,0,0,0.0,0,0.0,34010
34,11,1,1,100.0,0,0.0,34011
34,12,2,0,0.0,2,100.0,34012
34,14,1,1,100.0,0,0.0,34014
34,15,1,0,0.0,1,100.0,34015
34,16,2,1,50.0,1,50.0,34016
34,17,0,0,0.0,0,0.0,34017
34,18,0,0,0.0,0,0.0,34018
34,20,0,0,0.0,0,0.0,34020
34,21,1,1,100.0,0,0.0,34021
34,22,0,0,0.0,0,0.0,34022
34,23,2,1,50.0,1,50.0,34023
34,24,0,0,0.0,0,0.0,34024
34,25,0,0,0.0,0,0.0,34025
34,26,0,0,0.0,0,0.0,34026
34,27,2,1,50.0,1,50.0,34027
34,28,1,0,0.0,1,100.0,34028
34,30,2,1,50.0,1,50.0,34030
34,31,1,0,0.0,1,100.0,34031
34,32,0,0,0.0,0,0.0,34032
34,33,1,0,0.0,1,100.0,34033
34,34,1,0,0.0,1,100.0,34034
34,35,1,0,0.0,1,100.0,34035
34,36,1,0,0.0,1,100.0,34036
34,37,0,0,0.0,0,0.0,34037
34,38,0,0,0.0,0,0.0,34038
34,39,1,0,0.0,1,100.0,34039
34,40,2,1,50.0,1,50.0,34040
34,41,0,0,0.0,0,0.0,34041
34,42,0,0,0.0,0,0.0,34042
34,43,3,1,33.33,2,66.67,34043
34,44,2,1,50.0,1,50.0,34044
34,46,1,1,100.0,0,0.0,34046
34,47,2,1,50.0,1,50.0,34047
34,48,2,0,0.0,2,100.0,34048
34,49,1,0,0.0,1,100.0,34049
34,50,2,0,0.0,2,100.0,34050
34,51,1,0,0.0,1,100.0,34051
34,52,0,0,0.0,0,0.0,34052
34,53,0,0,0.0,0,0.0,34053
34,54,1,0,0.0,1,100.0,34054
34,59,2,0,0.0,2,100.0,34059
34,60,0,0,0.0,0,0.0,34060
34,61,1,0,0.0,1,100.0,34061
