ward,precinct,total,Kirk W. Dillard,Kirk W. Dillard Percent,Bill Brady,Bill Brady Percent,Robert J. ''Bob'' Schillerstrom,Robert J. ''Bob'' Schillerstrom Percent,Adam Andrzejewski,Adam Andrzejewski Percent,Dan Proft,Dan Proft Percent,Jim Ryan,Jim Ryan Percent,Andy McKenna,Andy McKenna Percent,precinct_id
1,1,15,2,13.33,0,0.0,0,0.0,4,26.67,2,13.33,6,40.0,1,6.67,01001
1,2,20,2,10.0,2,10.0,0,0.0,3,15.0,2,10.0,4,20.0,7,35.0,01002
1,3,10,1,10.0,0,0.0,0,0.0,1,10.0,1,10.0,1,10.0,6,60.0,01003
1,4,8,3,37.5,0,0.0,0,0.0,1,12.5,1,12.5,1,12.5,2,25.0,01004
1,5,12,1,8.33,0,0.0,0,0.0,1,8.33,0,0.0,1,8.33,9,75.0,01005
1,6,21,5,23.81,4,19.05,0,0.0,3,14.29,1,4.76,6,28.57,2,9.52,01006
1,7,17,2,11.76,3,17.65,0,0.0,0,0.0,3,17.65,2,11.76,7,41.18,01007
1,8,13,1,7.69,0,0.0,0,0.0,3,23.08,0,0.0,2,15.38,7,53.85,01008
1,9,12,1,8.33,1,8.33,0,0.0,2,16.67,0,0.0,6,50.0,2,16.67,01009
1,10,11,3,27.27,1,9.09,0,0.0,2,18.18,0,0.0,0,0.0,5,45.45,01010
1,11,21,2,9.52,1,4.76,0,0.0,7,33.33,3,14.29,6,28.57,2,9.52,01011
1,12,20,4,20.0,4,20.0,0,0.0,2,10.0,2,10.0,5,25.0,3,15.0,01012
1,13,16,2,12.5,1,6.25,0,0.0,3,18.75,0,0.0,3,18.75,7,43.75,01013
1,14,7,1,14.29,0,0.0,0,0.0,0,0.0,0,0.0,2,28.57,4,57.14,01014
1,15,3,0,0.0,0,0.0,0,0.0,1,33.33,1,33.33,1,33.33,0,0.0,01015
1,16,3,2,66.67,0,0.0,0,0.0,0,0.0,0,0.0,1,33.33,0,0.0,01016
