ward,precinct,total,Carl Segvich,Carl Segvich Percent,precinct_id
3,10,1,1,100.0,03010
3,19,1,1,100.0,03019
11,1,23,23,100.0,11001
11,4,4,4,100.0,11004
11,5,5,5,100.0,11005
11,7,8,8,100.0,11007
11,8,5,5,100.0,11008
11,9,8,8,100.0,11009
11,10,6,6,100.0,11010
11,11,18,18,100.0,11011
11,12,16,16,100.0,11012
11,13,10,10,100.0,11013
11,15,14,14,100.0,11015
11,16,18,18,100.0,11016
11,17,0,0,0.0,11017
11,18,10,10,100.0,11018
11,19,12,12,100.0,11019
11,20,7,7,100.0,11020
11,21,11,11,100.0,11021
11,22,5,5,100.0,11022
11,23,11,11,100.0,11023
11,24,12,12,100.0,11024
11,25,14,14,100.0,11025
11,26,11,11,100.0,11026
11,28,7,7,100.0,11028
11,29,9,9,100.0,11029
11,30,14,14,100.0,11030
11,31,11,11,100.0,11031
11,32,6,6,100.0,11032
11,33,4,4,100.0,11033
11,34,6,6,100.0,11034
11,35,8,8,100.0,11035
11,37,18,18,100.0,11037
11,38,9,9,100.0,11038
11,39,14,14,100.0,11039
11,40,3,3,100.0,11040
11,41,9,9,100.0,11041
11,42,4,4,100.0,11042
11,43,10,10,100.0,11043
11,44,12,12,100.0,11044
11,45,7,7,100.0,11045
11,47,6,6,100.0,11047
11,48,9,9,100.0,11048
11,49,6,6,100.0,11049
11,50,3,3,100.0,11050
12,8,10,10,100.0,12008
13,1,16,16,100.0,13001
13,2,7,7,100.0,13002
13,4,24,24,100.0,13004
13,5,7,7,100.0,13005
13,6,10,10,100.0,13006
13,7,7,7,100.0,13007
13,8,17,17,100.0,13008
13,9,10,10,100.0,13009
13,10,14,14,100.0,13010
13,11,10,10,100.0,13011
13,12,6,6,100.0,13012
13,13,6,6,100.0,13013
13,14,13,13,100.0,13014
13,16,9,9,100.0,13016
13,17,17,17,100.0,13017
13,19,4,4,100.0,13019
13,21,7,7,100.0,13021
13,22,9,9,100.0,13022
13,23,8,8,100.0,13023
13,24,8,8,100.0,13024
13,25,15,15,100.0,13025
13,26,16,16,100.0,13026
13,27,22,22,100.0,13027
13,29,5,5,100.0,13029
13,32,9,9,100.0,13032
13,35,4,4,100.0,13035
13,36,6,6,100.0,13036
13,37,8,8,100.0,13037
13,38,18,18,100.0,13038
13,39,5,5,100.0,13039
13,40,12,12,100.0,13040
13,41,3,3,100.0,13041
13,42,9,9,100.0,13042
13,43,9,9,100.0,13043
13,44,4,4,100.0,13044
13,45,10,10,100.0,13045
13,46,5,5,100.0,13046
13,47,7,7,100.0,13047
14,2,9,9,100.0,14002
14,25,4,4,100.0,14025
14,28,2,2,100.0,14028
15,6,0,0,0.0,15006
15,13,3,3,100.0,15013
15,15,4,4,100.0,15015
15,22,1,1,100.0,15022
15,24,1,1,100.0,15024
15,29,2,2,100.0,15029
