ward,precinct,total,Brian G. Doherty,Brian G. Doherty Percent,precinct_id
29,9,2,2,100.0,29009
36,5,20,20,100.0,36005
36,6,22,22,100.0,36006
36,7,19,19,100.0,36007
36,8,31,31,100.0,36008
36,9,25,25,100.0,36009
36,10,16,16,100.0,36010
36,11,28,28,100.0,36011
36,12,20,20,100.0,36012
36,13,30,30,100.0,36013
36,14,16,16,100.0,36014
36,15,17,17,100.0,36015
36,17,28,28,100.0,36017
36,18,24,24,100.0,36018
36,19,29,29,100.0,36019
36,20,37,37,100.0,36020
36,21,42,42,100.0,36021
36,25,20,20,100.0,36025
36,26,37,37,100.0,36026
36,27,13,13,100.0,36027
36,28,27,27,100.0,36028
36,29,14,14,100.0,36029
36,30,42,42,100.0,36030
36,31,24,24,100.0,36031
36,32,21,21,100.0,36032
36,34,24,24,100.0,36034
36,35,16,16,100.0,36035
36,37,27,27,100.0,36037
36,38,8,8,100.0,36038
36,39,35,35,100.0,36039
36,40,30,30,100.0,36040
36,41,9,9,100.0,36041
36,42,18,18,100.0,36042
36,43,19,19,100.0,36043
36,46,17,17,100.0,36046
36,47,9,9,100.0,36047
36,48,28,28,100.0,36048
36,49,40,40,100.0,36049
36,50,17,17,100.0,36050
36,52,19,19,100.0,36052
36,53,17,17,100.0,36053
38,1,27,27,100.0,38001
38,2,16,16,100.0,38002
38,3,28,28,100.0,38003
38,4,8,8,100.0,38004
38,5,4,4,100.0,38005
38,6,20,20,100.0,38006
38,8,28,28,100.0,38008
38,9,23,23,100.0,38009
38,11,16,16,100.0,38011
38,12,25,25,100.0,38012
38,13,16,16,100.0,38013
38,14,22,22,100.0,38014
38,15,12,12,100.0,38015
38,17,6,6,100.0,38017
38,18,19,19,100.0,38018
38,19,26,26,100.0,38019
38,21,22,22,100.0,38021
38,22,26,26,100.0,38022
38,23,15,15,100.0,38023
38,25,9,9,100.0,38025
38,26,12,12,100.0,38026
38,27,11,11,100.0,38027
38,28,11,11,100.0,38028
38,29,12,12,100.0,38029
38,30,19,19,100.0,38030
38,31,14,14,100.0,38031
38,32,34,34,100.0,38032
38,33,21,21,100.0,38033
38,35,22,22,100.0,38035
38,36,18,18,100.0,38036
38,37,27,27,100.0,38037
38,38,36,36,100.0,38038
38,39,21,21,100.0,38039
38,40,21,21,100.0,38040
38,41,33,33,100.0,38041
38,42,21,21,100.0,38042
38,43,23,23,100.0,38043
38,44,17,17,100.0,38044
38,45,33,33,100.0,38045
38,46,10,10,100.0,38046
38,47,24,24,100.0,38047
38,48,26,26,100.0,38048
38,49,35,35,100.0,38049
38,50,22,22,100.0,38050
38,51,12,12,100.0,38051
38,52,28,28,100.0,38052
41,1,80,80,100.0,41001
41,2,53,53,100.0,41002
41,3,50,50,100.0,41003
41,4,59,59,100.0,41004
41,5,66,66,100.0,41005
41,7,49,49,100.0,41007
41,8,60,60,100.0,41008
41,9,66,66,100.0,41009
41,11,55,55,100.0,41011
41,12,35,35,100.0,41012
41,15,54,54,100.0,41015
41,16,62,62,100.0,41016
41,17,45,45,100.0,41017
41,18,61,61,100.0,41018
41,20,93,93,100.0,41020
41,21,56,56,100.0,41021
41,22,60,60,100.0,41022
41,24,62,62,100.0,41024
41,30,56,56,100.0,41030
41,31,56,56,100.0,41031
41,33,35,35,100.0,41033
41,34,71,71,100.0,41034
41,35,57,57,100.0,41035
41,36,77,77,100.0,41036
41,37,78,78,100.0,41037
41,38,61,61,100.0,41038
41,40,63,63,100.0,41040
41,41,63,63,100.0,41041
41,42,71,71,100.0,41042
41,43,66,66,100.0,41043
41,45,49,49,100.0,41045
41,46,41,41,100.0,41046
41,49,59,59,100.0,41049
41,50,52,52,100.0,41050
41,51,38,38,100.0,41051
41,52,74,74,100.0,41052
41,53,43,43,100.0,41053
41,55,69,69,100.0,41055
41,56,68,68,100.0,41056
45,1,17,17,100.0,45001
45,2,45,45,100.0,45002
45,3,33,33,100.0,45003
45,6,31,31,100.0,45006
45,7,23,23,100.0,45007
45,8,19,19,100.0,45008
45,9,36,36,100.0,45009
45,11,40,40,100.0,45011
45,13,27,27,100.0,45013
45,15,31,31,100.0,45015
45,16,24,24,100.0,45016
45,17,28,28,100.0,45017
45,18,15,15,100.0,45018
45,19,25,25,100.0,45019
45,20,19,19,100.0,45020
45,21,34,34,100.0,45021
45,22,29,29,100.0,45022
45,23,33,33,100.0,45023
45,25,26,26,100.0,45025
45,26,17,17,100.0,45026
45,27,29,29,100.0,45027
45,28,16,16,100.0,45028
45,29,33,33,100.0,45029
45,30,21,21,100.0,45030
45,31,23,23,100.0,45031
45,32,16,16,100.0,45032
45,33,52,52,100.0,45033
45,34,21,21,100.0,45034
45,35,33,33,100.0,45035
45,37,14,14,100.0,45037
45,38,22,22,100.0,45038
45,39,24,24,100.0,45039
45,40,22,22,100.0,45040
45,41,10,10,100.0,45041
45,42,14,14,100.0,45042
45,43,19,19,100.0,45043
45,44,34,34,100.0,45044
45,45,24,24,100.0,45045
45,46,34,34,100.0,45046
45,47,31,31,100.0,45047
45,48,27,27,100.0,45048
45,49,37,37,100.0,45049
45,50,26,26,100.0,45050
45,51,35,35,100.0,45051
45,52,23,23,100.0,45052
45,53,27,27,100.0,45053
