ward,precinct,total,Mark Calonder,Mark Calonder Percent,precinct_id
1,8,1,1,100.0,01008
1,11,3,3,100.0,01011
1,12,17,17,100.0,01012
1,21,0,0,0.0,01021
1,32,1,1,100.0,01032
1,33,0,0,0.0,01033
1,37,2,2,100.0,01037
2,1,8,8,100.0,02001
2,6,9,9,100.0,02006
2,7,12,12,100.0,02007
2,8,7,7,100.0,02008
2,15,9,9,100.0,02015
2,17,18,18,100.0,02017
2,20,11,11,100.0,02020
2,25,10,10,100.0,02025
24,17,0,0,0.0,24017
24,19,1,1,100.0,24019
24,20,0,0,0.0,24020
24,32,0,0,0.0,24032
24,41,0,0,0.0,24041
26,4,0,0,0.0,26004
26,17,17,17,100.0,26017
26,19,0,0,0.0,26019
26,28,16,16,100.0,26028
26,46,15,15,100.0,26046
27,1,15,15,100.0,27001
27,3,2,2,100.0,27003
27,4,3,3,100.0,27004
27,5,1,1,100.0,27005
27,8,0,0,0.0,27008
27,10,2,2,100.0,27010
27,11,12,12,100.0,27011
27,13,2,2,100.0,27013
27,14,0,0,0.0,27014
27,15,4,4,100.0,27015
27,16,3,3,100.0,27016
27,17,0,0,0.0,27017
27,19,6,6,100.0,27019
27,22,0,0,0.0,27022
27,23,1,1,100.0,27023
27,24,0,0,0.0,27024
27,25,3,3,100.0,27025
27,26,2,2,100.0,27026
27,27,4,4,100.0,27027
27,29,1,1,100.0,27029
27,30,3,3,100.0,27030
27,31,0,0,0.0,27031
27,32,3,3,100.0,27032
27,33,8,8,100.0,27033
27,34,2,2,100.0,27034
27,35,8,8,100.0,27035
27,36,1,1,100.0,27036
27,37,0,0,0.0,27037
27,39,2,2,100.0,27039
27,40,10,10,100.0,27040
27,43,1,1,100.0,27043
27,44,2,2,100.0,27044
27,45,0,0,0.0,27045
27,49,3,3,100.0,27049
27,50,1,1,100.0,27050
28,1,0,0,0.0,28001
28,2,3,3,100.0,28002
28,3,1,1,100.0,28003
28,7,2,2,100.0,28007
28,9,1,1,100.0,28009
28,13,3,3,100.0,28013
28,15,1,1,100.0,28015
28,16,1,1,100.0,28016
28,17,0,0,0.0,28017
28,20,1,1,100.0,28020
28,21,2,2,100.0,28021
28,22,3,3,100.0,28022
28,23,5,5,100.0,28023
28,24,0,0,0.0,28024
28,25,1,1,100.0,28025
28,26,4,4,100.0,28026
28,30,0,0,0.0,28030
28,32,0,0,0.0,28032
28,33,2,2,100.0,28033
28,36,0,0,0.0,28036
28,37,1,1,100.0,28037
28,38,0,0,0.0,28038
28,40,1,1,100.0,28040
28,42,1,1,100.0,28042
28,44,1,1,100.0,28044
29,6,0,0,0.0,29006
32,2,17,17,100.0,32002
32,4,8,8,100.0,32004
32,5,8,8,100.0,32005
32,6,10,10,100.0,32006
32,29,9,9,100.0,32029
32,31,18,18,100.0,32031
32,32,12,12,100.0,32032
32,33,8,8,100.0,32033
32,34,7,7,100.0,32034
32,35,15,15,100.0,32035
32,36,21,21,100.0,32036
32,37,4,4,100.0,32037
37,2,1,1,100.0,37002
37,3,2,2,100.0,37003
37,4,4,4,100.0,37004
37,7,1,1,100.0,37007
37,8,0,0,0.0,37008
37,12,4,4,100.0,37012
37,13,2,2,100.0,37013
37,14,0,0,0.0,37014
37,19,4,4,100.0,37019
37,20,0,0,0.0,37020
37,21,6,6,100.0,37021
37,22,1,1,100.0,37022
37,27,0,0,0.0,37027
37,28,6,6,100.0,37028
37,30,0,0,0.0,37030
43,5,17,17,100.0,43005
43,7,19,19,100.0,43007
43,10,36,36,100.0,43010
43,11,38,38,100.0,43011
43,23,13,13,100.0,43023
