ward,precinct,total,Mark Ekhoff,Mark Ekhoff Percent,Fatimah ''Timah'' Macklin,Fatimah ''Timah'' Macklin Percent,precinct_id
6,1,9,0,0.0,9,100.0,06001
6,2,9,0,0.0,9,100.0,06002
6,3,2,1,50.0,1,50.0,06003
6,8,3,0,0.0,3,100.0,06008
6,13,6,1,16.67,5,83.33,06013
6,14,2,0,0.0,2,100.0,06014
6,16,3,0,0.0,3,100.0,06016
6,19,1,0,0.0,1,100.0,06019
6,29,1,0,0.0,1,100.0,06029
6,31,8,0,0.0,8,100.0,06031
6,34,3,2,66.67,1,33.33,06034
6,35,11,2,18.18,9,81.82,06035
6,36,1,0,0.0,1,100.0,06036
6,37,6,1,16.67,5,83.33,06037
6,38,4,1,25.0,3,75.0,06038
6,39,5,1,20.0,4,80.0,06039
6,41,4,0,0.0,4,100.0,06041
6,42,15,0,0.0,15,100.0,06042
6,43,3,2,66.67,1,33.33,06043
6,44,52,0,0.0,52,100.0,06044
6,45,8,0,0.0,8,100.0,06045
6,46,10,0,0.0,10,100.0,06046
6,48,0,0,0.0,0,0.0,06048
8,15,2,1,50.0,1,50.0,08015
8,22,2,0,0.0,2,100.0,08022
8,26,2,1,50.0,1,50.0,08026
8,31,6,0,0.0,6,100.0,08031
8,32,4,1,25.0,3,75.0,08032
8,34,2,0,0.0,2,100.0,08034
8,39,4,2,50.0,2,50.0,08039
8,43,1,0,0.0,1,100.0,08043
8,45,2,0,0.0,2,100.0,08045
8,47,2,1,50.0,1,50.0,08047
8,54,0,0,0.0,0,0.0,08054
9,1,3,1,33.33,2,66.67,09001
9,7,0,0,0.0,0,0.0,09007
9,8,0,0,0.0,0,0.0,09008
9,9,2,1,50.0,1,50.0,09009
9,12,3,1,33.33,2,66.67,09012
9,13,3,0,0.0,3,100.0,09013
9,23,2,1,50.0,1,50.0,09023
9,24,2,0,0.0,2,100.0,09024
9,25,1,0,0.0,1,100.0,09025
9,28,0,0,0.0,0,0.0,09028
9,31,0,0,0.0,0,0.0,09031
9,36,1,1,100.0,0,0.0,09036
9,37,24,17,70.83,7,29.17,09037
9,38,3,0,0.0,3,100.0,09038
9,42,0,0,0.0,0,0.0,09042
9,43,0,0,0.0,0,0.0,09043
9,46,7,4,57.14,3,42.86,09046
9,47,1,1,100.0,0,0.0,09047
9,48,3,2,66.67,1,33.33,09048
9,49,1,0,0.0,1,100.0,09049
9,50,5,2,40.0,3,60.0,09050
9,51,4,3,75.0,1,25.0,09051
10,13,0,0,0.0,0,0.0,10013
10,16,1,1,100.0,0,0.0,10016
17,21,1,1,100.0,0,0.0,17021
20,33,0,0,0.0,0,0.0,20033
21,31,0,0,0.0,0,0.0,21031
21,53,0,0,0.0,0,0.0,21053
