ward,precinct,total,Carl Segvich,Carl Segvich Percent,precinct_id
3,29,0,0,0.0,03029
11,1,20,20,100.0,11001
11,4,17,17,100.0,11004
11,5,7,7,100.0,11005
11,8,16,16,100.0,11008
11,9,15,15,100.0,11009
11,10,19,19,100.0,11010
11,11,21,21,100.0,11011
11,12,28,28,100.0,11012
11,13,15,15,100.0,11013
11,14,8,8,100.0,11014
11,15,7,7,100.0,11015
11,16,15,15,100.0,11016
11,17,13,13,100.0,11017
11,18,13,13,100.0,11018
11,19,28,28,100.0,11019
11,20,9,9,100.0,11020
11,21,18,18,100.0,11021
11,22,23,23,100.0,11022
11,23,11,11,100.0,11023
11,24,17,17,100.0,11024
11,25,18,18,100.0,11025
11,26,24,24,100.0,11026
11,27,2,2,100.0,11027
11,28,9,9,100.0,11028
11,29,21,21,100.0,11029
11,30,8,8,100.0,11030
11,31,27,27,100.0,11031
11,32,12,12,100.0,11032
11,34,9,9,100.0,11034
11,35,6,6,100.0,11035
11,36,6,6,100.0,11036
12,19,8,8,100.0,12019
12,23,15,15,100.0,12023
13,1,11,11,100.0,13001
13,2,20,20,100.0,13002
13,4,16,16,100.0,13004
13,5,8,8,100.0,13005
13,6,17,17,100.0,13006
13,7,4,4,100.0,13007
13,8,16,16,100.0,13008
13,9,11,11,100.0,13009
13,10,26,26,100.0,13010
13,11,22,22,100.0,13011
13,12,11,11,100.0,13012
13,13,6,6,100.0,13013
13,14,17,17,100.0,13014
13,16,5,5,100.0,13016
13,17,20,20,100.0,13017
13,18,12,12,100.0,13018
13,19,10,10,100.0,13019
13,20,17,17,100.0,13020
13,21,34,34,100.0,13021
13,22,36,36,100.0,13022
13,23,7,7,100.0,13023
13,24,15,15,100.0,13024
13,25,14,14,100.0,13025
13,26,12,12,100.0,13026
13,27,13,13,100.0,13027
13,29,6,6,100.0,13029
13,30,0,0,0.0,13030
13,31,26,26,100.0,13031
13,32,16,16,100.0,13032
13,33,30,30,100.0,13033
13,35,4,4,100.0,13035
13,36,6,6,100.0,13036
13,37,10,10,100.0,13037
13,38,15,15,100.0,13038
13,39,6,6,100.0,13039
13,40,8,8,100.0,13040
13,41,4,4,100.0,13041
13,42,29,29,100.0,13042
13,43,17,17,100.0,13043
13,44,1,1,100.0,13044
13,45,13,13,100.0,13045
13,46,15,15,100.0,13046
13,47,12,12,100.0,13047
13,48,16,16,100.0,13048
14,1,36,36,100.0,14001
14,4,23,23,100.0,14004
14,9,25,25,100.0,14009
14,22,0,0,0.0,14022
14,23,16,16,100.0,14023
14,24,27,27,100.0,14024
15,3,0,0,0.0,15003
15,16,0,0,0.0,15016
15,19,0,0,0.0,15019
