ward,precinct,total,Bill Brady & Maria Rodriguez,Bill Brady & Maria Rodriguez Percent,Dan Rutherford & Steve Kim,Dan Rutherford & Steve Kim Percent,Kirk W. Dillard & Jil Tracy,Kirk W. Dillard & Jil Tracy Percent,Bruce Rauner & Evelyn Sanguinetti,Bruce Rauner & Evelyn Sanguinetti Percent,precinct_id
1,1,7,0,0.0,0,0.0,5,71.43,2,28.57,01001
1,2,6,1,16.67,0,0.0,1,16.67,4,66.67,01002
1,3,11,0,0.0,0,0.0,2,18.18,9,81.82,01003
1,4,19,2,10.53,1,5.26,4,21.05,12,63.16,01004
1,5,14,1,7.14,0,0.0,5,35.71,8,57.14,01005
1,6,31,5,16.13,2,6.45,6,19.35,18,58.06,01006
1,7,6,3,50.0,1,16.67,2,33.33,0,0.0,01007
1,8,16,1,6.25,1,6.25,4,25.0,10,62.5,01008
1,9,9,0,0.0,1,11.11,2,22.22,6,66.67,01009
1,10,12,1,8.33,1,8.33,2,16.67,8,66.67,01010
1,11,22,2,9.09,1,4.55,7,31.82,12,54.55,01011
1,12,26,3,11.54,5,19.23,8,30.77,10,38.46,01012
1,13,3,0,0.0,0,0.0,1,33.33,2,66.67,01013
1,14,11,1,9.09,0,0.0,2,18.18,8,72.73,01014
1,15,10,2,20.0,0,0.0,3,30.0,5,50.0,01015
1,16,4,0,0.0,1,25.0,1,25.0,2,50.0,01016
1,17,13,0,0.0,0,0.0,7,53.85,6,46.15,01017
1,18,8,0,0.0,1,12.5,5,62.5,2,25.0,01018
1,19,12,3,25.0,0,0.0,3,25.0,6,50.0,01019
1,20,16,5,31.25,1,6.25,4,25.0,6,37.5,01020
1,21,15,1,6.67,0,0.0,5,33.33,9,60.0,01021
1,22,5,2,40.0,1,20.0,0,0.0,2,40.0,01022
1,23,15,3,20.0,1,6.67,3,20.0,8,53.33,01023
1,24,6,3,50.0,0,0.0,0,0.0,3,50.0,01024
1,25,11,2,18.18,0,0.0,2,18.18,7,63.64,01025
1,26,6,1,16.67,0,0.0,1,16.67,4,66.67,01026
1,27,16,0,0.0,0,0.0,6,37.5,10,62.5,01027
1,28,4,3,75.0,0,0.0,0,0.0,1,25.0,01028
1,29,15,3,20.0,1,6.67,3,20.0,8,53.33,01029
1,30,6,1,16.67,1,16.67,1,16.67,3,50.0,01030
1,31,11,3,27.27,0,0.0,0,0.0,8,72.73,01031
1,32,20,3,15.0,0,0.0,4,20.0,13,65.0,01032
1,33,27,2,7.41,1,3.7,9,33.33,15,55.56,01033
1,34,11,2,18.18,0,0.0,1,9.09,8,72.73,01034
1,35,20,1,5.0,3,15.0,7,35.0,9,45.0,01035
1,36,16,2,12.5,3,18.75,4,25.0,7,43.75,01036
1,37,21,1,4.76,0,0.0,11,52.38,9,42.86,01037
1,38,7,2,28.57,0,0.0,2,28.57,3,42.86,01038
1,39,12,3,25.0,1,8.33,2,16.67,6,50.0,01039
1,40,8,1,12.5,0,0.0,2,25.0,5,62.5,01040
1,41,5,1,20.0,0,0.0,2,40.0,2,40.0,01041
1,42,3,1,33.33,1,33.33,1,33.33,0,0.0,01042
1,43,8,2,25.0,0,0.0,1,12.5,5,62.5,01043
1,44,5,1,20.0,0,0.0,0,0.0,4,80.0,01044
2,1,13,3,23.08,1,7.69,3,23.08,6,46.15,02001
2,2,50,4,8.0,1,2.0,12,24.0,33,66.0,02002
2,3,25,2,8.0,4,16.0,7,28.0,12,48.0,02003
2,4,19,6,31.58,1,5.26,6,31.58,6,31.58,02004
2,5,14,1,7.14,2,14.29,5,35.71,6,42.86,02005
2,6,14,0,0.0,3,21.43,4,28.57,7,50.0,02006
2,7,19,2,10.53,0,0.0,3,15.79,14,73.68,02007
2,8,17,2,11.76,1,5.88,7,41.18,7,41.18,02008
2,9,24,1,4.17,1,4.17,1,4.17,21,87.5,02009
2,10,63,5,7.94,3,4.76,10,15.87,45,71.43,02010
2,11,64,2,3.13,1,1.56,12,18.75,49,76.56,02011
2,12,30,3,10.0,1,3.33,3,10.0,23,76.67,02012
2,13,65,7,10.77,3,4.62,9,13.85,46,70.77,02013
2,14,18,1,5.56,4,22.22,8,44.44,5,27.78,02014
2,15,17,3,17.65,2,11.76,5,29.41,7,41.18,02015
2,16,13,2,15.38,0,0.0,1,7.69,10,76.92,02016
2,17,26,4,15.38,4,15.38,8,30.77,10,38.46,02017
2,18,62,7,11.29,3,4.84,12,19.35,40,64.52,02018
2,19,69,7,10.14,7,10.14,3,4.35,52,75.36,02019
2,20,26,1,3.85,1,3.85,7,26.92,17,65.38,02020
2,21,16,0,0.0,2,12.5,6,37.5,8,50.0,02021
2,22,50,1,2.0,4,8.0,9,18.0,36,72.0,02022
2,23,61,1,1.64,1,1.64,5,8.2,54,88.52,02023
2,24,37,4,10.81,2,5.41,11,29.73,20,54.05,02024
2,25,13,0,0.0,0,0.0,6,46.15,7,53.85,02025
2,26,30,1,3.33,4,13.33,2,6.67,23,76.67,02026
2,27,55,6,10.91,6,10.91,7,12.73,36,65.45,02027
2,28,65,6,9.23,2,3.08,15,23.08,42,64.62,02028
2,29,51,2,3.92,4,7.84,8,15.69,37,72.55,02029
2,30,61,5,8.2,2,3.28,16,26.23,38,62.3,02030
2,31,80,1,1.25,5,6.25,9,11.25,65,81.25,02031
2,32,34,0,0.0,1,2.94,4,11.76,29,85.29,02032
2,33,91,3,3.3,3,3.3,26,28.57,59,64.84,02033
2,34,78,2,2.56,5,6.41,11,14.1,60,76.92,02034
2,35,28,0,0.0,1,3.57,3,10.71,24,85.71,02035
2,36,34,0,0.0,0,0.0,9,26.47,25,73.53,02036
2,37,60,5,8.33,1,1.67,18,30.0,36,60.0,02037
2,38,79,2,2.53,0,0.0,10,12.66,67,84.81,02038
2,39,48,15,31.25,7,14.58,7,14.58,19,39.58,02039
2,40,31,5,16.13,3,9.68,5,16.13,18,58.06,02040
2,41,22,3,13.64,1,4.55,9,40.91,9,40.91,02041
2,42,30,2,6.67,2,6.67,7,23.33,19,63.33,02042
2,43,66,4,6.06,2,3.03,11,16.67,49,74.24,02043
2,44,37,3,8.11,3,8.11,12,32.43,19,51.35,02044
2,45,47,8,17.02,3,6.38,7,14.89,29,61.7,02045
2,46,26,0,0.0,1,3.85,11,42.31,14,53.85,02046
3,1,7,1,14.29,1,14.29,2,28.57,3,42.86,03001
3,2,3,1,33.33,0,0.0,0,0.0,2,66.67,03002
3,3,6,1,16.67,1,16.67,2,33.33,2,33.33,03003
3,4,3,0,0.0,0,0.0,1,33.33,2,66.67,03004
3,5,5,1,20.0,0,0.0,2,40.0,2,40.0,03005
3,6,43,11,25.58,0,0.0,9,20.93,23,53.49,03006
3,7,6,0,0.0,0,0.0,4,66.67,2,33.33,03007
3,8,1,0,0.0,0,0.0,1,100.0,0,0.0,03008
3,9,5,1,20.0,0,0.0,3,60.0,1,20.0,03009
3,10,0,0,0.0,0,0.0,0,0.0,0,0.0,03010
3,11,4,1,25.0,0,0.0,3,75.0,0,0.0,03011
3,12,4,0,0.0,0,0.0,3,75.0,1,25.0,03012
3,13,34,2,5.88,2,5.88,16,47.06,14,41.18,03013
3,14,13,3,23.08,1,7.69,3,23.08,6,46.15,03014
3,15,1,1,100.0,0,0.0,0,0.0,0,0.0,03015
3,16,3,0,0.0,0,0.0,2,66.67,1,33.33,03016
3,17,18,3,16.67,1,5.56,8,44.44,6,33.33,03017
3,18,9,0,0.0,0,0.0,6,66.67,3,33.33,03018
3,19,35,0,0.0,1,2.86,14,40.0,20,57.14,03019
3,20,4,0,0.0,2,50.0,2,50.0,0,0.0,03020
3,21,42,1,2.38,3,7.14,11,26.19,27,64.29,03021
3,22,18,0,0.0,0,0.0,4,22.22,14,77.78,03022
3,23,2,0,0.0,1,50.0,0,0.0,1,50.0,03023
3,24,2,0,0.0,0,0.0,2,100.0,0,0.0,03024
3,25,51,1,1.96,0,0.0,13,25.49,37,72.55,03025
3,26,45,3,6.67,4,8.89,14,31.11,24,53.33,03026
3,27,20,1,5.0,0,0.0,6,30.0,13,65.0,03027
3,28,4,1,25.0,0,0.0,0,0.0,3,75.0,03028
3,29,5,1,20.0,1,20.0,2,40.0,1,20.0,03029
3,30,5,0,0.0,1,20.0,3,60.0,1,20.0,03030
3,31,0,0,0.0,0,0.0,0,0.0,0,0.0,03031
3,32,22,1,4.55,0,0.0,8,36.36,13,59.09,03032
3,33,24,4,16.67,1,4.17,5,20.83,14,58.33,03033
3,34,18,2,11.11,0,0.0,5,27.78,11,61.11,03034
3,35,1,0,0.0,0,0.0,1,100.0,0,0.0,03035
3,36,1,0,0.0,1,100.0,0,0.0,0,0.0,03036
3,37,2,0,0.0,0,0.0,1,50.0,1,50.0,03037
3,38,0,0,0.0,0,0.0,0,0.0,0,0.0,03038
