ward,precinct,total,Teresa Molina,Teresa Molina Percent,precinct_id
1,1,491,491,100.0,01001
1,2,448,448,100.0,01002
1,3,619,619,100.0,01003
1,4,581,581,100.0,01004
1,5,514,514,100.0,01005
1,6,427,427,100.0,01006
1,7,341,341,100.0,01007
1,8,439,439,100.0,01008
1,9,357,357,100.0,01009
1,10,640,640,100.0,01010
1,11,595,595,100.0,01011
1,12,565,565,100.0,01012
1,13,255,255,100.0,01013
1,14,463,463,100.0,01014
1,15,453,453,100.0,01015
1,16,524,524,100.0,01016
1,17,430,430,100.0,01017
1,18,495,495,100.0,01018
1,19,602,602,100.0,01019
1,20,403,403,100.0,01020
1,21,717,717,100.0,01021
1,22,337,337,100.0,01022
1,23,671,671,100.0,01023
1,24,434,434,100.0,01024
1,25,500,500,100.0,01025
1,26,318,318,100.0,01026
1,27,558,558,100.0,01027
1,28,167,167,100.0,01028
1,29,653,653,100.0,01029
1,30,543,543,100.0,01030
1,31,433,433,100.0,01031
1,32,467,467,100.0,01032
1,33,531,531,100.0,01033
1,34,418,418,100.0,01034
1,35,622,622,100.0,01035
1,36,579,579,100.0,01036
1,37,496,496,100.0,01037
1,38,477,477,100.0,01038
1,39,406,406,100.0,01039
1,40,442,442,100.0,01040
1,41,286,286,100.0,01041
1,42,172,172,100.0,01042
1,43,301,301,100.0,01043
1,44,461,461,100.0,01044
2,1,563,563,100.0,02001
2,2,323,323,100.0,02002
2,3,570,570,100.0,02003
2,4,509,509,100.0,02004
2,5,621,621,100.0,02005
2,6,528,528,100.0,02006
2,7,463,463,100.0,02007
2,8,617,617,100.0,02008
2,9,435,435,100.0,02009
2,10,309,309,100.0,02010
2,11,452,452,100.0,02011
2,12,399,399,100.0,02012
2,13,384,384,100.0,02013
2,14,476,476,100.0,02014
2,15,438,438,100.0,02015
2,16,485,485,100.0,02016
2,17,535,535,100.0,02017
2,18,412,412,100.0,02018
2,19,279,279,100.0,02019
2,20,634,634,100.0,02020
2,21,520,520,100.0,02021
2,22,470,470,100.0,02022
2,23,267,267,100.0,02023
2,24,407,407,100.0,02024
2,25,551,551,100.0,02025
2,26,386,386,100.0,02026
2,27,389,389,100.0,02027
2,28,525,525,100.0,02028
2,29,501,501,100.0,02029
2,30,384,384,100.0,02030
2,31,516,516,100.0,02031
2,32,396,396,100.0,02032
2,33,639,639,100.0,02033
2,34,329,329,100.0,02034
2,35,632,632,100.0,02035
2,36,506,506,100.0,02036
2,37,408,408,100.0,02037
2,38,393,393,100.0,02038
2,39,280,280,100.0,02039
2,40,672,672,100.0,02040
2,41,559,559,100.0,02041
2,42,534,534,100.0,02042
2,43,613,613,100.0,02043
2,44,269,269,100.0,02044
2,45,571,571,100.0,02045
2,46,238,238,100.0,02046
3,1,600,600,100.0,03001
3,2,451,451,100.0,03002
3,3,346,346,100.0,03003
3,4,541,541,100.0,03004
3,5,228,228,100.0,03005
3,6,621,621,100.0,03006
3,7,245,245,100.0,03007
3,8,340,340,100.0,03008
3,9,518,518,100.0,03009
3,10,213,213,100.0,03010
3,11,498,498,100.0,03011
3,12,407,407,100.0,03012
3,13,562,562,100.0,03013
3,14,543,543,100.0,03014
3,15,423,423,100.0,03015
3,16,371,371,100.0,03016
3,17,699,699,100.0,03017
3,18,581,581,100.0,03018
3,19,576,576,100.0,03019
3,20,462,462,100.0,03020
3,21,460,460,100.0,03021
3,22,628,628,100.0,03022
3,23,325,325,100.0,03023
3,24,379,379,100.0,03024
3,25,759,759,100.0,03025
3,26,505,505,100.0,03026
3,27,589,589,100.0,03027
3,28,207,207,100.0,03028
3,29,432,432,100.0,03029
3,30,392,392,100.0,03030
3,31,525,525,100.0,03031
3,32,754,754,100.0,03032
3,33,584,584,100.0,03033
3,34,710,710,100.0,03034
3,35,243,243,100.0,03035
3,36,207,207,100.0,03036
3,37,415,415,100.0,03037
3,38,315,315,100.0,03038
3,39,942,942,100.0,03039
3,40,445,445,100.0,03040
3,41,306,306,100.0,03041
4,1,705,705,100.0,04001
4,2,650,650,100.0,04002
4,3,390,390,100.0,04003
4,4,619,619,100.0,04004
4,5,480,480,100.0,04005
4,6,501,501,100.0,04006
4,7,619,619,100.0,04007
4,8,530,530,100.0,04008
4,9,516,516,100.0,04009
4,10,614,614,100.0,04010
4,11,447,447,100.0,04011
4,12,627,627,100.0,04012
4,13,663,663,100.0,04013
4,14,456,456,100.0,04014
4,15,535,535,100.0,04015
4,16,861,861,100.0,04016
4,17,583,583,100.0,04017
4,18,466,466,100.0,04018
4,19,277,277,100.0,04019
4,20,376,376,100.0,04020
4,21,555,555,100.0,04021
4,22,441,441,100.0,04022
4,23,591,591,100.0,04023
4,24,456,456,100.0,04024
4,25,605,605,100.0,04025
4,26,435,435,100.0,04026
4,27,665,665,100.0,04027
4,28,427,427,100.0,04028
4,29,462,462,100.0,04029
4,30,645,645,100.0,04030
4,31,429,429,100.0,04031
4,32,550,550,100.0,04032
4,33,449,449,100.0,04033
4,34,426,426,100.0,04034
4,35,562,562,100.0,04035
4,36,578,578,100.0,04036
4,37,928,928,100.0,04037
4,38,553,553,100.0,04038
5,1,377,377,100.0,05001
5,2,303,303,100.0,05002
5,3,470,470,100.0,05003
5,4,619,619,100.0,05004
5,5,385,385,100.0,05005
5,6,328,328,100.0,05006
5,7,429,429,100.0,05007
5,8,456,456,100.0,05008
5,9,536,536,100.0,05009
5,10,340,340,100.0,05010
5,11,446,446,100.0,05011
5,12,271,271,100.0,05012
5,13,373,373,100.0,05013
5,14,350,350,100.0,05014
5,15,439,439,100.0,05015
5,16,407,407,100.0,05016
5,17,336,336,100.0,05017
5,18,415,415,100.0,05018
5,19,416,416,100.0,05019
5,20,486,486,100.0,05020
5,21,485,485,100.0,05021
5,22,528,528,100.0,05022
5,23,787,787,100.0,05023
5,24,558,558,100.0,05024
5,25,402,402,100.0,05025
5,26,411,411,100.0,05026
5,27,450,450,100.0,05027
5,28,435,435,100.0,05028
5,29,456,456,100.0,05029
5,30,261,261,100.0,05030
5,31,314,314,100.0,05031
5,32,507,507,100.0,05032
5,33,439,439,100.0,05033
5,34,459,459,100.0,05034
5,35,588,588,100.0,05035
5,36,260,260,100.0,05036
5,37,473,473,100.0,05037
5,38,368,368,100.0,05038
5,39,362,362,100.0,05039
5,40,318,318,100.0,05040
5,41,207,207,100.0,05041
6,1,361,361,100.0,06001
6,2,367,367,100.0,06002
6,3,364,364,100.0,06003
6,4,231,231,100.0,06004
6,5,208,208,100.0,06005
6,6,427,427,100.0,06006
6,7,330,330,100.0,06007
6,8,338,338,100.0,06008
6,9,334,334,100.0,06009
6,10,236,236,100.0,06010
6,11,303,303,100.0,06011
6,12,242,242,100.0,06012
6,13,253,253,100.0,06013
6,14,324,324,100.0,06014
6,15,277,277,100.0,06015
6,16,378,378,100.0,06016
6,17,232,232,100.0,06017
6,18,242,242,100.0,06018
6,19,272,272,100.0,06019
6,20,230,230,100.0,06020
6,21,136,136,100.0,06021
6,22,186,186,100.0,06022
6,23,152,152,100.0,06023
6,24,172,172,100.0,06024
6,25,165,165,100.0,06025
6,26,231,231,100.0,06026
6,27,203,203,100.0,06027
6,28,163,163,100.0,06028
6,29,349,349,100.0,06029
6,30,276,276,100.0,06030
6,31,366,366,100.0,06031
6,32,357,357,100.0,06032
6,33,351,351,100.0,06033
6,34,337,337,100.0,06034
6,35,312,312,100.0,06035
6,36,364,364,100.0,06036
6,37,391,391,100.0,06037
6,38,372,372,100.0,06038
6,39,269,269,100.0,06039
6,40,302,302,100.0,06040
6,41,340,340,100.0,06041
6,42,325,325,100.0,06042
6,43,315,315,100.0,06043
6,44,379,379,100.0,06044
6,45,337,337,100.0,06045
6,46,256,256,100.0,06046
6,47,248,248,100.0,06047
6,48,333,333,100.0,06048
7,1,323,323,100.0,07001
7,2,317,317,100.0,07002
7,3,323,323,100.0,07003
7,4,325,325,100.0,07004
7,5,291,291,100.0,07005
7,6,429,429,100.0,07006
7,7,296,296,100.0,07007
7,8,278,278,100.0,07008
7,9,540,540,100.0,07009
7,10,412,412,100.0,07010
7,11,347,347,100.0,07011
7,12,283,283,100.0,07012
7,13,183,183,100.0,07013
7,14,372,372,100.0,07014
7,15,341,341,100.0,07015
7,16,306,306,100.0,07016
7,17,244,244,100.0,07017
7,18,305,305,100.0,07018
7,19,311,311,100.0,07019
7,20,259,259,100.0,07020
7,21,243,243,100.0,07021
7,22,287,287,100.0,07022
7,23,321,321,100.0,07023
7,24,280,280,100.0,07024
7,25,254,254,100.0,07025
7,26,281,281,100.0,07026
7,27,245,245,100.0,07027
7,28,232,232,100.0,07028
7,29,299,299,100.0,07029
7,30,272,272,100.0,07030
7,31,250,250,100.0,07031
7,32,429,429,100.0,07032
7,33,427,427,100.0,07033
7,34,417,417,100.0,07034
7,35,373,373,100.0,07035
7,36,420,420,100.0,07036
7,37,343,343,100.0,07037
7,38,317,317,100.0,07038
7,39,292,292,100.0,07039
7,40,299,299,100.0,07040
7,41,336,336,100.0,07041
7,42,330,330,100.0,07042
7,43,318,318,100.0,07043
7,44,288,288,100.0,07044
7,45,284,284,100.0,07045
7,46,93,93,100.0,07046
8,1,282,282,100.0,08001
8,2,311,311,100.0,08002
8,3,402,402,100.0,08003
8,4,400,400,100.0,08004
8,5,381,381,100.0,08005
