ward,precinct,total,Laura Ayala-Gonzalez,Laura Ayala-Gonzalez Percent,precinct_id
1,1,509,509,100.0,01001
1,2,457,457,100.0,01002
1,3,630,630,100.0,01003
1,4,597,597,100.0,01004
1,5,527,527,100.0,01005
1,6,439,439,100.0,01006
1,7,345,345,100.0,01007
1,8,456,456,100.0,01008
1,9,370,370,100.0,01009
1,10,654,654,100.0,01010
1,11,597,597,100.0,01011
1,12,574,574,100.0,01012
1,13,251,251,100.0,01013
1,14,475,475,100.0,01014
1,15,462,462,100.0,01015
1,16,555,555,100.0,01016
1,17,445,445,100.0,01017
1,18,507,507,100.0,01018
1,19,616,616,100.0,01019
1,20,411,411,100.0,01020
1,21,731,731,100.0,01021
1,22,343,343,100.0,01022
1,23,683,683,100.0,01023
1,24,436,436,100.0,01024
1,25,522,522,100.0,01025
1,26,326,326,100.0,01026
1,27,562,562,100.0,01027
1,28,177,177,100.0,01028
1,29,661,661,100.0,01029
1,30,568,568,100.0,01030
1,31,453,453,100.0,01031
1,32,483,483,100.0,01032
1,33,554,554,100.0,01033
1,34,430,430,100.0,01034
1,35,634,634,100.0,01035
1,36,586,586,100.0,01036
1,37,521,521,100.0,01037
1,38,493,493,100.0,01038
1,39,417,417,100.0,01039
1,40,446,446,100.0,01040
1,41,277,277,100.0,01041
1,42,170,170,100.0,01042
1,43,310,310,100.0,01043
1,44,469,469,100.0,01044
2,1,576,576,100.0,02001
2,2,317,317,100.0,02002
2,3,589,589,100.0,02003
2,4,515,515,100.0,02004
2,5,634,634,100.0,02005
2,6,542,542,100.0,02006
2,7,483,483,100.0,02007
2,8,622,622,100.0,02008
2,9,439,439,100.0,02009
2,10,311,311,100.0,02010
2,11,459,459,100.0,02011
2,12,398,398,100.0,02012
2,13,380,380,100.0,02013
2,14,482,482,100.0,02014
2,15,449,449,100.0,02015
2,16,494,494,100.0,02016
2,17,543,543,100.0,02017
2,18,419,419,100.0,02018
2,19,282,282,100.0,02019
2,20,640,640,100.0,02020
2,21,533,533,100.0,02021
2,22,477,477,100.0,02022
2,23,276,276,100.0,02023
2,24,415,415,100.0,02024
2,25,569,569,100.0,02025
2,26,390,390,100.0,02026
2,27,398,398,100.0,02027
2,28,530,530,100.0,02028
2,29,522,522,100.0,02029
2,30,382,382,100.0,02030
2,31,526,526,100.0,02031
2,32,400,400,100.0,02032
2,33,643,643,100.0,02033
2,34,335,335,100.0,02034
