ward,precinct,total,Anita Alvarez,Anita Alvarez Percent,Tony Peraica,Tony Peraica Percent,Thomas O'Brien,Thomas O'Brien Percent,precinct_id
1,1,486,344,70.78,88,18.11,54,11.11,01001
1,2,520,363,69.81,109,20.96,48,9.23,01002
1,3,415,309,74.46,64,15.42,42,10.12,01003
1,4,431,300,69.61,83,19.26,48,11.14,01004
1,5,531,392,73.82,101,19.02,38,7.16,01005
1,6,421,256,60.81,123,29.22,42,9.98,01006
1,7,436,295,67.66,114,26.15,27,6.19,01007
1,8,487,378,77.62,67,13.76,42,8.62,01008
1,9,368,278,75.54,54,14.67,36,9.78,01009
1,10,531,369,69.49,109,20.53,53,9.98,01010
1,11,403,295,73.2,75,18.61,33,8.19,01011
1,12,601,407,67.72,154,25.62,40,6.66,01012
1,13,536,412,76.87,67,12.5,57,10.63,01013
1,14,416,317,76.2,64,15.38,35,8.41,01014
1,15,317,260,82.02,39,12.3,18,5.68,01015
1,16,158,143,90.51,11,6.96,4,2.53,01016
1,17,374,281,75.13,60,16.04,33,8.82,01017
1,18,411,309,75.18,51,12.41,51,12.41,01018
1,19,292,211,72.26,54,18.49,27,9.25,01019
1,20,413,318,77.0,56,13.56,39,9.44,01020
1,21,383,271,70.76,84,21.93,28,7.31,01021
1,22,370,300,81.08,39,10.54,31,8.38,01022
1,23,367,254,69.21,77,20.98,36,9.81,01023
1,24,570,431,75.61,87,15.26,52,9.12,01024
1,25,370,265,71.62,78,21.08,27,7.3,01025
1,26,465,300,64.52,123,26.45,42,9.03,01026
1,27,327,248,75.84,64,19.57,15,4.59,01027
1,28,279,220,78.85,45,16.13,14,5.02,01028
1,29,459,325,70.81,92,20.04,42,9.15,01029
1,30,607,465,76.61,93,15.32,49,8.07,01030
1,31,646,409,63.31,187,28.95,50,7.74,01031
1,32,421,312,74.11,77,18.29,32,7.6,01032
1,33,479,341,71.19,105,21.92,33,6.89,01033
1,34,325,242,74.46,55,16.92,28,8.62,01034
1,35,432,300,69.44,99,22.92,33,7.64,01035
1,36,495,340,68.69,106,21.41,49,9.9,01036
1,37,403,311,77.17,52,12.9,40,9.93,01037
1,38,277,206,74.37,46,16.61,25,9.03,01038
1,39,470,373,79.36,73,15.53,24,5.11,01039
1,40,218,156,71.56,47,21.56,15,6.88,01040
1,41,367,272,74.11,71,19.35,24,6.54,01041
1,42,402,299,74.38,81,20.15,22,5.47,01042
1,43,361,282,78.12,59,16.34,20,5.54,01043
1,44,382,273,71.47,62,16.23,47,12.3,01044
1,45,432,327,75.69,61,14.12,44,10.19,01045
1,46,470,341,72.55,83,17.66,46,9.79,01046
1,47,483,342,70.81,100,20.7,41,8.49,01047
1,48,248,185,74.6,48,19.35,15,6.05,01048
1,49,309,216,69.9,55,17.8,38,12.3,01049
1,50,369,276,74.8,58,15.72,35,9.49,01050
2,1,873,610,69.87,198,22.68,65,7.45,02001
2,2,182,150,82.42,24,13.19,8,4.4,02002
2,3,641,468,73.01,124,19.34,49,7.64,02003
2,4,392,368,93.88,14,3.57,10,2.55,02004
2,5,495,440,88.89,32,6.46,23,4.65,02005
2,6,801,530,66.17,227,28.34,44,5.49,02006
2,7,467,432,92.51,18,3.85,17,3.64,02007
2,8,598,422,70.57,146,24.41,30,5.02,02008
2,9,485,433,89.28,35,7.22,17,3.51,02009
2,10,322,296,91.93,14,4.35,12,3.73,02010
2,11,586,417,71.16,130,22.18,39,6.66,02011
2,12,814,516,63.39,236,28.99,62,7.62,02012
2,13,492,398,80.89,67,13.62,27,5.49,02013
2,14,452,392,86.73,33,7.3,27,5.97,02014
2,15,271,244,90.04,14,5.17,13,4.8,02015
2,16,869,545,62.72,275,31.65,49,5.64,02016
2,17,406,377,92.86,21,5.17,8,1.97,02017
2,18,471,314,66.67,136,28.87,21,4.46,02018
2,19,714,457,64.01,219,30.67,38,5.32,02019
2,20,471,408,86.62,46,9.77,17,3.61,02020
2,21,386,315,81.61,52,13.47,19,4.92,02021
2,22,641,461,71.92,151,23.56,29,4.52,02022
2,23,341,276,80.94,48,14.08,17,4.99,02023
2,24,589,450,76.4,92,15.62,47,7.98,02024
2,25,672,539,80.21,98,14.58,35,5.21,02025
2,26,453,339,74.83,93,20.53,21,4.64,02026
2,27,365,337,92.33,18,4.93,10,2.74,02027
2,28,412,278,67.48,114,27.67,20,4.85,02028
2,29,282,225,79.79,46,16.31,11,3.9,02029
2,30,657,440,66.97,170,25.88,47,7.15,02030
2,31,404,357,88.37,32,7.92,15,3.71,02031
2,32,322,280,86.96,31,9.63,11,3.42,02032
2,33,296,271,91.55,9,3.04,16,5.41,02033
2,34,306,269,87.91,21,6.86,16,5.23,02034
2,35,202,156,77.23,26,12.87,20,9.9,02035
2,36,744,536,72.04,163,21.91,45,6.05,02036
2,37,419,297,70.88,101,24.11,21,5.01,02037
2,38,740,488,65.95,218,29.46,34,4.59,02038
2,39,535,451,84.3,61,11.4,23,4.3,02039
2,40,1035,753,72.75,220,21.26,62,5.99,02040
2,41,262,247,94.27,6,2.29,9,3.44,02041
2,42,190,174,91.58,10,5.26,6,3.16,02042
2,43,496,364,73.39,100,20.16,32,6.45,02043
2,44,270,243,90.0,18,6.67,9,3.33,02044
2,45,498,422,84.74,47,9.44,29,5.82,02045
2,46,500,427,85.4,44,8.8,29,5.8,02046
2,47,312,292,93.59,11,3.53,9,2.88,02047
2,48,295,277,93.9,11,3.73,7,2.37,02048
2,49,363,261,71.9,72,19.83,30,8.26,02049
2,50,349,268,76.79,57,16.33,24,6.88,02050
2,51,373,335,89.81,24,6.43,14,3.75,02051
2,52,582,527,90.55,34,5.84,21,3.61,02052
2,53,611,448,73.32,122,19.97,41,6.71,02053
2,54,640,462,72.19,114,17.81,64,10.0,02054
2,55,275,203,73.82,60,21.82,12,4.36,02055
2,56,362,320,88.4,26,7.18,16,4.42,02056
3,1,343,310,90.38,26,7.58,7,2.04,03001
3,2,439,402,91.57,23,5.24,14,3.19,03002
3,3,529,425,80.34,81,15.31,23,4.35,03003
3,4,300,275,91.67,15,5.0,10,3.33,03004
3,5,322,279,86.65,26,8.07,17,5.28,03005
3,6,338,322,95.27,6,1.78,10,2.96,03006
3,7,303,271,89.44,19,6.27,13,4.29,03007
3,8,476,438,92.02,22,4.62,16,3.36,03008
3,9,353,324,91.78,17,4.82,12,3.4,03009
3,10,182,171,93.96,4,2.2,7,3.85,03010
3,11,413,367,88.86,26,6.3,20,4.84,03011
3,12,344,315,91.57,16,4.65,13,3.78,03012
3,13,256,216,84.38,33,12.89,7,2.73,03013
3,14,247,229,92.71,12,4.86,6,2.43,03014
3,15,414,383,92.51,18,4.35,13,3.14,03015
3,16,299,269,89.97,19,6.35,11,3.68,03016
3,17,223,208,93.27,9,4.04,6,2.69,03017
3,18,206,189,91.75,9,4.37,8,3.88,03018
3,19,127,103,81.1,17,13.39,7,5.51,03019
3,20,295,259,87.8,26,8.81,10,3.39,03020
3,21,215,199,92.56,7,3.26,9,4.19,03021
3,22,218,192,88.07,10,4.59,16,7.34,03022
3,23,400,352,88.0,26,6.5,22,5.5,03023
3,24,480,447,93.13,16,3.33,17,3.54,03024
3,25,306,288,94.12,10,3.27,8,2.61,03025
3,26,157,143,91.08,9,5.73,5,3.18,03026
3,27,389,354,91.0,20,5.14,15,3.86,03027
3,28,899,628,69.86,212,23.58,59,6.56,03028
3,29,310,281,90.65,13,4.19,16,5.16,03029
3,30,289,269,93.08,6,2.08,14,4.84,03030
3,31,521,480,92.13,16,3.07,25,4.8,03031
3,32,353,322,91.22,18,5.1,13,3.68,03032
3,33,527,488,92.6,24,4.55,15,2.85,03033
3,34,296,261,88.18,23,7.77,12,4.05,03034
3,35,384,345,89.84,23,5.99,16,4.17,03035
3,36,143,132,92.31,8,5.59,3,2.1,03036
3,37,147,134,91.16,5,3.4,8,5.44,03037
3,38,439,408,92.94,16,3.64,15,3.42,03038
3,39,355,329,92.68,15,4.23,11,3.1,03039
3,40,338,301,89.05,26,7.69,11,3.25,03040
3,41,296,237,80.07,42,14.19,17,5.74,03041
3,42,379,352,92.88,16,4.22,11,2.9,03042
3,43,122,120,98.36,2,1.64,0,0.0,03043
3,44,164,149,90.85,9,5.49,6,3.66,03044
3,45,487,390,80.08,78,16.02,19,3.9,03045
3,46,94,87,92.55,3,3.19,4,4.26,03046
3,47,231,222,96.1,4,1.73,5,2.16,03047
3,48,263,239,90.87,15,5.7,9,3.42,03048
3,49,137,124,90.51,7,5.11,6,4.38,03049
3,50,267,240,89.89,11,4.12,16,5.99,03050
4,1,691,570,82.49,71,10.27,50,7.24,04001
4,2,623,549,88.12,44,7.06,30,4.82,04002
4,3,564,511,90.6,33,5.85,20,3.55,04003
4,4,503,463,92.05,23,4.57,17,3.38,04004
4,5,533,475,89.12,38,7.13,20,3.75,04005
4,6,143,121,84.62,12,8.39,10,6.99,04006
4,7,548,495,90.33,32,5.84,21,3.83,04007
4,8,548,494,90.15,30,5.47,24,4.38,04008
4,9,667,611,91.6,30,4.5,26,3.9,04009
4,10,522,470,90.04,24,4.6,28,5.36,04010
4,11,500,462,92.4,25,5.0,13,2.6,04011
4,12,266,236,88.72,18,6.77,12,4.51,04012
4,13,336,287,85.42,24,7.14,25,7.44,04013
4,14,436,404,92.66,19,4.36,13,2.98,04014
4,15,367,317,86.38,35,9.54,15,4.09,04015
4,16,558,512,91.76,25,4.48,21,3.76,04016
4,17,469,382,81.45,66,14.07,21,4.48,04017
4,18,502,449,89.44,28,5.58,25,4.98,04018
4,19,504,457,90.67,33,6.55,14,2.78,04019
4,20,299,283,94.65,8,2.68,8,2.68,04020
4,21,527,448,85.01,46,8.73,33,6.26,04021
4,22,520,450,86.54,48,9.23,22,4.23,04022
4,23,346,286,82.66,40,11.56,20,5.78,04023
4,24,500,446,89.2,35,7.0,19,3.8,04024
4,25,375,336,89.6,26,6.93,13,3.47,04025
4,26,516,468,90.7,35,6.78,13,2.52,04026
4,27,414,387,93.48,18,4.35,9,2.17,04027
4,28,308,236,76.62,47,15.26,25,8.12,04028
4,29,378,318,84.13,47,12.43,13,3.44,04029
4,30,382,331,86.65,35,9.16,16,4.19,04030
4,31,292,237,81.16,33,11.3,22,7.53,04031
4,32,471,380,80.68,61,12.95,30,6.37,04032
4,33,395,353,89.37,27,6.84,15,3.8,04033
4,34,338,264,78.11,52,15.38,22,6.51,04034
4,35,343,317,92.42,19,5.54,7,2.04,04035
4,36,336,306,91.07,16,4.76,14,4.17,04036
4,37,82,77,93.9,1,1.22,4,4.88,04037
4,38,620,531,85.65,59,9.52,30,4.84,04038
4,39,344,314,91.28,14,4.07,16,4.65,04039
4,40,480,427,88.96,32,6.67,21,4.38,04040
4,41,249,193,77.51,29,11.65,27,10.84,04041
4,42,497,430,86.52,42,8.45,25,5.03,04042
4,43,294,242,82.31,31,10.54,21,7.14,04043
4,44,300,257,85.67,26,8.67,17,5.67,04044
4,45,586,514,87.71,50,8.53,22,3.75,04045
4,46,350,308,88.0,20,5.71,22,6.29,04046
4,47,672,582,86.61,38,5.65,52,7.74,04047
4,48,477,392,82.18,63,13.21,22,4.61,04048
4,49,308,276,89.61,24,7.79,8,2.6,04049
4,50,401,364,90.77,24,5.99,13,3.24,04050
4,51,439,393,89.52,28,6.38,18,4.1,04051
4,52,526,490,93.16,23,4.37,13,2.47,04052
5,1,505,461,91.29,21,4.16,23,4.55,05001
5,2,404,368,91.09,22,5.45,14,3.47,05002
5,3,232,199,85.78,15,6.47,18,7.76,05003
5,4,293,258,88.05,17,5.8,18,6.14,05004
5,5,440,414,94.09,14,3.18,12,2.73,05005
5,6,514,462,89.88,29,5.64,23,4.47,05006
5,7,454,419,92.29,27,5.95,8,1.76,05007
5,8,501,408,81.44,71,14.17,22,4.39,05008
5,9,419,388,92.6,21,5.01,10,2.39,05009
5,10,427,394,92.27,20,4.68,13,3.04,05010
5,11,365,300,82.19,45,12.33,20,5.48,05011
5,12,308,289,93.83,8,2.6,11,3.57,05012
5,13,419,374,89.26,26,6.21,19,4.53,05013
5,14,518,423,81.66,56,10.81,39,7.53,05014
5,15,350,295,84.29,26,7.43,29,8.29,05015
5,16,372,343,92.2,17,4.57,12,3.23,05016
5,17,467,450,96.36,10,2.14,7,1.5,05017
5,18,450,411,91.33,25,5.56,14,3.11,05018
5,19,266,239,89.85,17,6.39,10,3.76,05019
5,20,228,216,94.74,7,3.07,5,2.19,05020
5,21,467,426,91.22,16,3.43,25,5.35,05021
5,22,397,374,94.21,9,2.27,14,3.53,05022
5,23,312,283,90.71,20,6.41,9,2.88,05023
5,24,295,260,88.14,27,9.15,8,2.71,05024
5,25,462,418,90.48,20,4.33,24,5.19,05025
5,26,499,459,91.98,25,5.01,15,3.01,05026
5,27,579,428,73.92,90,15.54,61,10.54,05027
5,28,440,408,92.73,21,4.77,11,2.5,05028
5,29,418,369,88.28,27,6.46,22,5.26,05029
5,30,372,280,75.27,66,17.74,26,6.99,05030
5,31,465,427,91.83,23,4.95,15,3.23,05031
5,32,571,508,88.97,41,7.18,22,3.85,05032
