ward,precinct,total,CHRISTOPHER M VITTORIO,CHRISTOPHER M VITTORIO Percent,OMAR AQUINO,OMAR AQUINO Percent,GILBERT VILLEGAS,GILBERT VILLEGAS Percent,ALONSO ZARAGOZA,ALONSO ZARAGOZA Percent,precinct_id
36,1,219,43,19.63,78,35.62,90,41.1,8,3.65,36001
36,2,171,20,11.7,70,40.94,68,39.77,13,7.6,36002
36,3,202,50,24.75,87,43.07,52,25.74,13,6.44,36003
36,4,200,19,9.5,65,32.5,103,51.5,13,6.5,36004
36,5,206,13,6.31,71,34.47,110,53.4,12,5.83,36005
36,6,162,10,6.17,95,58.64,39,24.07,18,11.11,36006
36,7,323,201,62.23,50,15.48,60,18.58,12,3.72,36007
36,8,143,3,2.1,68,47.55,30,20.98,42,29.37,36008
36,9,151,11,7.28,54,35.76,48,31.79,38,25.17,36009
36,10,210,40,19.05,64,30.48,98,46.67,8,3.81,36010
36,11,130,10,7.69,57,43.85,42,32.31,21,16.15,36011
36,12,125,1,0.8,75,60.0,27,21.6,22,17.6,36012
36,13,131,9,6.87,71,54.2,45,34.35,6,4.58,36013
36,14,236,95,40.25,58,24.58,60,25.42,23,9.75,36014
36,15,265,88,33.21,100,37.74,63,23.77,14,5.28,36015
36,16,238,90,37.82,75,31.51,57,23.95,16,6.72,36016
36,17,255,83,32.55,64,25.1,91,35.69,17,6.67,36017
36,18,233,89,38.2,60,25.75,69,29.61,15,6.44,36018
36,19,222,60,27.03,65,29.28,87,39.19,10,4.5,36019
36,20,230,57,24.78,97,42.17,59,25.65,17,7.39,36020
36,21,157,13,8.28,28,17.83,96,61.15,20,12.74,36021
36,22,117,4,3.42,65,55.56,38,32.48,10,8.55,36022
36,23,160,15,9.38,64,40.0,69,43.13,12,7.5,36023
36,24,220,58,26.36,77,35.0,73,33.18,12,5.45,36024
36,25,152,2,1.32,103,67.76,22,14.47,25,16.45,36025
36,26,192,60,31.25,78,40.63,45,23.44,9,4.69,36026
36,27,195,55,28.21,58,29.74,73,37.44,9,4.62,36027
36,28,221,47,21.27,71,32.13,97,43.89,6,2.71,36028
36,29,272,110,40.44,86,31.62,69,25.37,7,2.57,36029
36,30,226,81,35.84,70,30.97,65,28.76,10,4.42,36030
