ward,precinct,total,Leslie Geissler Munger,Leslie Geissler Munger Percent,Susana Mendoza,Susana Mendoza Percent,Claire Ball,Claire Ball Percent,Tim Curtin,Tim Curtin Percent,precinct_id
1,1,600,90,15.0,441,73.5,35,5.83,34,5.67,01001
1,2,572,49,8.57,469,81.99,25,4.37,29,5.07,01002
1,3,702,187,26.64,457,65.1,30,4.27,28,3.99,01003
1,4,685,163,23.8,463,67.59,24,3.5,35,5.11,01004
1,5,658,159,24.16,449,68.24,31,4.71,19,2.89,01005
1,6,613,131,21.37,427,69.66,25,4.08,30,4.89,01006
1,7,429,75,17.48,300,69.93,26,6.06,28,6.53,01007
1,8,560,105,18.75,422,75.36,13,2.32,20,3.57,01008
1,9,483,68,14.08,374,77.43,20,4.14,21,4.35,01009
1,10,762,186,24.41,508,66.67,38,4.99,30,3.94,01010
1,11,680,185,27.21,437,64.26,33,4.85,25,3.68,01011
1,12,692,151,21.82,464,67.05,34,4.91,43,6.21,01012
1,13,265,59,22.26,186,70.19,12,4.53,8,3.02,01013
1,14,628,120,19.11,466,74.2,19,3.03,23,3.66,01014
1,15,552,92,16.67,408,73.91,23,4.17,29,5.25,01015
1,16,570,84,14.74,436,76.49,29,5.09,21,3.68,01016
1,17,525,75,14.29,401,76.38,21,4.0,28,5.33,01017
1,18,631,64,10.14,497,78.76,19,3.01,51,8.08,01018
1,19,753,80,10.62,585,77.69,39,5.18,49,6.51,01019
1,20,481,55,11.43,377,78.38,18,3.74,31,6.44,01020
1,21,725,170,23.45,494,68.14,34,4.69,27,3.72,01021
1,22,387,56,14.47,296,76.49,19,4.91,16,4.13,01022
1,23,796,112,14.07,596,74.87,31,3.89,57,7.16,01023
1,24,530,60,11.32,418,78.87,22,4.15,30,5.66,01024
1,25,573,77,13.44,423,73.82,38,6.63,35,6.11,01025
1,26,409,42,10.27,337,82.4,15,3.67,15,3.67,01026
1,27,629,134,21.3,422,67.09,47,7.47,26,4.13,01027
1,28,188,12,6.38,160,85.11,6,3.19,10,5.32,01028
1,29,595,106,17.82,433,72.77,34,5.71,22,3.7,01029
1,30,676,88,13.02,529,78.25,25,3.7,34,5.03,01030
1,31,593,108,18.21,431,72.68,28,4.72,26,4.38,01031
1,32,590,128,21.69,413,70.0,27,4.58,22,3.73,01032
1,33,671,154,22.95,460,68.55,31,4.62,26,3.87,01033
1,34,533,87,16.32,377,70.73,31,5.82,38,7.13,01034
1,35,763,184,24.12,513,67.23,30,3.93,36,4.72,01035
1,36,659,167,25.34,427,64.8,37,5.61,28,4.25,01036
1,37,615,159,25.85,396,64.39,27,4.39,33,5.37,01037
1,38,611,97,15.88,453,74.14,32,5.24,29,4.75,01038
1,39,521,124,23.8,353,67.75,27,5.18,17,3.26,01039
1,40,607,120,19.77,433,71.33,31,5.11,23,3.79,01040
1,41,326,42,12.88,246,75.46,16,4.91,22,6.75,01041
1,42,189,41,21.69,128,67.72,10,5.29,10,5.29,01042
1,43,404,63,15.59,296,73.27,23,5.69,22,5.45,01043
1,44,511,67,13.11,386,75.54,31,6.07,27,5.28,01044
2,1,683,136,19.91,485,71.01,43,6.3,19,2.78,02001
2,2,504,191,37.9,293,58.13,13,2.58,7,1.39,02002
2,3,745,183,24.56,492,66.04,33,4.43,37,4.97,02003
2,4,570,125,21.93,399,70.0,21,3.68,25,4.39,02004
2,5,747,174,23.29,499,66.8,42,5.62,32,4.28,02005
2,6,633,125,19.75,438,69.19,32,5.06,38,6.0,02006
2,7,608,154,25.33,405,66.61,30,4.93,19,3.13,02007
2,8,751,190,25.3,490,65.25,37,4.93,34,4.53,02008
2,9,581,262,45.09,287,49.4,23,3.96,9,1.55,02009
2,10,553,256,46.29,280,50.63,10,1.81,7,1.27,02010
2,11,638,328,51.41,289,45.3,15,2.35,6,0.94,02011
2,12,588,159,27.04,391,66.5,24,4.08,14,2.38,02012
2,13,591,245,41.46,320,54.15,16,2.71,10,1.69,02013
2,14,654,144,22.02,440,67.28,31,4.74,39,5.96,02014
2,15,603,150,24.88,402,66.67,28,4.64,23,3.81,02015
2,16,579,134,23.14,411,70.98,12,2.07,22,3.8,02016
2,17,711,165,23.21,473,66.53,33,4.64,40,5.63,02017
2,18,629,236,37.52,361,57.39,18,2.86,14,2.23,02018
2,19,447,204,45.64,228,51.01,10,2.24,5,1.12,02019
2,20,736,276,37.5,421,57.2,27,3.67,12,1.63,02020
2,21,628,154,24.52,419,66.72,33,5.25,22,3.5,02021
2,22,672,296,44.05,348,51.79,17,2.53,11,1.64,02022
2,23,433,227,52.42,192,44.34,11,2.54,3,0.69,02023
2,24,592,207,34.97,352,59.46,23,3.89,10,1.69,02024
2,25,722,195,27.01,461,63.85,42,5.82,24,3.32,02025
2,26,558,195,34.95,332,59.5,18,3.23,13,2.33,02026
2,27,607,263,43.33,308,50.74,19,3.13,17,2.8,02027
2,28,730,295,40.41,384,52.6,37,5.07,14,1.92,02028
2,29,707,289,40.88,377,53.32,26,3.68,15,2.12,02029
2,30,542,251,46.31,273,50.37,10,1.85,8,1.48,02030
2,31,790,370,46.84,379,47.97,29,3.67,12,1.52,02031
2,32,586,248,42.32,302,51.54,24,4.1,12,2.05,02032
