ward,precinct,total,Christopher Pfannkuche,Christopher Pfannkuche Percent,Kim Foxx,Kim Foxx Percent,precinct_id
1,1,579,82,14.16,497,85.84,01001
1,2,549,46,8.38,503,91.62,01002
1,3,675,138,20.44,537,79.56,01003
1,4,647,140,21.64,507,78.36,01004
1,5,635,133,20.94,502,79.06,01005
1,6,571,121,21.19,450,78.81,01006
1,7,409,61,14.91,348,85.09,01007
1,8,521,84,16.12,437,83.88,01008
1,9,459,60,13.07,399,86.93,01009
1,10,727,175,24.07,552,75.93,01010
1,11,656,151,23.02,505,76.98,01011
1,12,669,144,21.52,525,78.48,01012
1,13,250,38,15.2,212,84.8,01013
1,14,610,106,17.38,504,82.62,01014
1,15,527,92,17.46,435,82.54,01015
1,16,539,83,15.4,456,84.6,01016
1,17,496,48,9.68,448,90.32,01017
1,18,608,63,10.36,545,89.64,01018
1,19,721,78,10.82,643,89.18,01019
1,20,463,35,7.56,428,92.44,01020
1,21,697,149,21.38,548,78.62,01021
1,22,370,43,11.62,327,88.38,01022
1,23,784,102,13.01,682,86.99,01023
1,24,513,53,10.33,460,89.67,01024
1,25,547,90,16.45,457,83.55,01025
1,26,386,47,12.18,339,87.82,01026
1,27,596,120,20.13,476,79.87,01027
1,28,167,10,5.99,157,94.01,01028
1,29,579,106,18.31,473,81.69,01029
1,30,648,72,11.11,576,88.89,01030
1,31,581,93,16.01,488,83.99,01031
1,32,558,125,22.4,433,77.6,01032
1,33,646,145,22.45,501,77.55,01033
1,34,514,75,14.59,439,85.41,01034
1,35,717,186,25.94,531,74.06,01035
1,36,637,166,26.06,471,73.94,01036
1,37,587,148,25.21,439,74.79,01037
1,38,568,88,15.49,480,84.51,01038
1,39,495,117,23.64,378,76.36,01039
1,40,555,122,21.98,433,78.02,01040
1,41,306,39,12.75,267,87.25,01041
1,42,179,34,18.99,145,81.01,01042
1,43,384,65,16.93,319,83.07,01043
1,44,492,64,13.01,428,86.99,01044
2,1,655,142,21.68,513,78.32,02001
2,2,481,153,31.81,328,68.19,02002
2,3,713,154,21.6,559,78.4,02003
2,4,532,87,16.35,445,83.65,02004
2,5,709,164,23.13,545,76.87,02005
2,6,605,127,20.99,478,79.01,02006
2,7,587,136,23.17,451,76.83,02007
2,8,717,163,22.73,554,77.27,02008
2,9,550,223,40.55,327,59.45,02009
2,10,521,212,40.69,309,59.31,02010
2,11,622,264,42.44,358,57.56,02011
2,12,562,121,21.53,441,78.47,02012
2,13,559,191,34.17,368,65.83,02013
2,14,629,135,21.46,494,78.54,02014
2,15,565,119,21.06,446,78.94,02015
2,16,541,99,18.3,442,81.7,02016
2,17,689,140,20.32,549,79.68,02017
2,18,603,197,32.67,406,67.33,02018
2,19,427,168,39.34,259,60.66,02019
2,20,708,239,33.76,469,66.24,02020
2,21,609,126,20.69,483,79.31,02021
2,22,659,266,40.36,393,59.64,02022
2,23,429,180,41.96,249,58.04,02023
2,24,574,181,31.53,393,68.47,02024
2,25,685,152,22.19,533,77.81,02025
2,26,536,151,28.17,385,71.83,02026
2,27,585,240,41.03,345,58.97,02027
2,28,699,278,39.77,421,60.23,02028
2,29,673,262,38.93,411,61.07,02029
2,30,517,211,40.81,306,59.19,02030
2,31,762,293,38.45,469,61.55,02031
2,32,560,202,36.07,358,63.93,02032
2,33,888,323,36.37,565,63.63,02033
2,34,500,193,38.6,307,61.4,02034
2,35,807,295,36.56,512,63.44,02035
2,36,492,169,34.35,323,65.65,02036
2,37,539,192,35.62,347,64.38,02037
2,38,579,245,42.31,334,57.69,02038
2,39,424,205,48.35,219,51.65,02039
2,40,722,243,33.66,479,66.34,02040
2,41,657,251,38.2,406,61.8,02041
2,42,675,235,34.81,440,65.19,02042
2,43,852,332,38.97,520,61.03,02043
2,44,403,153,37.97,250,62.03,02044
2,45,577,163,28.25,414,71.75,02045
2,46,378,146,38.62,232,61.38,02046
3,1,692,13,1.88,679,98.12,03001
3,2,652,17,2.61,635,97.39,03002
3,3,487,49,10.06,438,89.94,03003
3,4,622,15,2.41,607,97.59,03004
3,5,424,9,2.12,415,97.88,03005
3,6,716,230,32.12,486,67.88,03006
3,7,403,10,2.48,393,97.52,03007
3,8,587,9,1.53,578,98.47,03008
3,9,580,18,3.1,562,96.9,03009
3,10,340,15,4.41,325,95.59,03010
3,11,602,9,1.5,593,98.5,03011
3,12,537,10,1.86,527,98.14,03012
3,13,685,192,28.03,493,71.97,03013
3,14,647,129,19.94,518,80.06,03014
3,15,620,19,3.06,601,96.94,03015
3,16,572,11,1.92,561,98.08,03016
3,17,725,103,14.21,622,85.79,03017
3,18,844,46,5.45,798,94.55,03018
3,19,691,249,36.03,442,63.97,03019
3,20,613,9,1.47,604,98.53,03020
3,21,650,171,26.31,479,73.69,03021
3,22,815,186,22.82,629,77.18,03022
3,23,536,18,3.36,518,96.64,03023
3,24,525,15,2.86,510,97.14,03024
3,25,971,308,31.72,663,68.28,03025
3,26,687,191,27.8,496,72.2,03026
3,27,752,224,29.79,528,70.21,03027
3,28,358,8,2.23,350,97.77,03028
3,29,672,21,3.13,651,96.88,03029
3,30,549,14,2.55,535,97.45,03030
3,31,730,20,2.74,710,97.26,03031
3,32,696,140,20.11,556,79.89,03032
