ward,precinct,total,CARL HAWKINSON,CARL HAWKINSON Percent,JACK J. McINERNEY,JACK J. McINERNEY Percent,CHARLES G. OWENS,CHARLES G. OWENS Percent,WILLIAM A. O'CONNOR,WILLIAM A. O'CONNOR Percent,precinct_id
1,1,7,1,14.29,1,14.29,1,14.29,4,57.14,01001
1,2,13,5,38.46,0,0.0,1,7.69,7,53.85,01002
1,3,11,7,63.64,1,9.09,0,0.0,3,27.27,01003
1,4,9,0,0.0,3,33.33,2,22.22,4,44.44,01004
1,5,4,1,25.0,1,25.0,0,0.0,2,50.0,01005
1,6,2,1,50.0,0,0.0,0,0.0,1,50.0,01006
1,7,27,15,55.56,4,14.81,0,0.0,8,29.63,01007
1,8,4,1,25.0,0,0.0,0,0.0,3,75.0,01008
1,9,14,7,50.0,0,0.0,0,0.0,7,50.0,01009
1,10,16,4,25.0,4,25.0,1,6.25,7,43.75,01010
1,11,7,1,14.29,1,14.29,0,0.0,5,71.43,01011
1,12,12,4,33.33,3,25.0,1,8.33,4,33.33,01012
1,13,3,1,33.33,0,0.0,0,0.0,2,66.67,01013
1,14,3,1,33.33,1,33.33,0,0.0,1,33.33,01014
1,15,1,0,0.0,0,0.0,0,0.0,1,100.0,01015
1,16,2,0,0.0,2,100.0,0,0.0,0,0.0,01016
1,17,11,5,45.45,2,18.18,1,9.09,3,27.27,01017
1,18,6,3,50.0,0,0.0,0,0.0,3,50.0,01018
1,19,3,0,0.0,0,0.0,1,33.33,2,66.67,01019
1,20,5,0,0.0,1,20.0,0,0.0,4,80.0,01020
1,21,11,2,18.18,1,9.09,0,0.0,8,72.73,01021
1,22,2,1,50.0,0,0.0,0,0.0,1,50.0,01022
1,23,14,7,50.0,2,14.29,1,7.14,4,28.57,01023
1,24,7,1,14.29,0,0.0,1,14.29,5,71.43,01024
1,25,8,2,25.0,0,0.0,2,25.0,4,50.0,01025
1,26,9,3,33.33,1,11.11,1,11.11,4,44.44,01026
1,27,6,2,33.33,2,33.33,0,0.0,2,33.33,01027
1,28,1,1,100.0,0,0.0,0,0.0,0,0.0,01028
1,29,12,4,33.33,3,25.0,0,0.0,5,41.67,01029
1,30,1,0,0.0,0,0.0,0,0.0,1,100.0,01030
1,31,9,3,33.33,0,0.0,2,22.22,4,44.44,01031
1,32,10,2,20.0,1,10.0,3,30.0,4,40.0,01032
1,33,6,1,16.67,2,33.33,1,16.67,2,33.33,01033
1,34,3,1,33.33,0,0.0,0,0.0,2,66.67,01034
1,35,3,0,0.0,2,66.67,0,0.0,1,33.33,01035
1,36,9,3,33.33,0,0.0,2,22.22,4,44.44,01036
1,37,11,7,63.64,1,9.09,0,0.0,3,27.27,01037
2,1,24,11,45.83,4,16.67,3,12.5,6,25.0,02001
2,2,6,3,50.0,0,0.0,1,16.67,2,33.33,02002
2,3,0,0,0.0,0,0.0,0,0.0,0,0.0,02003
2,4,5,2,40.0,1,20.0,2,40.0,0,0.0,02004
2,5,3,1,33.33,0,0.0,0,0.0,2,66.67,02005
2,6,1,0,0.0,0,0.0,0,0.0,1,100.0,02006
2,7,2,0,0.0,0,0.0,2,100.0,0,0.0,02007
2,8,32,16,50.0,4,12.5,1,3.13,11,34.38,02008
2,9,0,0,0.0,0,0.0,0,0.0,0,0.0,02009
2,10,0,0,0.0,0,0.0,0,0.0,0,0.0,02010
2,11,24,10,41.67,2,8.33,1,4.17,11,45.83,02011
2,12,3,1,33.33,0,0.0,0,0.0,2,66.67,02012
2,13,3,2,66.67,0,0.0,0,0.0,1,33.33,02013
2,14,9,4,44.44,2,22.22,0,0.0,3,33.33,02014
2,15,0,0,0.0,0,0.0,0,0.0,0,0.0,02015
2,16,2,0,0.0,0,0.0,2,100.0,0,0.0,02016
2,17,3,0,0.0,0,0.0,1,33.33,2,66.67,02017
2,18,2,2,100.0,0,0.0,0,0.0,0,0.0,02018
2,19,0,0,0.0,0,0.0,0,0.0,0,0.0,02019
2,20,1,0,0.0,0,0.0,1,100.0,0,0.0,02020
2,21,1,0,0.0,1,100.0,0,0.0,0,0.0,02021
2,22,37,16,43.24,5,13.51,2,5.41,14,37.84,02022
2,23,1,1,100.0,0,0.0,0,0.0,0,0.0,02023
2,24,1,0,0.0,0,0.0,0,0.0,1,100.0,02024
2,25,7,3,42.86,0,0.0,2,28.57,2,28.57,02025
2,26,4,1,25.0,1,25.0,2,50.0,0,0.0,02026
2,27,0,0,0.0,0,0.0,0,0.0,0,0.0,02027
2,28,0,0,0.0,0,0.0,0,0.0,0,0.0,02028
2,29,0,0,0.0,0,0.0,0,0.0,0,0.0,02029
2,30,0,0,0.0,0,0.0,0,0.0,0,0.0,02030
2,31,3,2,66.67,1,33.33,0,0.0,0,0.0,02031
2,32,1,1,100.0,0,0.0,0,0.0,0,0.0,02032
2,33,4,1,25.0,0,0.0,1,25.0,2,50.0,02033
2,34,4,1,25.0,0,0.0,1,25.0,2,50.0,02034
2,35,13,6,46.15,1,7.69,2,15.38,4,30.77,02035
2,36,0,0,0.0,0,0.0,0,0.0,0,0.0,02036
2,37,20,7,35.0,2,10.0,5,25.0,6,30.0,02037
2,38,5,0,0.0,0,0.0,3,60.0,2,40.0,02038
2,39,9,1,11.11,0,0.0,1,11.11,7,77.78,02039
2,40,7,2,28.57,1,14.29,0,0.0,4,57.14,02040
2,41,0,0,0.0,0,0.0,0,0.0,0,0.0,02041
2,42,3,1,33.33,1,33.33,1,33.33,0,0.0,02042
2,43,36,21,58.33,3,8.33,1,2.78,11,30.56,02043
2,44,2,1,50.0,0,0.0,0,0.0,1,50.0,02044
2,45,0,0,0.0,0,0.0,0,0.0,0,0.0,02045
2,46,5,1,20.0,1,20.0,3,60.0,0,0.0,02046
2,47,2,0,0.0,0,0.0,1,50.0,1,50.0,02047
2,48,7,2,28.57,0,0.0,3,42.86,2,28.57,02048
2,49,12,5,41.67,1,8.33,1,8.33,5,41.67,02049
2,50,7,1,14.29,0,0.0,2,28.57,4,57.14,02050
2,51,2,1,50.0,0,0.0,0,0.0,1,50.0,02051
2,52,5,2,40.0,0,0.0,1,20.0,2,40.0,02052
2,53,1,1,100.0,0,0.0,0,0.0,0,0.0,02053
2,54,34,12,35.29,3,8.82,2,5.88,17,50.0,02054
2,55,5,1,20.0,0,0.0,0,0.0,4,80.0,02055
2,56,0,0,0.0,0,0.0,0,0.0,0,0.0,02056
3,1,1,0,0.0,0,0.0,0,0.0,1,100.0,03001
3,2,2,0,0.0,0,0.0,1,50.0,1,50.0,03002
3,3,1,0,0.0,0,0.0,0,0.0,1,100.0,03003
3,4,0,0,0.0,0,0.0,0,0.0,0,0.0,03004
3,5,0,0,0.0,0,0.0,0,0.0,0,0.0,03005
3,6,0,0,0.0,0,0.0,0,0.0,0,0.0,03006
3,7,0,0,0.0,0,0.0,0,0.0,0,0.0,03007
3,8,0,0,0.0,0,0.0,0,0.0,0,0.0,03008
