ward,precinct,total,PATRICIA VAZQUEZ,PATRICIA VAZQUEZ Percent,DONALD G. HANSEN,DONALD G. HANSEN Percent,ERICK M. NICKERSON,ERICK M. NICKERSON Percent,precinct_id
1,1,11,3,27.27,5,45.45,3,27.27,01001
1,2,12,5,41.67,5,41.67,2,16.67,01002
1,3,27,9,33.33,10,37.04,8,29.63,01003
1,4,10,6,60.0,2,20.0,2,20.0,01004
1,5,9,3,33.33,4,44.44,2,22.22,01005
1,6,6,2,33.33,2,33.33,2,33.33,01006
1,7,51,19,37.25,19,37.25,13,25.49,01007
1,8,9,5,55.56,3,33.33,1,11.11,01008
1,9,28,9,32.14,10,35.71,9,32.14,01009
1,10,29,9,31.03,13,44.83,7,24.14,01010
1,11,6,1,16.67,3,50.0,2,33.33,01011
1,12,13,5,38.46,5,38.46,3,23.08,01012
1,13,6,3,50.0,2,33.33,1,16.67,01013
1,14,4,2,50.0,1,25.0,1,25.0,01014
1,15,1,1,100.0,0,0.0,0,0.0,01015
1,16,4,2,50.0,1,25.0,1,25.0,01016
1,17,17,6,35.29,5,29.41,6,35.29,01017
1,18,10,3,30.0,3,30.0,4,40.0,01018
1,19,5,3,60.0,1,20.0,1,20.0,01019
1,20,3,2,66.67,1,33.33,0,0.0,01020
1,21,16,7,43.75,6,37.5,3,18.75,01021
1,22,1,1,100.0,0,0.0,0,0.0,01022
1,23,25,9,36.0,10,40.0,6,24.0,01023
1,24,9,5,55.56,2,22.22,2,22.22,01024
1,25,17,7,41.18,6,35.29,4,23.53,01025
1,26,18,9,50.0,5,27.78,4,22.22,01026
1,27,7,3,42.86,2,28.57,2,28.57,01027
1,28,0,0,0.0,0,0.0,0,0.0,01028
1,29,18,11,61.11,5,27.78,2,11.11,01029
1,30,1,0,0.0,1,100.0,0,0.0,01030
1,31,18,6,33.33,8,44.44,4,22.22,01031
1,32,12,8,66.67,2,16.67,2,16.67,01032
1,33,13,5,38.46,4,30.77,4,30.77,01033
1,34,9,3,33.33,3,33.33,3,33.33,01034
1,35,14,3,21.43,5,35.71,6,42.86,01035
1,36,18,6,33.33,7,38.89,5,27.78,01036
1,37,20,6,30.0,6,30.0,8,40.0,01037
2,1,43,17,39.53,15,34.88,11,25.58,02001
2,2,13,5,38.46,4,30.77,4,30.77,02002
2,3,0,0,0.0,0,0.0,0,0.0,02003
2,4,5,1,20.0,3,60.0,1,20.0,02004
2,5,6,3,50.0,2,33.33,1,16.67,02005
2,6,1,0,0.0,1,100.0,0,0.0,02006
2,7,6,2,33.33,2,33.33,2,33.33,02007
2,8,45,17,37.78,16,35.56,12,26.67,02008
2,9,0,0,0.0,0,0.0,0,0.0,02009
2,10,0,0,0.0,0,0.0,0,0.0,02010
2,11,40,14,35.0,15,37.5,11,27.5,02011
2,12,5,2,40.0,1,20.0,2,40.0,02012
2,13,4,1,25.0,1,25.0,2,50.0,02013
2,14,13,5,38.46,4,30.77,4,30.77,02014
2,15,0,0,0.0,0,0.0,0,0.0,02015
2,16,2,2,100.0,0,0.0,0,0.0,02016
2,17,3,2,66.67,0,0.0,1,33.33,02017
2,18,4,1,25.0,2,50.0,1,25.0,02018
2,19,0,0,0.0,0,0.0,0,0.0,02019
2,20,3,1,33.33,1,33.33,1,33.33,02020
2,21,1,1,100.0,0,0.0,0,0.0,02021
2,22,59,26,44.07,17,28.81,16,27.12,02022
2,23,1,1,100.0,0,0.0,0,0.0,02023
2,24,3,1,33.33,1,33.33,1,33.33,02024
2,25,14,5,35.71,5,35.71,4,28.57,02025
2,26,5,3,60.0,1,20.0,1,20.0,02026
2,27,0,0,0.0,0,0.0,0,0.0,02027
2,28,0,0,0.0,0,0.0,0,0.0,02028
2,29,0,0,0.0,0,0.0,0,0.0,02029
2,30,0,0,0.0,0,0.0,0,0.0,02030
2,31,8,3,37.5,2,25.0,3,37.5,02031
2,32,4,1,25.0,1,25.0,2,50.0,02032
2,33,4,2,50.0,2,50.0,0,0.0,02033
2,34,6,1,16.67,3,50.0,2,33.33,02034
2,35,20,9,45.0,6,30.0,5,25.0,02035
2,36,1,1,100.0,0,0.0,0,0.0,02036
2,37,36,17,47.22,11,30.56,8,22.22,02037
2,38,4,1,25.0,2,50.0,1,25.0,02038
2,39,13,6,46.15,5,38.46,2,15.38,02039
2,40,10,4,40.0,4,40.0,2,20.0,02040
2,41,1,1,100.0,0,0.0,0,0.0,02041
2,42,4,2,50.0,1,25.0,1,25.0,02042
2,43,74,28,37.84,25,33.78,21,28.38,02043
2,44,2,0,0.0,1,50.0,1,50.0,02044
2,45,0,0,0.0,0,0.0,0,0.0,02045
2,46,12,5,41.67,4,33.33,3,25.0,02046
2,47,4,1,25.0,2,50.0,1,25.0,02047
2,48,13,6,46.15,4,30.77,3,23.08,02048
2,49,15,6,40.0,4,26.67,5,33.33,02049
2,50,9,5,55.56,3,33.33,1,11.11,02050
2,51,4,1,25.0,2,50.0,1,25.0,02051
2,52,8,3,37.5,2,25.0,3,37.5,02052
2,53,1,1,100.0,0,0.0,0,0.0,02053
2,54,52,20,38.46,18,34.62,14,26.92,02054
2,55,10,4,40.0,4,40.0,2,20.0,02055
2,56,0,0,0.0,0,0.0,0,0.0,02056
3,1,2,2,100.0,0,0.0,0,0.0,03001
3,2,4,2,50.0,1,25.0,1,25.0,03002
3,3,1,0,0.0,0,0.0,1,100.0,03003
3,4,0,0,0.0,0,0.0,0,0.0,03004
3,5,0,0,0.0,0,0.0,0,0.0,03005
3,6,0,0,0.0,0,0.0,0,0.0,03006
3,7,0,0,0.0,0,0.0,0,0.0,03007
3,8,0,0,0.0,0,0.0,0,0.0,03008
3,9,3,1,33.33,2,66.67,0,0.0,03009
3,10,1,1,100.0,0,0.0,0,0.0,03010
3,11,4,1,25.0,1,25.0,2,50.0,03011
3,12,5,3,60.0,1,20.0,1,20.0,03012
3,13,1,0,0.0,0,0.0,1,100.0,03013
3,14,2,1,50.0,1,50.0,0,0.0,03014
3,15,0,0,0.0,0,0.0,0,0.0,03015
3,16,1,0,0.0,0,0.0,1,100.0,03016
3,17,1,1,100.0,0,0.0,0,0.0,03017
3,18,0,0,0.0,0,0.0,0,0.0,03018
3,19,2,1,50.0,1,50.0,0,0.0,03019
3,20,1,1,100.0,0,0.0,0,0.0,03020
3,21,1,1,100.0,0,0.0,0,0.0,03021
3,22,0,0,0.0,0,0.0,0,0.0,03022
