ward,precinct,total,Anthony Beckman,Anthony Beckman Percent,precinct_id
29,29,19,19,100.0,29029
29,31,5,5,100.0,29031
29,32,24,24,100.0,29032
38,1,9,9,100.0,38001
38,2,41,41,100.0,38002
38,3,22,22,100.0,38003
38,5,25,25,100.0,38005
38,6,27,27,100.0,38006
38,7,25,25,100.0,38007
38,9,37,37,100.0,38009
38,11,12,12,100.0,38011
38,12,30,30,100.0,38012
38,13,39,39,100.0,38013
38,14,24,24,100.0,38014
38,15,15,15,100.0,38015
38,17,39,39,100.0,38017
38,18,20,20,100.0,38018
38,19,33,33,100.0,38019
38,20,32,32,100.0,38020
38,21,14,14,100.0,38021
38,22,11,11,100.0,38022
38,24,31,31,100.0,38024
38,25,20,20,100.0,38025
38,26,31,31,100.0,38026
38,27,22,22,100.0,38027
38,28,44,44,100.0,38028
38,29,22,22,100.0,38029
38,30,24,24,100.0,38030
38,31,13,13,100.0,38031
38,32,17,17,100.0,38032
38,33,28,28,100.0,38033
38,36,16,16,100.0,38036
38,38,18,18,100.0,38038
38,40,13,13,100.0,38040
38,41,10,10,100.0,38041
39,20,45,45,100.0,39020
39,21,30,30,100.0,39021
39,23,23,23,100.0,39023
39,24,33,33,100.0,39024
39,41,0,0,0.0,39041
41,1,38,38,100.0,41001
41,2,36,36,100.0,41002
41,3,47,47,100.0,41003
41,4,26,26,100.0,41004
41,5,45,45,100.0,41005
41,7,47,47,100.0,41007
41,8,48,48,100.0,41008
41,10,28,28,100.0,41010
41,11,45,45,100.0,41011
41,12,47,47,100.0,41012
41,13,49,49,100.0,41013
41,15,31,31,100.0,41015
41,16,34,34,100.0,41016
41,17,59,59,100.0,41017
41,18,33,33,100.0,41018
41,20,26,26,100.0,41020
41,21,39,39,100.0,41021
41,22,56,56,100.0,41022
41,23,54,54,100.0,41023
41,24,44,44,100.0,41024
41,25,28,28,100.0,41025
41,26,40,40,100.0,41026
41,27,35,35,100.0,41027
41,30,36,36,100.0,41030
41,31,37,37,100.0,41031
41,33,37,37,100.0,41033
41,34,30,30,100.0,41034
41,35,45,45,100.0,41035
41,36,32,32,100.0,41036
41,37,47,47,100.0,41037
41,38,38,38,100.0,41038
41,40,55,55,100.0,41040
41,41,34,34,100.0,41041
41,42,35,35,100.0,41042
41,43,45,45,100.0,41043
41,44,43,43,100.0,41044
41,45,29,29,100.0,41045
41,46,36,36,100.0,41046
45,12,20,20,100.0,45012
45,13,15,15,100.0,45013
45,14,13,13,100.0,45014
45,15,13,13,100.0,45015
45,16,14,14,100.0,45016
45,17,15,15,100.0,45017
45,18,16,16,100.0,45018
45,19,11,11,100.0,45019
45,20,13,13,100.0,45020
45,21,18,18,100.0,45021
45,22,9,9,100.0,45022
45,23,10,10,100.0,45023
45,24,12,12,100.0,45024
45,25,18,18,100.0,45025
45,26,16,16,100.0,45026
45,27,24,24,100.0,45027
45,28,13,13,100.0,45028
45,29,10,10,100.0,45029
45,30,10,10,100.0,45030
45,31,10,10,100.0,45031
45,32,10,10,100.0,45032
45,33,15,15,100.0,45033
45,34,22,22,100.0,45034
45,35,28,28,100.0,45035
45,36,27,27,100.0,45036
45,37,25,25,100.0,45037
45,38,16,16,100.0,45038
45,39,30,30,100.0,45039
45,40,20,20,100.0,45040
45,41,11,11,100.0,45041
45,42,15,15,100.0,45042
45,43,30,30,100.0,45043
45,44,15,15,100.0,45044
45,45,22,22,100.0,45045
45,46,25,25,100.0,45046
45,47,20,20,100.0,45047
45,48,26,26,100.0,45048
