ward,precinct,total,Eric Pulia (Donald J Trump),Eric Pulia (Donald J Trump) Percent,John Bergholz (Donald J Trump),John Bergholz (Donald J Trump) Percent,Kristine Farra (Donald J Trump),Kristine Farra (Donald J Trump) Percent,precinct_id
1,12,37,12,32.43,12,32.43,13,35.14,01012
1,14,1,0,0.0,0,0.0,1,100.0,01014
1,15,3,1,33.33,1,33.33,1,33.33,01015
1,32,12,4,33.33,4,33.33,4,33.33,01032
2,2,46,15,32.61,14,30.43,17,36.96,02002
2,9,23,7,30.43,8,34.78,8,34.78,02009
2,10,27,9,33.33,9,33.33,9,33.33,02010
2,11,32,10,31.25,10,31.25,12,37.5,02011
2,12,6,2,33.33,2,33.33,2,33.33,02012
2,13,39,12,30.77,14,35.9,13,33.33,02013
2,14,13,4,30.77,4,30.77,5,38.46,02014
2,17,20,7,35.0,6,30.0,7,35.0,02017
2,18,28,8,28.57,9,32.14,11,39.29,02018
2,19,17,7,41.18,5,29.41,5,29.41,02019
2,20,10,3,30.0,3,30.0,4,40.0,02020
2,21,0,0,0.0,0,0.0,0,0.0,02021
2,23,45,15,33.33,15,33.33,15,33.33,02023
2,27,60,19,31.67,20,33.33,21,35.0,02027
2,28,16,5,31.25,6,37.5,5,31.25,02028
2,29,49,15,30.61,17,34.69,17,34.69,02029
2,32,23,8,34.78,8,34.78,7,30.43,02032
2,34,47,15,31.91,15,31.91,17,36.17,02034
2,35,53,14,26.42,15,28.3,24,45.28,02035
2,36,60,20,33.33,19,31.67,21,35.0,02036
2,38,42,16,38.1,14,33.33,12,28.57,02038
2,39,48,17,35.42,13,27.08,18,37.5,02039
2,40,18,7,38.89,6,33.33,5,27.78,02040
2,41,48,15,31.25,14,29.17,19,39.58,02041
2,42,28,9,32.14,10,35.71,9,32.14,02042
2,43,37,12,32.43,12,32.43,13,35.14,02043
2,45,41,15,36.59,14,34.15,12,29.27,02045
2,46,17,6,35.29,5,29.41,6,35.29,02046
3,1,10,4,40.0,3,30.0,3,30.0,03001
3,2,6,2,33.33,2,33.33,2,33.33,03002
3,3,2,1,50.0,0,0.0,1,50.0,03003
3,4,0,0,0.0,0,0.0,0,0.0,03004
3,5,11,4,36.36,3,27.27,4,36.36,03005
3,6,48,16,33.33,16,33.33,16,33.33,03006
3,8,3,0,0.0,2,66.67,1,33.33,03008
3,9,6,2,33.33,2,33.33,2,33.33,03009
3,10,10,4,40.0,3,30.0,3,30.0,03010
3,11,8,2,25.0,2,25.0,4,50.0,03011
