ward,precinct,total,Devin Jones,Devin Jones Percent,precinct_id
18,1,1,1,100.0,18001
18,2,9,9,100.0,18002
18,3,6,6,100.0,18003
18,4,1,1,100.0,18004
18,5,0,0,0.0,18005
18,6,3,3,100.0,18006
18,7,5,5,100.0,18007
18,8,0,0,0.0,18008
18,9,3,3,100.0,18009
18,10,0,0,0.0,18010
18,11,5,5,100.0,18011
18,12,2,2,100.0,18012
18,13,4,4,100.0,18013
18,14,2,2,100.0,18014
18,15,2,2,100.0,18015
18,16,1,1,100.0,18016
18,17,5,5,100.0,18017
18,18,1,1,100.0,18018
18,19,3,3,100.0,18019
18,20,2,2,100.0,18020
18,21,2,2,100.0,18021
18,22,0,0,0.0,18022
18,23,4,4,100.0,18023
18,24,10,10,100.0,18024
18,25,3,3,100.0,18025
18,26,3,3,100.0,18026
18,27,2,2,100.0,18027
18,28,11,11,100.0,18028
18,29,6,6,100.0,18029
18,30,14,14,100.0,18030
18,31,1,1,100.0,18031
18,32,1,1,100.0,18032
18,33,1,1,100.0,18033
18,34,1,1,100.0,18034
18,35,2,2,100.0,18035
18,36,1,1,100.0,18036
18,37,1,1,100.0,18037
18,38,1,1,100.0,18038
18,39,4,4,100.0,18039
18,40,4,4,100.0,18040
18,41,3,3,100.0,18041
18,42,1,1,100.0,18042
18,43,4,4,100.0,18043
18,44,17,17,100.0,18044
18,45,12,12,100.0,18045
18,46,5,5,100.0,18046
18,47,1,1,100.0,18047
18,48,1,1,100.0,18048
18,49,1,1,100.0,18049
18,50,2,2,100.0,18050
