ward,precinct,total,Jeff Muehlfelder,Jeff Muehlfelder Percent,precinct_id
29,29,19,19,100.0,29029
29,31,5,5,100.0,29031
29,32,23,23,100.0,29032
38,1,9,9,100.0,38001
38,3,23,23,100.0,38003
38,5,24,24,100.0,38005
38,6,25,25,100.0,38006
38,7,21,21,100.0,38007
38,9,37,37,100.0,38009
38,11,13,13,100.0,38011
38,13,37,37,100.0,38013
38,14,27,27,100.0,38014
38,15,12,12,100.0,38015
38,17,28,28,100.0,38017
38,18,18,18,100.0,38018
38,19,31,31,100.0,38019
38,21,13,13,100.0,38021
38,22,9,9,100.0,38022
38,24,30,30,100.0,38024
38,25,20,20,100.0,38025
38,26,29,29,100.0,38026
38,27,21,21,100.0,38027
38,29,23,23,100.0,38029
38,30,25,25,100.0,38030
38,31,12,12,100.0,38031
38,32,17,17,100.0,38032
38,33,26,26,100.0,38033
38,36,16,16,100.0,38036
38,38,18,18,100.0,38038
38,40,13,13,100.0,38040
38,41,10,10,100.0,38041
39,20,44,44,100.0,39020
39,21,28,28,100.0,39021
39,23,24,24,100.0,39023
39,24,33,33,100.0,39024
39,41,0,0,0.0,39041
41,3,18,18,100.0,41003
41,12,47,47,100.0,41012
41,24,45,45,100.0,41024
41,30,37,37,100.0,41030
41,38,39,39,100.0,41038
45,12,20,20,100.0,45012
45,13,15,15,100.0,45013
45,14,14,14,100.0,45014
45,15,13,13,100.0,45015
45,16,14,14,100.0,45016
45,17,15,15,100.0,45017
45,18,17,17,100.0,45018
45,19,11,11,100.0,45019
45,20,12,12,100.0,45020
45,21,17,17,100.0,45021
45,22,9,9,100.0,45022
45,23,9,9,100.0,45023
45,24,13,13,100.0,45024
45,25,18,18,100.0,45025
45,26,17,17,100.0,45026
45,27,23,23,100.0,45027
45,28,13,13,100.0,45028
45,29,12,12,100.0,45029
45,30,12,12,100.0,45030
45,31,9,9,100.0,45031
45,32,10,10,100.0,45032
45,33,14,14,100.0,45033
45,34,23,23,100.0,45034
45,35,28,28,100.0,45035
45,36,27,27,100.0,45036
45,37,25,25,100.0,45037
45,38,16,16,100.0,45038
45,39,31,31,100.0,45039
45,40,19,19,100.0,45040
45,41,10,10,100.0,45041
45,42,13,13,100.0,45042
45,43,28,28,100.0,45043
45,44,14,14,100.0,45044
45,45,21,21,100.0,45045
45,46,26,26,100.0,45046
45,47,19,19,100.0,45047
45,48,26,26,100.0,45048
