ward,precinct,total,Carina E. Sanchez,Carina E. Sanchez Percent,Jesus (Jesse) Iniguez,Jesus (Jesse) Iniguez Percent,George Cardenas,George Cardenas Percent,Alan R. Mercado,Alan R. Mercado Percent,Jesus G. Salazar,Jesus G. Salazar Percent,Alberto Bocanegra Jr.,Alberto Bocanegra Jr. Percent,precinct_id
12,1,102,23,22.55,0,0.0,74,72.55,1,0.98,3,2.94,1,0.98,12001
12,2,188,51,27.13,2,1.06,119,63.3,9,4.79,5,2.66,2,1.06,12002
12,3,172,43,25.0,2,1.16,103,59.88,3,1.74,12,6.98,9,5.23,12003
12,4,147,31,21.09,0,0.0,103,70.07,1,0.68,4,2.72,8,5.44,12004
12,5,149,35,23.49,2,1.34,88,59.06,4,2.68,1,0.67,19,12.75,12005
12,6,126,39,30.95,4,3.17,79,62.7,0,0.0,2,1.59,2,1.59,12006
12,7,188,51,27.13,2,1.06,125,66.49,1,0.53,7,3.72,2,1.06,12007
12,8,324,80,24.69,1,0.31,198,61.11,8,2.47,29,8.95,8,2.47,12008
12,9,147,35,23.81,7,4.76,95,64.63,1,0.68,2,1.36,7,4.76,12009
12,10,171,36,21.05,1,0.58,112,65.5,4,2.34,9,5.26,9,5.26,12010
12,11,266,95,35.71,1,0.38,138,51.88,18,6.77,5,1.88,9,3.38,12011
12,12,174,27,15.52,1,0.57,95,54.6,48,27.59,3,1.72,0,0.0,12012
12,13,250,84,33.6,1,0.4,140,56.0,7,2.8,11,4.4,7,2.8,12013
12,14,192,54,28.13,0,0.0,118,61.46,7,3.65,9,4.69,4,2.08,12014
12,15,147,52,35.37,2,1.36,91,61.9,0,0.0,0,0.0,2,1.36,12015
12,16,136,71,52.21,11,8.09,48,35.29,4,2.94,2,1.47,0,0.0,12016
12,17,203,38,18.72,11,5.42,132,65.02,4,1.97,10,4.93,8,3.94,12017
12,18,167,42,25.15,5,2.99,86,51.5,1,0.6,10,5.99,23,13.77,12018
12,19,219,69,31.51,3,1.37,103,47.03,4,1.83,20,9.13,20,9.13,12019
12,20,159,30,18.87,1,0.63,109,68.55,6,3.77,3,1.89,10,6.29,12020
12,21,215,74,34.42,2,0.93,111,51.63,11,5.12,12,5.58,5,2.33,12021
12,22,152,41,26.97,2,1.32,102,67.11,1,0.66,3,1.97,3,1.97,12022
12,23,170,74,43.53,0,0.0,83,48.82,3,1.76,7,4.12,3,1.76,12023
12,24,215,50,23.26,0,0.0,140,65.12,12,5.58,11,5.12,2,0.93,12024
