ward,precinct,total,Stephanie D. Neely,Stephanie D. Neely Percent,precinct_id
1,1,101,101,100.0,01001
1,2,76,76,100.0,01002
1,3,41,41,100.0,01003
1,4,81,81,100.0,01004
1,5,59,59,100.0,01005
1,6,87,87,100.0,01006
1,7,98,98,100.0,01007
1,8,69,69,100.0,01008
1,9,103,103,100.0,01009
1,10,74,74,100.0,01010
1,11,57,57,100.0,01011
1,12,83,83,100.0,01012
1,13,129,129,100.0,01013
1,14,94,94,100.0,01014
1,15,92,92,100.0,01015
1,16,49,49,100.0,01016
1,17,56,56,100.0,01017
1,18,80,80,100.0,01018
1,19,94,94,100.0,01019
1,20,144,144,100.0,01020
1,21,66,66,100.0,01021
1,22,110,110,100.0,01022
1,23,87,87,100.0,01023
1,24,153,153,100.0,01024
1,25,61,61,100.0,01025
1,26,58,58,100.0,01026
1,27,66,66,100.0,01027
1,28,73,73,100.0,01028
1,29,78,78,100.0,01029
1,30,169,169,100.0,01030
1,31,56,56,100.0,01031
1,32,120,120,100.0,01032
1,33,86,86,100.0,01033
1,34,51,51,100.0,01034
1,35,49,49,100.0,01035
1,36,72,72,100.0,01036
1,37,59,59,100.0,01037
1,38,58,58,100.0,01038
1,39,145,145,100.0,01039
1,40,48,48,100.0,01040
1,41,110,110,100.0,01041
1,42,83,83,100.0,01042
1,43,79,79,100.0,01043
1,44,82,82,100.0,01044
1,45,89,89,100.0,01045
1,46,86,86,100.0,01046
1,47,57,57,100.0,01047
1,48,58,58,100.0,01048
1,49,33,33,100.0,01049
1,50,58,58,100.0,01050
2,1,204,204,100.0,02001
2,2,2,2,100.0,02002
2,3,145,145,100.0,02003
2,4,110,110,100.0,02004
2,5,85,85,100.0,02005
2,6,123,123,100.0,02006
2,7,221,221,100.0,02007
2,8,242,242,100.0,02008
2,9,133,133,100.0,02009
2,10,20,20,100.0,02010
2,11,105,105,100.0,02011
2,12,153,153,100.0,02012
2,13,130,130,100.0,02013
2,14,248,248,100.0,02014
2,15,26,26,100.0,02015
2,16,166,166,100.0,02016
2,17,127,127,100.0,02017
2,18,215,215,100.0,02018
2,19,203,203,100.0,02019
2,20,185,185,100.0,02020
2,21,223,223,100.0,02021
2,22,299,299,100.0,02022
2,23,105,105,100.0,02023
2,24,86,86,100.0,02024
2,25,75,75,100.0,02025
2,26,326,326,100.0,02026
2,27,143,143,100.0,02027
2,28,64,64,100.0,02028
2,29,60,60,100.0,02029
2,30,38,38,100.0,02030
2,31,217,217,100.0,02031
2,32,48,48,100.0,02032
2,33,87,87,100.0,02033
2,34,155,155,100.0,02034
2,35,74,74,100.0,02035
2,36,96,96,100.0,02036
2,37,221,221,100.0,02037
2,38,142,142,100.0,02038
2,39,146,146,100.0,02039
2,40,252,252,100.0,02040
