ward,precinct,total,Ruth Isabel Gudino,Ruth Isabel Gudino Percent,Chelsey Renece Robinson,Chelsey Renece Robinson Percent,precinct_id
1,1,172,94,54.65,78,45.35,01001
1,2,129,62,48.06,67,51.94,01002
1,3,184,123,66.85,61,33.15,01003
1,4,143,91,63.64,52,36.36,01004
1,5,140,84,60.0,56,40.0,01005
1,6,135,89,65.93,46,34.07,01006
1,7,133,82,61.65,51,38.35,01007
1,8,135,85,62.96,50,37.04,01008
1,9,116,64,55.17,52,44.83,01009
1,10,175,112,64.0,63,36.0,01010
1,11,188,122,64.89,66,35.11,01011
1,12,182,89,48.9,93,51.1,01012
1,13,84,44,52.38,40,47.62,01013
1,14,160,93,58.13,67,41.88,01014
1,15,134,82,61.19,52,38.81,01015
1,16,203,118,58.13,85,41.87,01016
1,17,136,74,54.41,62,45.59,01017
1,18,157,71,45.22,86,54.78,01018
1,19,233,134,57.51,99,42.49,01019
1,20,128,63,49.22,65,50.78,01020
1,21,188,115,61.17,73,38.83,01021
1,22,112,65,58.04,47,41.96,01022
1,23,243,137,56.38,106,43.62,01023
1,24,177,107,60.45,70,39.55,01024
1,25,156,87,55.77,69,44.23,01025
1,26,113,66,58.41,47,41.59,01026
1,27,186,111,59.68,75,40.32,01027
1,28,25,14,56.0,11,44.0,01028
1,29,217,126,58.06,91,41.94,01029
1,30,183,90,49.18,93,50.82,01030
1,31,137,83,60.58,54,39.42,01031
1,32,147,79,53.74,68,46.26,01032
1,33,165,106,64.24,59,35.76,01033
1,34,156,85,54.49,71,45.51,01034
1,35,153,89,58.17,64,41.83,01035
1,36,194,107,55.15,87,44.85,01036
1,37,155,85,54.84,70,45.16,01037
1,38,149,83,55.7,66,44.3,01038
1,39,126,86,68.25,40,31.75,01039
1,40,128,77,60.16,51,39.84,01040
1,41,84,50,59.52,34,40.48,01041
1,42,49,31,63.27,18,36.73,01042
1,43,127,82,64.57,45,35.43,01043
1,44,139,72,51.8,67,48.2,01044
2,1,145,90,62.07,55,37.93,02001
2,2,120,89,74.17,31,25.83,02002
2,3,178,107,60.11,71,39.89,02003
2,4,155,93,60.0,62,40.0,02004
2,5,168,101,60.12,67,39.88,02005
2,6,131,83,63.36,48,36.64,02006
2,7,112,70,62.5,42,37.5,02007
2,8,153,102,66.67,51,33.33,02008
2,9,131,86,65.65,45,34.35,02009
2,10,125,98,78.4,27,21.6,02010
2,11,159,121,76.1,38,23.9,02011
2,12,113,76,67.26,37,32.74,02012
2,13,163,129,79.14,34,20.86,02013
2,14,175,97,55.43,78,44.57,02014
2,15,140,96,68.57,44,31.43,02015
2,16,158,95,60.13,63,39.87,02016
2,17,218,117,53.67,101,46.33,02017
2,18,127,100,78.74,27,21.26,02018
2,19,107,81,75.7,26,24.3,02019
2,20,132,101,76.52,31,23.48,02020
2,21,180,96,53.33,84,46.67,02021
2,22,143,108,75.52,35,24.48,02022
2,23,110,93,84.55,17,15.45,02023
2,24,122,85,69.67,37,30.33,02024
2,25,184,127,69.02,57,30.98,02025
2,26,110,85,77.27,25,22.73,02026
2,27,88,65,73.86,23,26.14,02027
2,28,137,102,74.45,35,25.55,02028
2,29,128,98,76.56,30,23.44,02029
2,30,108,83,76.85,25,23.15,02030
2,31,175,118,67.43,57,32.57,02031
2,32,76,56,73.68,20,26.32,02032
2,33,184,142,77.17,42,22.83,02033
2,34,140,112,80.0,28,20.0,02034
2,35,165,110,66.67,55,33.33,02035
2,36,138,97,70.29,41,29.71,02036
2,37,162,132,81.48,30,18.52,02037
2,38,117,96,82.05,21,17.95,02038
2,39,67,47,70.15,20,29.85,02039
2,40,144,100,69.44,44,30.56,02040
2,41,122,88,72.13,34,27.87,02041
2,42,120,72,60.0,48,40.0,02042
2,43,142,104,73.24,38,26.76,02043
2,44,141,111,78.72,30,21.28,02044
2,45,86,65,75.58,21,24.42,02045
2,46,81,57,70.37,24,29.63,02046
3,1,170,47,27.65,123,72.35,03001
3,2,246,73,29.67,173,70.33,03002
3,3,104,47,45.19,57,54.81,03003
3,4,216,79,36.57,137,63.43,03004
3,5,76,22,28.95,54,71.05,03005
3,6,217,144,66.36,73,33.64,03006
3,7,138,47,34.06,91,65.94,03007
3,8,96,27,28.13,69,71.88,03008
3,9,179,43,24.02,136,75.98,03009
3,10,60,29,48.33,31,51.67,03010
3,11,154,57,37.01,97,62.99,03011
3,12,229,69,30.13,160,69.87,03012
3,13,190,122,64.21,68,35.79,03013
3,14,170,95,55.88,75,44.12,03014
3,15,122,49,40.16,73,59.84,03015
3,16,124,40,32.26,84,67.74,03016
3,17,170,75,44.12,95,55.88,03017
3,18,201,76,37.81,125,62.19,03018
3,19,195,125,64.1,70,35.9,03019
3,20,167,51,30.54,116,69.46,03020
3,21,204,114,55.88,90,44.12,03021
3,22,208,128,61.54,80,38.46,03022
3,23,99,34,34.34,65,65.66,03023
3,24,110,34,30.91,76,69.09,03024
3,25,290,209,72.07,81,27.93,03025
3,26,213,135,63.38,78,36.62,03026
3,27,191,121,63.35,70,36.65,03027
3,28,115,37,32.17,78,67.83,03028
3,29,115,45,39.13,70,60.87,03029
3,30,153,61,39.87,92,60.13,03030
3,31,154,54,35.06,100,64.94,03031
3,32,200,120,60.0,80,40.0,03032
3,33,181,125,69.06,56,30.94,03033
3,34,223,136,60.99,87,39.01,03034
3,35,82,25,30.49,57,69.51,03035
3,36,60,20,33.33,40,66.67,03036
3,37,112,40,35.71,72,64.29,03037
3,38,154,63,40.91,91,59.09,03038
3,39,284,179,63.03,105,36.97,03039
3,40,136,61,44.85,75,55.15,03040
3,41,149,61,40.94,88,59.06,03041
4,1,253,136,53.75,117,46.25,04001
4,2,237,160,67.51,77,32.49,04002
4,3,109,30,27.52,79,72.48,04003
4,4,209,72,34.45,137,65.55,04004
4,5,207,81,39.13,126,60.87,04005
4,6,277,104,37.55,173,62.45,04006
4,7,235,91,38.72,144,61.28,04007
4,8,224,91,40.63,133,59.38,04008
4,9,302,137,45.36,165,54.64,04009
4,10,281,107,38.08,174,61.92,04010
4,11,98,52,53.06,46,46.94,04011
4,12,201,92,45.77,109,54.23,04012
4,13,120,77,64.17,43,35.83,04013
4,14,198,87,43.94,111,56.06,04014
4,15,211,76,36.02,135,63.98,04015
4,16,270,173,64.07,97,35.93,04016
4,17,219,148,67.58,71,32.42,04017
4,18,201,72,35.82,129,64.18,04018
4,19,87,32,36.78,55,63.22,04019
4,20,183,122,66.67,61,33.33,04020
4,21,156,110,70.51,46,29.49,04021
4,22,196,96,48.98,100,51.02,04022
4,23,250,135,54.0,115,46.0,04023
4,24,153,81,52.94,72,47.06,04024
4,25,237,157,66.24,80,33.76,04025
4,26,147,61,41.5,86,58.5,04026
4,27,243,124,51.03,119,48.97,04027
4,28,141,55,39.01,86,60.99,04028
4,29,180,79,43.89,101,56.11,04029
4,30,184,78,42.39,106,57.61,04030
4,31,273,120,43.96,153,56.04,04031
4,32,211,76,36.02,135,63.98,04032
4,33,159,71,44.65,88,55.35,04033
4,34,159,66,41.51,93,58.49,04034
4,35,242,97,40.08,145,59.92,04035
4,36,252,98,38.89,154,61.11,04036
4,37,311,201,64.63,110,35.37,04037
4,38,243,109,44.86,134,55.14,04038
5,1,106,42,39.62,64,60.38,05001
5,2,93,23,24.73,70,75.27,05002
5,3,171,93,54.39,78,45.61,05003
5,4,230,96,41.74,134,58.26,05004
5,5,127,43,33.86,84,66.14,05005
5,6,128,34,26.56,94,73.44,05006
5,7,175,82,46.86,93,53.14,05007
5,8,212,136,64.15,76,35.85,05008
5,9,245,114,46.53,131,53.47,05009
5,10,99,40,40.4,59,59.6,05010
5,11,200,102,51.0,98,49.0,05011
5,12,78,19,24.36,59,75.64,05012
5,13,124,42,33.87,82,66.13,05013
5,14,189,63,33.33,126,66.67,05014
5,15,153,78,50.98,75,49.02,05015
5,16,150,43,28.67,107,71.33,05016
5,17,103,35,33.98,68,66.02,05017
5,18,167,85,50.9,82,49.1,05018
5,19,207,125,60.39,82,39.61,05019
5,20,272,146,53.68,126,46.32,05020
5,21,176,98,55.68,78,44.32,05021
5,22,296,164,55.41,132,44.59,05022
5,23,318,158,49.69,160,50.31,05023
5,24,215,111,51.63,104,48.37,05024
5,25,175,77,44.0,98,56.0,05025
5,26,142,52,36.62,90,63.38,05026
5,27,159,103,64.78,56,35.22,05027
5,28,179,74,41.34,105,58.66,05028
5,29,162,53,32.72,109,67.28,05029
5,30,85,32,37.65,53,62.35,05030
5,31,95,35,36.84,60,63.16,05031
5,32,210,75,35.71,135,64.29,05032
5,33,177,67,37.85,110,62.15,05033
5,34,215,165,76.74,50,23.26,05034
5,35,259,152,58.69,107,41.31,05035
5,36,61,16,26.23,45,73.77,05036
5,37,243,137,56.38,106,43.62,05037
5,38,123,38,30.89,85,69.11,05038
5,39,179,98,54.75,81,45.25,05039
5,40,123,32,26.02,91,73.98,05040
5,41,144,84,58.33,60,41.67,05041
6,1,157,44,28.03,113,71.97,06001
6,2,182,65,35.71,117,64.29,06002
6,3,131,50,38.17,81,61.83,06003
6,4,72,25,34.72,47,65.28,06004
6,5,70,28,40.0,42,60.0,06005
6,6,153,52,33.99,101,66.01,06006
6,7,87,30,34.48,57,65.52,06007
6,8,173,55,31.79,118,68.21,06008
6,9,88,26,29.55,62,70.45,06009
6,10,60,26,43.33,34,56.67,06010
6,11,95,41,43.16,54,56.84,06011
6,12,58,20,34.48,38,65.52,06012
6,13,120,45,37.5,75,62.5,06013
6,14,126,37,29.37,89,70.63,06014
6,15,70,26,37.14,44,62.86,06015
6,16,152,44,28.95,108,71.05,06016
6,17,62,23,37.1,39,62.9,06017
6,18,83,29,34.94,54,65.06,06018
6,19,77,26,33.77,51,66.23,06019
6,20,72,25,34.72,47,65.28,06020
6,21,45,15,33.33,30,66.67,06021
6,22,51,22,43.14,29,56.86,06022
6,23,45,16,35.56,29,64.44,06023
6,24,52,14,26.92,38,73.08,06024
6,25,59,21,35.59,38,64.41,06025
6,26,59,22,37.29,37,62.71,06026
6,27,61,23,37.7,38,62.3,06027
6,28,40,15,37.5,25,62.5,06028
6,29,174,65,37.36,109,62.64,06029
6,30,83,23,27.71,60,72.29,06030
6,31,169,71,42.01,98,57.99,06031
6,32,123,28,22.76,95,77.24,06032
6,33,138,51,36.96,87,63.04,06033
6,34,132,52,39.39,80,60.61,06034
6,35,152,44,28.95,108,71.05,06035
6,36,185,68,36.76,117,63.24,06036
6,37,208,72,34.62,136,65.38,06037
6,38,165,70,42.42,95,57.58,06038
6,39,108,40,37.04,68,62.96,06039
6,40,104,32,30.77,72,69.23,06040
6,41,149,50,33.56,99,66.44,06041
6,42,118,37,31.36,81,68.64,06042
6,43,116,44,37.93,72,62.07,06043
6,44,122,41,33.61,81,66.39,06044
6,45,148,65,43.92,83,56.08,06045
6,46,102,32,31.37,70,68.63,06046
6,47,103,31,30.1,72,69.9,06047
6,48,110,42,38.18,68,61.82,06048
7,1,91,32,35.16,59,64.84,07001
7,2,91,26,28.57,65,71.43,07002
7,3,123,37,30.08,86,69.92,07003
7,4,110,54,49.09,56,50.91,07004
7,5,82,28,34.15,54,65.85,07005
7,6,166,53,31.93,113,68.07,07006
7,7,89,34,38.2,55,61.8,07007
7,8,98,42,42.86,56,57.14,07008
7,9,233,93,39.91,140,60.09,07009
7,10,167,57,34.13,110,65.87,07010
7,11,94,26,27.66,68,72.34,07011
7,12,72,25,34.72,47,65.28,07012
7,13,103,32,31.07,71,68.93,07013
7,14,103,35,33.98,68,66.02,07014
7,15,132,41,31.06,91,68.94,07015
7,16,78,26,33.33,52,66.67,07016
7,17,91,38,41.76,53,58.24,07017
7,18,101,32,31.68,69,68.32,07018
7,19,102,32,31.37,70,68.63,07019
7,20,65,21,32.31,44,67.69,07020
7,21,64,30,46.88,34,53.13,07021
7,22,95,44,46.32,51,53.68,07022
7,23,138,58,42.03,80,57.97,07023
7,24,78,29,37.18,49,62.82,07024
7,25,46,25,54.35,21,45.65,07025
7,26,110,38,34.55,72,65.45,07026
7,27,98,41,41.84,57,58.16,07027
7,28,64,23,35.94,41,64.06,07028
7,29,108,38,35.19,70,64.81,07029
7,30,71,29,40.85,42,59.15,07030
7,31,61,25,40.98,36,59.02,07031
