ward,precinct,total,Toni Preckwinkle,Toni Preckwinkle Percent,Richard R. Boykin,Richard R. Boykin Percent,precinct_id
1,1,193,168,87.05,25,12.95,01001
1,2,141,117,82.98,24,17.02,01002
1,3,202,164,81.19,38,18.81,01003
1,4,161,132,81.99,29,18.01,01004
1,5,155,130,83.87,25,16.13,01005
1,6,152,113,74.34,39,25.66,01006
1,7,144,122,84.72,22,15.28,01007
1,8,161,118,73.29,43,26.71,01008
1,9,124,98,79.03,26,20.97,01009
1,10,195,158,81.03,37,18.97,01010
1,11,200,160,80.0,40,20.0,01011
1,12,197,164,83.25,33,16.75,01012
1,13,97,81,83.51,16,16.49,01013
1,14,181,148,81.77,33,18.23,01014
1,15,153,122,79.74,31,20.26,01015
1,16,213,186,87.32,27,12.68,01016
1,17,149,128,85.91,21,14.09,01017
1,18,175,147,84.0,28,16.0,01018
1,19,252,217,86.11,35,13.89,01019
1,20,143,121,84.62,22,15.38,01020
1,21,210,179,85.24,31,14.76,01021
1,22,120,103,85.83,17,14.17,01022
1,23,260,231,88.85,29,11.15,01023
1,24,203,173,85.22,30,14.78,01024
1,25,165,144,87.27,21,12.73,01025
1,26,125,105,84.0,20,16.0,01026
1,27,194,157,80.93,37,19.07,01027
1,28,32,22,68.75,10,31.25,01028
1,29,240,196,81.67,44,18.33,01029
1,30,218,185,84.86,33,15.14,01030
1,31,148,117,79.05,31,20.95,01031
1,32,159,125,78.62,34,21.38,01032
1,33,202,168,83.17,34,16.83,01033
1,34,175,152,86.86,23,13.14,01034
1,35,175,128,73.14,47,26.86,01035
1,36,209,162,77.51,47,22.49,01036
1,37,183,151,82.51,32,17.49,01037
1,38,161,134,83.23,27,16.77,01038
1,39,137,111,81.02,26,18.98,01039
1,40,141,106,75.18,35,24.82,01040
1,41,93,74,79.57,19,20.43,01041
1,42,49,47,95.92,2,4.08,01042
1,43,140,113,80.71,27,19.29,01043
1,44,154,137,88.96,17,11.04,01044
2,1,153,120,78.43,33,21.57,02001
2,2,148,115,77.7,33,22.3,02002
2,3,197,156,79.19,41,20.81,02003
2,4,169,139,82.25,30,17.75,02004
2,5,185,139,75.14,46,24.86,02005
2,6,140,114,81.43,26,18.57,02006
2,7,120,92,76.67,28,23.33,02007
2,8,166,135,81.33,31,18.67,02008
2,9,163,137,84.05,26,15.95,02009
2,10,150,103,68.67,47,31.33,02010
2,11,203,159,78.33,44,21.67,02011
2,12,129,104,80.62,25,19.38,02012
2,13,198,162,81.82,36,18.18,02013
2,14,193,162,83.94,31,16.06,02014
2,15,147,115,78.23,32,21.77,02015
2,16,174,143,82.18,31,17.82,02016
2,17,249,216,86.75,33,13.25,02017
2,18,149,124,83.22,25,16.78,02018
2,19,133,107,80.45,26,19.55,02019
2,20,150,114,76.0,36,24.0,02020
2,21,193,168,87.05,25,12.95,02021
2,22,182,132,72.53,50,27.47,02022
2,23,152,114,75.0,38,25.0,02023
2,24,142,105,73.94,37,26.06,02024
2,25,204,165,80.88,39,19.12,02025
2,26,123,91,73.98,32,26.02,02026
