ward,precinct,total,Michelle A. Harris,Michelle A. Harris Percent,precinct_id
3,2,217,217,100.0,03002
3,4,133,133,100.0,03004
3,6,190,190,100.0,03006
3,7,141,141,100.0,03007
3,12,198,198,100.0,03012
3,17,17,17,100.0,03017
3,18,85,85,100.0,03018
3,19,104,104,100.0,03019
3,23,109,109,100.0,03023
3,27,216,216,100.0,03027
3,29,51,51,100.0,03029
3,30,76,76,100.0,03030
3,31,34,34,100.0,03031
3,35,82,82,100.0,03035
3,38,176,176,100.0,03038
3,41,176,176,100.0,03041
4,1,239,239,100.0,04001
4,3,109,109,100.0,04003
4,4,221,221,100.0,04004
4,6,280,280,100.0,04006
4,7,234,234,100.0,04007
4,8,174,174,100.0,04008
4,11,103,103,100.0,04011
4,12,204,204,100.0,04012
4,14,83,83,100.0,04014
4,15,89,89,100.0,04015
4,18,200,200,100.0,04018
4,19,92,92,100.0,04019
4,23,253,253,100.0,04023
4,24,157,157,100.0,04024
4,26,158,158,100.0,04026
4,28,148,148,100.0,04028
4,29,174,174,100.0,04029
4,30,181,181,100.0,04030
4,32,213,213,100.0,04032
4,33,156,156,100.0,04033
4,34,64,64,100.0,04034
4,35,246,246,100.0,04035
4,36,261,261,100.0,04036
4,38,247,247,100.0,04038
5,2,98,98,100.0,05002
5,3,163,163,100.0,05003
5,4,222,222,100.0,05004
5,5,136,136,100.0,05005
5,6,130,130,100.0,05006
5,8,211,211,100.0,05008
5,9,254,254,100.0,05009
5,10,41,41,100.0,05010
5,12,76,76,100.0,05012
5,13,134,134,100.0,05013
5,14,206,206,100.0,05014
5,15,168,168,100.0,05015
5,16,150,150,100.0,05016
5,17,102,102,100.0,05017
5,19,194,194,100.0,05019
5,21,180,180,100.0,05021
5,24,198,198,100.0,05024
5,25,17,17,100.0,05025
5,27,133,133,100.0,05027
5,30,85,85,100.0,05030
5,33,182,182,100.0,05033
5,34,199,199,100.0,05034
5,35,90,90,100.0,05035
5,36,48,48,100.0,05036
5,39,179,179,100.0,05039
6,1,168,168,100.0,06001
6,2,189,189,100.0,06002
6,3,136,136,100.0,06003
6,4,74,74,100.0,06004
6,5,71,71,100.0,06005
6,6,144,144,100.0,06006
6,7,86,86,100.0,06007
6,8,164,164,100.0,06008
6,9,86,86,100.0,06009
6,10,55,55,100.0,06010
6,11,104,104,100.0,06011
