ward,precinct,total,"Larry Rogers, Jr.","Larry Rogers, Jr. Percent",precinct_id
2,10,89,89,100.0,02010
3,1,179,179,100.0,03001
3,2,241,241,100.0,03002
3,3,105,105,100.0,03003
3,4,210,210,100.0,03004
3,5,77,77,100.0,03005
3,6,209,209,100.0,03006
3,7,139,139,100.0,03007
3,8,94,94,100.0,03008
3,9,180,180,100.0,03009
3,10,62,62,100.0,03010
3,11,156,156,100.0,03011
3,12,232,232,100.0,03012
3,13,196,196,100.0,03013
3,14,154,154,100.0,03014
3,15,119,119,100.0,03015
3,16,129,129,100.0,03016
3,17,168,168,100.0,03017
3,18,192,192,100.0,03018
3,19,190,190,100.0,03019
3,20,177,177,100.0,03020
3,21,210,210,100.0,03021
3,22,196,196,100.0,03022
3,23,107,107,100.0,03023
3,24,119,119,100.0,03024
3,25,275,275,100.0,03025
3,26,215,215,100.0,03026
3,27,206,206,100.0,03027
3,28,115,115,100.0,03028
3,29,114,114,100.0,03029
3,30,155,155,100.0,03030
3,31,156,156,100.0,03031
3,32,208,208,100.0,03032
3,33,177,177,100.0,03033
3,34,221,221,100.0,03034
3,35,82,82,100.0,03035
3,36,57,57,100.0,03036
3,37,113,113,100.0,03037
3,38,169,169,100.0,03038
3,39,259,259,100.0,03039
3,40,136,136,100.0,03040
3,41,147,147,100.0,03041
4,1,233,233,100.0,04001
4,2,237,237,100.0,04002
4,3,107,107,100.0,04003
4,4,210,210,100.0,04004
4,5,209,209,100.0,04005
4,6,277,277,100.0,04006
4,7,231,231,100.0,04007
4,8,230,230,100.0,04008
4,9,310,310,100.0,04009
4,10,290,290,100.0,04010
4,11,96,96,100.0,04011
4,12,207,207,100.0,04012
4,13,108,108,100.0,04013
4,14,203,203,100.0,04014
4,15,207,207,100.0,04015
4,16,267,267,100.0,04016
4,17,210,210,100.0,04017
4,18,201,201,100.0,04018
4,19,86,86,100.0,04019
4,20,175,175,100.0,04020
4,21,162,162,100.0,04021
4,22,196,196,100.0,04022
4,23,241,241,100.0,04023
4,24,160,160,100.0,04024
4,25,240,240,100.0,04025
4,26,151,151,100.0,04026
4,27,237,237,100.0,04027
4,28,140,140,100.0,04028
