ward,precinct,total,Diana Lopez,Diana Lopez Percent,Monica G. Somerville,Monica G. Somerville Percent,Mable Taylor,Mable Taylor Percent,precinct_id
1,1,176,152,86.36,10,5.68,14,7.95,01001
1,2,136,120,88.24,10,7.35,6,4.41,01002
1,3,186,160,86.02,14,7.53,12,6.45,01003
1,4,150,124,82.67,14,9.33,12,8.0,01004
1,5,142,123,86.62,16,11.27,3,2.11,01005
1,6,137,116,84.67,11,8.03,10,7.3,01006
1,7,137,120,87.59,11,8.03,6,4.38,01007
1,8,142,113,79.58,19,13.38,10,7.04,01008
1,9,119,100,84.03,11,9.24,8,6.72,01009
1,10,177,164,92.66,9,5.08,4,2.26,01010
1,11,191,156,81.68,17,8.9,18,9.42,01011
1,12,193,164,84.97,20,10.36,9,4.66,01012
1,13,86,80,93.02,4,4.65,2,2.33,01013
1,14,161,142,88.2,9,5.59,10,6.21,01014
1,15,136,109,80.15,17,12.5,10,7.35,01015
1,16,204,185,90.69,9,4.41,10,4.9,01016
1,17,140,121,86.43,13,9.29,6,4.29,01017
1,18,162,136,83.95,16,9.88,10,6.17,01018
1,19,237,214,90.3,12,5.06,11,4.64,01019
1,20,131,117,89.31,10,7.63,4,3.05,01020
1,21,191,164,85.86,17,8.9,10,5.24,01021
1,22,116,97,83.62,12,10.34,7,6.03,01022
1,23,247,219,88.66,14,5.67,14,5.67,01023
1,24,190,158,83.16,13,6.84,19,10.0,01024
1,25,160,136,85.0,19,11.88,5,3.13,01025
1,26,116,100,86.21,10,8.62,6,5.17,01026
1,27,188,166,88.3,12,6.38,10,5.32,01027
1,28,27,17,62.96,3,11.11,7,25.93,01028
1,29,224,195,87.05,17,7.59,12,5.36,01029
1,30,189,166,87.83,13,6.88,10,5.29,01030
1,31,141,114,80.85,16,11.35,11,7.8,01031
1,32,153,129,84.31,17,11.11,7,4.58,01032
1,33,171,144,84.21,17,9.94,10,5.85,01033
1,34,156,141,90.38,9,5.77,6,3.85,01034
1,35,154,132,85.71,14,9.09,8,5.19,01035
1,36,197,169,85.79,18,9.14,10,5.08,01036
1,37,163,141,86.5,16,9.82,6,3.68,01037
1,38,154,126,81.82,15,9.74,13,8.44,01038
1,39,129,105,81.4,13,10.08,11,8.53,01039
1,40,136,107,78.68,17,12.5,12,8.82,01040
1,41,92,78,84.78,8,8.7,6,6.52,01041
1,42,50,46,92.0,3,6.0,1,2.0,01042
1,43,127,113,88.98,10,7.87,4,3.15,01043
1,44,140,120,85.71,11,7.86,9,6.43,01044
2,1,148,126,85.14,14,9.46,8,5.41,02001
2,2,123,92,74.8,27,21.95,4,3.25,02002
2,3,184,149,80.98,21,11.41,14,7.61,02003
2,4,157,129,82.17,24,15.29,4,2.55,02004
2,5,173,150,86.71,14,8.09,9,5.2,02005
2,6,136,117,86.03,11,8.09,8,5.88,02006
2,7,116,106,91.38,5,4.31,5,4.31,02007
2,8,154,139,90.26,11,7.14,4,2.6,02008
2,9,137,101,73.72,17,12.41,19,13.87,02009
2,10,130,81,62.31,45,34.62,4,3.08,02010
2,11,170,122,71.76,36,21.18,12,7.06,02011
2,12,115,82,71.3,14,12.17,19,16.52,02012
2,13,167,133,79.64,22,13.17,12,7.19,02013
2,14,178,149,83.71,21,11.8,8,4.49,02014
2,15,147,125,85.03,14,9.52,8,5.44,02015
2,16,163,143,87.73,14,8.59,6,3.68,02016
2,17,227,194,85.46,27,11.89,6,2.64,02017
2,18,129,84,65.12,31,24.03,14,10.85,02018
2,19,108,87,80.56,16,14.81,5,4.63,02019
2,20,132,107,81.06,18,13.64,7,5.3,02020
2,21,181,152,83.98,22,12.15,7,3.87,02021
2,22,151,118,78.15,24,15.89,9,5.96,02022
2,23,117,80,68.38,32,27.35,5,4.27,02023
2,24,124,84,67.74,28,22.58,12,9.68,02024
2,25,188,159,84.57,14,7.45,15,7.98,02025
2,26,112,90,80.36,14,12.5,8,7.14,02026
2,27,88,60,68.18,16,18.18,12,13.64,02027
2,28,138,112,81.16,22,15.94,4,2.9,02028
2,29,133,99,74.44,28,21.05,6,4.51,02029
2,30,110,83,75.45,20,18.18,7,6.36,02030
2,31,176,120,68.18,41,23.3,15,8.52,02031
2,32,81,54,66.67,23,28.4,4,4.94,02032
2,33,188,138,73.4,44,23.4,6,3.19,02033
2,34,143,110,76.92,27,18.88,6,4.2,02034
2,35,169,127,75.15,26,15.38,16,9.47,02035
2,36,143,117,81.82,17,11.89,9,6.29,02036
2,37,164,122,74.39,31,18.9,11,6.71,02037
2,38,117,88,75.21,23,19.66,6,5.13,02038
2,39,69,41,59.42,18,26.09,10,14.49,02039
2,40,149,103,69.13,30,20.13,16,10.74,02040
