ward,precinct,total,Stanley S. Moore,Stanley S. Moore Percent,precinct_id
5,10,0,0,0.0,05010
6,1,171,171,100.0,06001
6,2,189,189,100.0,06002
6,3,130,130,100.0,06003
6,8,172,172,100.0,06008
6,13,119,119,100.0,06013
6,14,128,128,100.0,06014
6,16,129,129,100.0,06016
6,19,19,19,100.0,06019
6,29,173,173,100.0,06029
6,31,163,163,100.0,06031
6,34,132,132,100.0,06034
6,35,153,153,100.0,06035
6,36,178,178,100.0,06036
6,37,195,195,100.0,06037
6,38,164,164,100.0,06038
6,41,155,155,100.0,06041
6,42,117,117,100.0,06042
6,43,58,58,100.0,06043
6,44,119,119,100.0,06044
6,45,135,135,100.0,06045
6,46,101,101,100.0,06046
7,1,87,87,100.0,07001
7,2,91,91,100.0,07002
7,3,119,119,100.0,07003
7,4,106,106,100.0,07004
7,5,79,79,100.0,07005
7,6,161,161,100.0,07006
7,7,77,77,100.0,07007
7,8,95,95,100.0,07008
7,9,214,214,100.0,07009
7,10,161,161,100.0,07010
7,11,96,96,100.0,07011
7,12,66,66,100.0,07012
7,13,95,95,100.0,07013
7,14,102,102,100.0,07014
7,15,132,132,100.0,07015
7,16,78,78,100.0,07016
7,17,88,88,100.0,07017
7,18,100,100,100.0,07018
7,19,103,103,100.0,07019
7,20,62,62,100.0,07020
7,21,64,64,100.0,07021
7,22,88,88,100.0,07022
7,23,134,134,100.0,07023
7,24,74,74,100.0,07024
7,25,50,50,100.0,07025
7,26,109,109,100.0,07026
7,27,98,98,100.0,07027
7,28,68,68,100.0,07028
7,29,101,101,100.0,07029
7,30,69,69,100.0,07030
7,31,61,61,100.0,07031
7,32,217,217,100.0,07032
7,33,216,216,100.0,07033
7,34,174,174,100.0,07034
7,35,107,107,100.0,07035
7,36,164,164,100.0,07036
7,37,137,137,100.0,07037
7,38,100,100,100.0,07038
7,39,108,108,100.0,07039
7,40,107,107,100.0,07040
7,41,87,87,100.0,07041
7,42,113,113,100.0,07042
7,43,116,116,100.0,07043
7,44,102,102,100.0,07044
7,45,65,65,100.0,07045
7,46,53,53,100.0,07046
8,3,208,208,100.0,08003
8,4,187,187,100.0,08004
8,5,201,201,100.0,08005
8,6,162,162,100.0,08006
8,7,173,173,100.0,08007
8,8,194,194,100.0,08008
8,9,50,50,100.0,08009
8,10,247,247,100.0,08010
8,11,88,88,100.0,08011
8,12,106,106,100.0,08012
8,15,108,108,100.0,08015
8,17,138,138,100.0,08017
8,19,201,201,100.0,08019
8,22,131,131,100.0,08022
8,23,78,78,100.0,08023
8,24,88,88,100.0,08024
8,25,113,113,100.0,08025
8,27,215,215,100.0,08027
8,28,35,35,100.0,08028
8,29,173,173,100.0,08029
8,30,147,147,100.0,08030
8,31,102,102,100.0,08031
8,32,105,105,100.0,08032
8,33,102,102,100.0,08033
8,34,139,139,100.0,08034
8,35,173,173,100.0,08035
8,36,141,141,100.0,08036
8,37,127,127,100.0,08037
8,38,93,93,100.0,08038
8,39,134,134,100.0,08039
8,40,101,101,100.0,08040
8,41,127,127,100.0,08041
8,44,87,87,100.0,08044
8,46,103,103,100.0,08046
8,47,117,117,100.0,08047
8,48,120,120,100.0,08048
8,49,135,135,100.0,08049
8,50,154,154,100.0,08050
8,51,165,165,100.0,08051
8,52,226,226,100.0,08052
8,53,71,71,100.0,08053
8,56,175,175,100.0,08056
9,1,47,47,100.0,09001
9,2,15,15,100.0,09002
9,8,81,81,100.0,09008
9,10,73,73,100.0,09010
9,12,158,158,100.0,09012
9,17,27,27,100.0,09017
9,20,111,111,100.0,09020
9,21,92,92,100.0,09021
9,23,154,154,100.0,09023
9,24,153,153,100.0,09024
9,25,111,111,100.0,09025
9,27,106,106,100.0,09027
9,30,78,78,100.0,09030
9,36,83,83,100.0,09036
9,37,165,165,100.0,09037
9,42,164,164,100.0,09042
9,46,22,22,100.0,09046
9,47,162,162,100.0,09047
9,48,151,151,100.0,09048
9,49,156,156,100.0,09049
9,50,204,204,100.0,09050
9,51,152,152,100.0,09051
10,1,101,101,100.0,10001
10,2,72,72,100.0,10002
10,3,84,84,100.0,10003
10,4,49,49,100.0,10004
10,5,62,62,100.0,10005
10,6,71,71,100.0,10006
10,7,41,41,100.0,10007
10,8,26,26,100.0,10008
10,9,62,62,100.0,10009
10,10,75,75,100.0,10010
10,11,69,69,100.0,10011
10,12,45,45,100.0,10012
10,13,76,76,100.0,10013
10,14,82,82,100.0,10014
10,15,199,199,100.0,10015
10,16,44,44,100.0,10016
10,17,99,99,100.0,10017
10,18,35,35,100.0,10018
10,19,58,58,100.0,10019
10,20,73,73,100.0,10020
10,21,68,68,100.0,10021
10,22,24,24,100.0,10022
10,23,67,67,100.0,10023
10,24,62,62,100.0,10024
10,25,31,31,100.0,10025
10,26,52,52,100.0,10026
10,27,50,50,100.0,10027
10,28,75,75,100.0,10028
10,29,61,61,100.0,10029
10,30,49,49,100.0,10030
10,31,46,46,100.0,10031
10,32,65,65,100.0,10032
10,33,51,51,100.0,10033
10,34,35,35,100.0,10034
10,35,94,94,100.0,10035
10,36,32,32,100.0,10036
18,19,7,7,100.0,18019
18,32,140,140,100.0,18032
19,56,106,106,100.0,19056
21,1,148,148,100.0,21001
21,2,64,64,100.0,21002
21,3,161,161,100.0,21003
21,4,117,117,100.0,21004
21,5,151,151,100.0,21005
21,6,95,95,100.0,21006
21,7,169,169,100.0,21007
21,8,141,141,100.0,21008
21,9,150,150,100.0,21009
21,10,124,124,100.0,21010
21,11,118,118,100.0,21011
21,12,96,96,100.0,21012
21,13,100,100,100.0,21013
21,14,151,151,100.0,21014
21,15,101,101,100.0,21015
21,16,98,98,100.0,21016
21,17,94,94,100.0,21017
21,18,161,161,100.0,21018
21,19,145,145,100.0,21019
21,20,135,135,100.0,21020
21,21,117,117,100.0,21021
21,22,128,128,100.0,21022
21,23,131,131,100.0,21023
21,24,153,153,100.0,21024
21,25,134,134,100.0,21025
21,26,78,78,100.0,21026
21,27,131,131,100.0,21027
21,28,127,127,100.0,21028
21,29,139,139,100.0,21029
21,30,92,92,100.0,21030
21,31,125,125,100.0,21031
21,32,110,110,100.0,21032
21,33,100,100,100.0,21033
21,34,91,91,100.0,21034
21,35,157,157,100.0,21035
