ward,precinct,total,"Marcus C. Evans, Jr.","Marcus C. Evans, Jr. Percent",precinct_id
5,12,16,16,100.0,05012
7,26,115,115,100.0,07026
7,27,101,101,100.0,07027
7,28,63,63,100.0,07028
7,29,30,30,100.0,07029
7,30,22,22,100.0,07030
7,38,98,98,100.0,07038
7,39,115,115,100.0,07039
7,40,111,111,100.0,07040
7,41,89,89,100.0,07041
7,42,117,117,100.0,07042
7,43,117,117,100.0,07043
7,44,100,100,100.0,07044
7,45,68,68,100.0,07045
8,2,0,0,0.0,08002
8,3,219,219,100.0,08003
8,4,189,189,100.0,08004
8,5,200,200,100.0,08005
8,6,167,167,100.0,08006
8,7,180,180,100.0,08007
8,8,200,200,100.0,08008
8,9,84,84,100.0,08009
8,10,259,259,100.0,08010
8,11,87,87,100.0,08011
8,12,112,112,100.0,08012
8,13,128,128,100.0,08013
8,14,51,51,100.0,08014
8,15,57,57,100.0,08015
8,17,148,148,100.0,08017
8,18,61,61,100.0,08018
8,19,212,212,100.0,08019
8,20,176,176,100.0,08020
8,21,150,150,100.0,08021
8,23,89,89,100.0,08023
8,24,93,93,100.0,08024
8,25,114,114,100.0,08025
8,27,217,217,100.0,08027
8,28,141,141,100.0,08028
8,29,177,177,100.0,08029
8,30,158,158,100.0,08030
8,33,106,106,100.0,08033
8,35,172,172,100.0,08035
8,36,141,141,100.0,08036
8,37,136,136,100.0,08037
8,38,93,93,100.0,08038
8,40,101,101,100.0,08040
8,41,138,138,100.0,08041
8,44,91,91,100.0,08044
8,45,40,40,100.0,08045
8,46,105,105,100.0,08046
8,48,124,124,100.0,08048
8,49,133,133,100.0,08049
8,50,155,155,100.0,08050
8,51,180,180,100.0,08051
8,52,250,250,100.0,08052
8,53,71,71,100.0,08053
8,54,10,10,100.0,08054
8,56,170,170,100.0,08056
10,2,72,72,100.0,10002
10,3,83,83,100.0,10003
10,5,61,61,100.0,10005
10,6,72,72,100.0,10006
10,7,42,42,100.0,10007
10,9,62,62,100.0,10009
10,13,76,76,100.0,10013
10,14,2,2,100.0,10014
10,15,206,206,100.0,10015
10,16,48,48,100.0,10016
10,17,101,101,100.0,10017
10,21,64,64,100.0,10021
10,23,47,47,100.0,10023
10,24,62,62,100.0,10024
10,26,49,49,100.0,10026
10,30,31,31,100.0,10030
10,31,45,45,100.0,10031
10,33,51,51,100.0,10033
