ward,precinct,total,Theresa Mah,Theresa Mah Percent,precinct_id
11,1,138,138,100.0,11001
11,3,150,150,100.0,11003
11,4,108,108,100.0,11004
11,5,148,148,100.0,11005
11,8,114,114,100.0,11008
11,9,97,97,100.0,11009
11,10,93,93,100.0,11010
11,11,113,113,100.0,11011
11,14,44,44,100.0,11014
11,15,56,56,100.0,11015
11,16,70,70,100.0,11016
11,17,189,189,100.0,11017
11,18,93,93,100.0,11018
11,19,191,191,100.0,11019
11,20,87,87,100.0,11020
11,21,10,10,100.0,11021
11,22,145,145,100.0,11022
11,23,77,77,100.0,11023
11,24,20,20,100.0,11024
11,26,158,158,100.0,11026
11,27,43,43,100.0,11027
11,29,142,142,100.0,11029
11,30,60,60,100.0,11030
11,31,2,2,100.0,11031
11,36,50,50,100.0,11036
11,37,40,40,100.0,11037
11,38,69,69,100.0,11038
12,1,123,123,100.0,12001
12,2,31,31,100.0,12002
12,4,107,107,100.0,12004
12,5,113,113,100.0,12005
12,6,106,106,100.0,12006
12,7,56,56,100.0,12007
12,9,78,78,100.0,12009
12,10,95,95,100.0,12010
12,13,41,41,100.0,12013
12,15,2,2,100.0,12015
12,17,58,58,100.0,12017
12,18,20,20,100.0,12018
12,19,76,76,100.0,12019
12,21,58,58,100.0,12021
12,23,121,121,100.0,12023
15,1,64,64,100.0,15001
15,5,44,44,100.0,15005
15,9,26,26,100.0,15009
15,13,23,23,100.0,15013
24,16,43,43,100.0,24016
25,1,88,88,100.0,25001
25,2,149,149,100.0,25002
25,5,117,117,100.0,25005
25,6,36,36,100.0,25006
25,7,117,117,100.0,25007
25,8,131,131,100.0,25008
25,9,96,96,100.0,25009
25,11,132,132,100.0,25011
25,12,131,131,100.0,25012
25,13,158,158,100.0,25013
25,14,100,100,100.0,25014
25,15,95,95,100.0,25015
25,17,141,141,100.0,25017
25,18,53,53,100.0,25018
25,19,114,114,100.0,25019
25,22,106,106,100.0,25022
25,23,164,164,100.0,25023
25,24,98,98,100.0,25024
25,26,101,101,100.0,25026
25,27,19,19,100.0,25027
25,28,105,105,100.0,25028
25,30,93,93,100.0,25030
25,32,7,7,100.0,25032
28,19,2,2,100.0,28019
