ward,precinct,total,AL GORE,AL GORE Percent,BILL BRADLEY,BILL BRADLEY Percent,"LYNDON H. LAROUCHE, JR.","LYNDON H. LAROUCHE, JR. Percent",precinct_id
1,1,119,94,78.99,22,18.49,3,2.52,01001
1,2,161,129,80.12,29,18.01,3,1.86,01002
1,3,105,81,77.14,20,19.05,4,3.81,01003
1,4,133,100,75.19,30,22.56,3,2.26,01004
1,5,125,94,75.2,29,23.2,2,1.6,01005
1,6,110,85,77.27,22,20.0,3,2.73,01006
1,7,180,148,82.22,31,17.22,1,0.56,01007
1,8,122,109,89.34,10,8.2,3,2.46,01008
1,9,216,173,80.09,36,16.67,7,3.24,01009
1,10,163,112,68.71,43,26.38,8,4.91,01010
1,11,99,73,73.74,24,24.24,2,2.02,01011
1,12,237,192,81.01,39,16.46,6,2.53,01012
1,13,201,180,89.55,19,9.45,2,1.0,01013
1,14,140,129,92.14,10,7.14,1,0.71,01014
1,15,185,160,86.49,24,12.97,1,0.54,01015
1,16,126,103,81.75,18,14.29,5,3.97,01016
1,17,139,113,81.29,25,17.99,1,0.72,01017
1,18,220,191,86.82,28,12.73,1,0.45,01018
1,19,174,158,90.8,14,8.05,2,1.15,01019
1,20,153,132,86.27,21,13.73,0,0.0,01020
1,21,198,152,76.77,41,20.71,5,2.53,01021
1,22,102,95,93.14,6,5.88,1,0.98,01022
1,23,258,214,82.95,39,15.12,5,1.94,01023
1,24,143,112,78.32,24,16.78,7,4.9,01024
1,25,206,164,79.61,39,18.93,3,1.46,01025
1,26,290,238,82.07,49,16.9,3,1.03,01026
1,27,127,111,87.4,11,8.66,5,3.94,01027
1,28,41,36,87.8,4,9.76,1,2.44,01028
1,29,235,197,83.83,30,12.77,8,3.4,01029
1,30,159,142,89.31,13,8.18,4,2.52,01030
1,31,44,38,86.36,5,11.36,1,2.27,01031
1,32,200,180,90.0,14,7.0,6,3.0,01032
1,33,240,210,87.5,23,9.58,7,2.92,01033
1,34,21,14,66.67,7,33.33,0,0.0,01034
1,35,44,35,79.55,9,20.45,0,0.0,01035
1,36,156,124,79.49,28,17.95,4,2.56,01036
2,1,116,86,74.14,30,25.86,0,0.0,02001
2,2,299,273,91.3,26,8.7,0,0.0,02002
2,3,116,88,75.86,23,19.83,5,4.31,02003
2,4,39,36,92.31,3,7.69,0,0.0,02004
2,5,71,64,90.14,5,7.04,2,2.82,02005
2,6,91,76,83.52,12,13.19,3,3.3,02006
2,7,220,211,95.91,7,3.18,2,0.91,02007
2,8,190,157,82.63,29,15.26,4,2.11,02008
2,9,92,74,80.43,14,15.22,4,4.35,02009
2,10,90,83,92.22,6,6.67,1,1.11,02010
2,11,305,248,81.31,52,17.05,5,1.64,02011
2,12,245,229,93.47,14,5.71,2,0.82,02012
2,13,280,263,93.93,13,4.64,4,1.43,02013
2,14,161,146,90.68,13,8.07,2,1.24,02014
2,15,49,42,85.71,7,14.29,0,0.0,02015
2,16,100,91,91.0,9,9.0,0,0.0,02016
2,17,126,114,90.48,10,7.94,2,1.59,02017
2,18,278,269,96.76,9,3.24,0,0.0,02018
2,19,70,59,84.29,10,14.29,1,1.43,02019
2,20,235,220,93.62,13,5.53,2,0.85,02020
2,21,185,168,90.81,16,8.65,1,0.54,02021
2,22,251,199,79.28,50,19.92,2,0.8,02022
