ward,precinct,total,SUSANA MENDOZA,SUSANA MENDOZA Percent,SONIA SILVA,SONIA SILVA Percent,precinct_id
11,14,102,64,62.75,38,37.25,11014
11,23,183,144,78.69,39,21.31,11023
11,27,74,39,52.7,35,47.3,11027
11,31,66,50,75.76,16,24.24,11031
12,2,146,84,57.53,62,42.47,12002
12,3,151,112,74.17,39,25.83,12003
12,4,110,77,70.0,33,30.0,12004
12,5,61,50,81.97,11,18.03,12005
12,6,190,119,62.63,71,37.37,12006
12,9,106,68,64.15,38,35.85,12009
12,11,135,90,66.67,45,33.33,12011
12,12,117,71,60.68,46,39.32,12012
12,13,6,6,100.0,0,0.0,12013
12,16,162,135,83.33,27,16.67,12016
12,21,172,130,75.58,42,24.42,12021
12,23,187,82,43.85,105,56.15,12023
12,24,18,13,72.22,5,27.78,12024
12,29,212,142,66.98,70,33.02,12029
12,30,188,135,71.81,53,28.19,12030
14,6,161,127,78.88,34,21.12,14006
14,7,154,109,70.78,45,29.22,14007
14,8,100,62,62.0,38,38.0,14008
14,12,122,96,78.69,26,21.31,14012
14,22,195,129,66.15,66,33.85,14022
14,26,145,95,65.52,50,34.48,14026
16,42,197,93,47.21,104,52.79,16042
22,2,168,76,45.24,92,54.76,22002
22,3,207,79,38.16,128,61.84,22003
22,4,191,80,41.88,111,58.12,22004
22,5,270,124,45.93,146,54.07,22005
22,6,227,58,25.55,169,74.45,22006
22,9,237,73,30.8,164,69.2,22009
22,10,301,113,37.54,188,62.46,22010
22,11,212,99,46.7,113,53.3,22011
22,13,166,84,50.6,82,49.4,22013
22,14,122,45,36.89,77,63.11,22014
22,16,216,130,60.19,86,39.81,22016
22,17,229,115,50.22,114,49.78,22017
22,18,173,77,44.51,96,55.49,22018
22,23,222,91,40.99,131,59.01,22023
22,24,210,73,34.76,137,65.24,22024
22,25,204,88,43.14,116,56.86,22025
22,26,150,90,60.0,60,40.0,22026
22,27,253,114,45.06,139,54.94,22027
