ward,precinct,total,MARY K. O'BRIEN (BRADLEY),MARY K. O'BRIEN (BRADLEY) Percent,DANIEL VERA (BRADLEY),DANIEL VERA (BRADLEY) Percent,MARY JANE WILKINSON (BRADLEY),MARY JANE WILKINSON (BRADLEY) Percent,GEORGE E. SANGMEISTER (BRADLEY),GEORGE E. SANGMEISTER (BRADLEY) Percent,MARILYN SWIERSZ (BRADLEY),MARILYN SWIERSZ (BRADLEY) Percent,DEBORAH L. HALVORSON (GORE),DEBORAH L. HALVORSON (GORE) Percent,PATRICK D. WELCH (GORE),PATRICK D. WELCH (GORE) Percent,CARYL E. WADLEY-FOY (GORE),CARYL E. WADLEY-FOY (GORE) Percent,GILBERT C. DELGADO (GORE),GILBERT C. DELGADO (GORE) Percent,LINDA D. PASTERNAK (GORE),LINDA D. PASTERNAK (GORE) Percent,precinct_id
10,2,363,52,14.33,23,6.34,29,7.99,26,7.16,36,9.92,33,9.09,33,9.09,27,7.44,45,12.4,59,16.25,10002
10,3,671,85,12.67,39,5.81,50,7.45,53,7.9,58,8.64,63,9.39,70,10.43,57,8.49,84,12.52,112,16.69,10003
10,5,453,48,10.6,19,4.19,34,7.51,28,6.18,36,7.95,52,11.48,47,10.38,50,11.04,67,14.79,72,15.89,10005
10,8,561,72,12.83,49,8.73,40,7.13,53,9.45,36,6.42,50,8.91,51,9.09,49,8.73,79,14.08,82,14.62,10008
10,9,542,63,11.62,37,6.83,38,7.01,41,7.56,36,6.64,54,9.96,58,10.7,46,8.49,87,16.05,82,15.13,10009
10,11,540,63,11.67,29,5.37,35,6.48,30,5.56,28,5.19,48,8.89,58,10.74,45,8.33,128,23.7,76,14.07,10011
10,12,516,47,9.11,28,5.43,28,5.43,24,4.65,32,6.2,60,11.63,62,12.02,52,10.08,96,18.6,87,16.86,10012
10,13,599,63,10.52,47,7.85,37,6.18,42,7.01,43,7.18,57,9.52,59,9.85,46,7.68,119,19.87,86,14.36,10013
10,15,258,38,14.73,12,4.65,19,7.36,17,6.59,25,9.69,26,10.08,29,11.24,19,7.36,30,11.63,43,16.67,10015
10,16,563,68,12.08,29,5.15,44,7.82,48,8.53,54,9.59,52,9.24,50,8.88,47,8.35,73,12.97,98,17.41,10016
10,17,512,49,9.57,17,3.32,31,6.05,35,6.84,35,6.84,57,11.13,60,11.72,47,9.18,83,16.21,98,19.14,10017
10,19,801,100,12.48,44,5.49,58,7.24,49,6.12,51,6.37,85,10.61,90,11.24,70,8.74,135,16.85,119,14.86,10019
10,20,916,110,12.01,54,5.9,64,6.99,55,6.0,54,5.9,96,10.48,108,11.79,80,8.73,162,17.69,133,14.52,10020
10,21,351,44,12.54,15,4.27,23,6.55,17,4.84,23,6.55,40,11.4,40,11.4,40,11.4,48,13.68,61,17.38,10021
10,22,157,20,12.74,10,6.37,11,7.01,11,7.01,11,7.01,15,9.55,19,12.1,11,7.01,27,17.2,22,14.01,10022
10,23,535,59,11.03,43,8.04,33,6.17,25,4.67,25,4.67,55,10.28,42,7.85,42,7.85,126,23.55,85,15.89,10023
10,24,569,72,12.65,31,5.45,43,7.56,44,7.73,54,9.49,55,9.67,62,10.9,45,7.91,68,11.95,95,16.7,10024
10,26,297,31,10.44,35,11.78,13,4.38,11,3.7,10,3.37,28,9.43,34,11.45,26,8.75,67,22.56,42,14.14,10026
10,27,681,73,10.72,45,6.61,42,6.17,41,6.02,46,6.75,76,11.16,81,11.89,59,8.66,110,16.15,108,15.86,10027
10,30,602,60,9.97,41,6.81,33,5.48,30,4.98,33,5.48,62,10.3,64,10.63,55,9.14,136,22.59,88,14.62,10030
10,31,480,46,9.58,38,7.92,30,6.25,30,6.25,27,5.63,46,9.58,51,10.63,40,8.33,99,20.63,73,15.21,10031
10,32,572,60,10.49,38,6.64,41,7.17,24,4.2,40,6.99,65,11.36,69,12.06,57,9.97,92,16.08,86,15.03,10032
10,33,478,57,11.92,32,6.69,29,6.07,34,7.11,24,5.02,47,9.83,53,11.09,43,9.0,92,19.25,67,14.02,10033
10,34,480,54,11.25,28,5.83,27,5.63,22,4.58,24,5.0,59,12.29,51,10.63,47,9.79,98,20.42,70,14.58,10034
10,35,431,49,11.37,39,9.05,25,5.8,27,6.26,28,6.5,44,10.21,38,8.82,37,8.58,84,19.49,60,13.92,10035
10,38,702,86,12.25,46,6.55,39,5.56,37,5.27,37,5.27,78,11.11,89,12.68,66,9.4,113,16.1,111,15.81,10038
10,39,553,57,10.31,33,5.97,30,5.42,34,6.15,29,5.24,59,10.67,68,12.3,50,9.04,111,20.07,82,14.83,10039
10,41,681,84,12.33,49,7.2,52,7.64,46,6.75,49,7.2,64,9.4,65,9.54,49,7.2,127,18.65,96,14.1,10041
10,42,519,64,12.33,34,6.55,48,9.25,30,5.78,34,6.55,52,10.02,55,10.6,39,7.51,83,15.99,80,15.41,10042
10,44,503,47,9.34,35,6.96,23,4.57,23,4.57,26,5.17,55,10.93,49,9.74,42,8.35,132,26.24,71,14.12,10044
10,45,628,62,9.87,45,7.17,31,4.94,32,5.1,31,4.94,72,11.46,76,12.1,57,9.08,117,18.63,105,16.72,10045
10,46,416,43,10.34,33,7.93,22,5.29,23,5.53,20,4.81,41,9.86,46,11.06,37,8.89,87,20.91,64,15.38,10046
