ward,precinct,total,Karen A. Yarbrough,Karen A. Yarbrough Percent,precinct_id
1,1,158,158,100.0,01001
1,2,110,110,100.0,01002
1,3,159,159,100.0,01003
1,4,147,147,100.0,01004
1,5,123,123,100.0,01005
1,6,125,125,100.0,01006
1,7,106,106,100.0,01007
1,8,126,126,100.0,01008
1,9,121,121,100.0,01009
1,10,123,123,100.0,01010
1,11,131,131,100.0,01011
1,12,194,194,100.0,01012
1,13,69,69,100.0,01013
1,14,152,152,100.0,01014
1,15,156,156,100.0,01015
1,16,162,162,100.0,01016
1,17,127,127,100.0,01017
1,18,167,167,100.0,01018
1,19,158,158,100.0,01019
1,20,133,133,100.0,01020
1,21,140,140,100.0,01021
1,22,103,103,100.0,01022
1,23,229,229,100.0,01023
1,24,153,153,100.0,01024
1,25,136,136,100.0,01025
1,26,94,94,100.0,01026
1,27,132,132,100.0,01027
1,28,51,51,100.0,01028
1,29,145,145,100.0,01029
1,30,170,170,100.0,01030
1,31,147,147,100.0,01031
1,32,127,127,100.0,01032
1,33,147,147,100.0,01033
1,34,129,129,100.0,01034
1,35,154,154,100.0,01035
1,36,115,115,100.0,01036
1,37,143,143,100.0,01037
1,38,126,126,100.0,01038
1,39,110,110,100.0,01039
1,40,143,143,100.0,01040
1,41,111,111,100.0,01041
1,42,53,53,100.0,01042
1,43,82,82,100.0,01043
1,44,148,148,100.0,01044
2,1,140,140,100.0,02001
2,2,131,131,100.0,02002
2,3,169,169,100.0,02003
2,4,107,107,100.0,02004
2,5,147,147,100.0,02005
2,6,114,114,100.0,02006
2,7,133,133,100.0,02007
2,8,163,163,100.0,02008
2,9,91,91,100.0,02009
2,10,131,131,100.0,02010
2,11,151,151,100.0,02011
2,12,165,165,100.0,02012
2,13,157,157,100.0,02013
2,14,163,163,100.0,02014
2,15,148,148,100.0,02015
2,16,122,122,100.0,02016
2,17,193,193,100.0,02017
2,18,138,138,100.0,02018
2,19,104,104,100.0,02019
2,20,110,110,100.0,02020
2,21,168,168,100.0,02021
2,22,134,134,100.0,02022
2,23,108,108,100.0,02023
2,24,121,121,100.0,02024
2,25,149,149,100.0,02025
2,26,104,104,100.0,02026
2,27,114,114,100.0,02027
2,28,147,147,100.0,02028
2,29,148,148,100.0,02029
2,30,130,130,100.0,02030
2,31,158,158,100.0,02031
2,32,108,108,100.0,02032
2,33,220,220,100.0,02033
2,34,155,155,100.0,02034
2,35,134,134,100.0,02035
2,36,121,121,100.0,02036
2,37,119,119,100.0,02037
2,38,116,116,100.0,02038
2,39,92,92,100.0,02039
2,40,155,155,100.0,02040
2,41,90,90,100.0,02041
2,42,124,124,100.0,02042
2,43,127,127,100.0,02043
2,44,90,90,100.0,02044
2,45,153,153,100.0,02045
2,46,76,76,100.0,02046
3,1,302,302,100.0,03001
3,2,345,345,100.0,03002
3,3,179,179,100.0,03003
3,4,262,262,100.0,03004
3,5,122,122,100.0,03005
3,6,183,183,100.0,03006
3,7,195,195,100.0,03007
3,8,166,166,100.0,03008
3,9,245,245,100.0,03009
3,10,113,113,100.0,03010
3,11,233,233,100.0,03011
3,12,296,296,100.0,03012
3,13,228,228,100.0,03013
3,14,172,172,100.0,03014
3,15,210,210,100.0,03015
3,16,197,197,100.0,03016
3,17,211,211,100.0,03017
3,18,273,273,100.0,03018
3,19,174,174,100.0,03019
3,20,237,237,100.0,03020
3,21,247,247,100.0,03021
3,22,179,179,100.0,03022
3,23,175,175,100.0,03023
3,24,207,207,100.0,03024
3,25,261,261,100.0,03025
3,26,280,280,100.0,03026
3,27,190,190,100.0,03027
3,28,165,165,100.0,03028
3,29,203,203,100.0,03029
3,30,219,219,100.0,03030
3,31,263,263,100.0,03031
3,32,198,198,100.0,03032
3,33,180,180,100.0,03033
