ward,precinct,total,Susana A. Mendoza,Susana A. Mendoza Percent,precinct_id
1,1,206,206,100.0,01001
1,2,157,157,100.0,01002
1,3,235,235,100.0,01003
1,4,230,230,100.0,01004
1,5,201,201,100.0,01005
1,6,184,184,100.0,01006
1,7,137,137,100.0,01007
1,8,179,179,100.0,01008
1,9,191,191,100.0,01009
1,10,199,199,100.0,01010
1,11,220,220,100.0,01011
1,12,237,237,100.0,01012
1,13,101,101,100.0,01013
1,14,204,204,100.0,01014
1,15,211,211,100.0,01015
1,16,222,222,100.0,01016
1,17,192,192,100.0,01017
1,18,226,226,100.0,01018
1,19,230,230,100.0,01019
1,20,165,165,100.0,01020
1,21,215,215,100.0,01021
1,22,145,145,100.0,01022
1,23,313,313,100.0,01023
1,24,170,170,100.0,01024
1,25,180,180,100.0,01025
1,26,136,136,100.0,01026
1,27,213,213,100.0,01027
1,28,75,75,100.0,01028
1,29,230,230,100.0,01029
1,30,236,236,100.0,01030
1,31,224,224,100.0,01031
1,32,196,196,100.0,01032
1,33,222,222,100.0,01033
1,34,187,187,100.0,01034
1,35,235,235,100.0,01035
1,36,182,182,100.0,01036
1,37,204,204,100.0,01037
1,38,191,191,100.0,01038
1,39,183,183,100.0,01039
1,40,215,215,100.0,01040
1,41,142,142,100.0,01041
1,42,59,59,100.0,01042
1,43,122,122,100.0,01043
1,44,197,197,100.0,01044
2,1,201,201,100.0,02001
2,2,181,181,100.0,02002
2,3,244,244,100.0,02003
2,4,160,160,100.0,02004
2,5,227,227,100.0,02005
2,6,180,180,100.0,02006
2,7,182,182,100.0,02007
2,8,206,206,100.0,02008
2,9,123,123,100.0,02009
2,10,181,181,100.0,02010
2,11,216,216,100.0,02011
2,12,205,205,100.0,02012
2,13,194,194,100.0,02013
2,14,232,232,100.0,02014
2,15,194,194,100.0,02015
2,16,185,185,100.0,02016
2,17,260,260,100.0,02017
2,18,182,182,100.0,02018
2,19,151,151,100.0,02019
2,20,162,162,100.0,02020
2,21,226,226,100.0,02021
2,22,193,193,100.0,02022
2,23,159,159,100.0,02023
2,24,194,194,100.0,02024
2,25,204,204,100.0,02025
2,26,147,147,100.0,02026
2,27,159,159,100.0,02027
2,28,199,199,100.0,02028
2,29,192,192,100.0,02029
2,30,170,170,100.0,02030
2,31,256,256,100.0,02031
2,32,140,140,100.0,02032
2,33,330,330,100.0,02033
2,34,220,220,100.0,02034
2,35,177,177,100.0,02035
2,36,175,175,100.0,02036
2,37,195,195,100.0,02037
2,38,162,162,100.0,02038
2,39,124,124,100.0,02039
2,40,203,203,100.0,02040
2,41,134,134,100.0,02041
2,42,156,156,100.0,02042
2,43,196,196,100.0,02043
2,44,127,127,100.0,02044
2,45,202,202,100.0,02045
2,46,94,94,100.0,02046
3,1,314,314,100.0,03001
3,2,375,375,100.0,03002
3,3,206,206,100.0,03003
3,4,271,271,100.0,03004
3,5,126,126,100.0,03005
3,6,247,247,100.0,03006
3,7,195,195,100.0,03007
3,8,164,164,100.0,03008
3,9,238,238,100.0,03009
3,10,117,117,100.0,03010
3,11,228,228,100.0,03011
3,12,281,281,100.0,03012
3,13,294,294,100.0,03013
3,14,210,210,100.0,03014
3,15,218,218,100.0,03015
3,16,199,199,100.0,03016
3,17,236,236,100.0,03017
3,18,288,288,100.0,03018
3,19,244,244,100.0,03019
3,20,237,237,100.0,03020
3,21,289,289,100.0,03021
3,22,248,248,100.0,03022
3,23,184,184,100.0,03023
3,24,217,217,100.0,03024
3,25,353,353,100.0,03025
3,26,321,321,100.0,03026
3,27,251,251,100.0,03027
3,28,182,182,100.0,03028
3,29,221,221,100.0,03029
3,30,220,220,100.0,03030
3,31,271,271,100.0,03031
3,32,250,250,100.0,03032
3,33,221,221,100.0,03033
3,34,288,288,100.0,03034
3,35,83,83,100.0,03035
3,36,123,123,100.0,03036
3,37,186,186,100.0,03037
3,38,254,254,100.0,03038
3,39,296,296,100.0,03039
3,40,261,261,100.0,03040
3,41,204,204,100.0,03041
4,1,336,336,100.0,04001
4,2,274,274,100.0,04002
4,3,198,198,100.0,04003
