ward,precinct,total,JOANN THOMPSON,JOANN THOMPSON Percent,HAL E. BASKIN,HAL E. BASKIN Percent,precinct_id
16,1,55,34,61.82,21,38.18,16001
16,2,65,51,78.46,14,21.54,16002
16,3,117,77,65.81,40,34.19,16003
16,4,57,38,66.67,19,33.33,16004
16,5,83,41,49.4,42,50.6,16005
16,6,32,10,31.25,22,68.75,16006
16,7,92,70,76.09,22,23.91,16007
16,8,78,37,47.44,41,52.56,16008
16,9,133,65,48.87,68,51.13,16009
16,10,131,75,57.25,56,42.75,16010
16,11,77,34,44.16,43,55.84,16011
16,12,48,20,41.67,28,58.33,16012
16,13,78,60,76.92,18,23.08,16013
16,14,86,36,41.86,50,58.14,16014
16,15,99,69,69.7,30,30.3,16015
16,16,97,46,47.42,51,52.58,16016
16,17,49,32,65.31,17,34.69,16017
16,18,90,50,55.56,40,44.44,16018
16,19,89,48,53.93,41,46.07,16019
16,20,70,39,55.71,31,44.29,16020
16,21,61,53,86.89,8,13.11,16021
16,22,70,52,74.29,18,25.71,16022
16,23,71,55,77.46,16,22.54,16023
16,24,55,32,58.18,23,41.82,16024
16,25,63,34,53.97,29,46.03,16025
16,26,90,41,45.56,49,54.44,16026
16,27,208,92,44.23,116,55.77,16027
16,28,126,61,48.41,65,51.59,16028
16,29,53,24,45.28,29,54.72,16029
16,30,70,32,45.71,38,54.29,16030
16,31,115,58,50.43,57,49.57,16031
16,32,84,58,69.05,26,30.95,16032
16,33,79,54,68.35,25,31.65,16033
16,34,81,38,46.91,43,53.09,16034
16,35,68,55,80.88,13,19.12,16035
16,36,86,55,63.95,31,36.05,16036
16,37,60,36,60.0,24,40.0,16037
16,38,72,25,34.72,47,65.28,16038
16,39,90,76,84.44,14,15.56,16039
16,40,116,60,51.72,56,48.28,16040
16,41,56,19,33.93,37,66.07,16041
16,42,71,55,77.46,16,22.54,16042
16,43,125,34,27.2,91,72.8,16043
16,44,58,31,53.45,27,46.55,16044
