ward,precinct,total,TONI L. FOULKES,TONI L. FOULKES Percent,RAYMOND A. LOPEZ,RAYMOND A. LOPEZ Percent,precinct_id
15,1,115,80,69.57,35,30.43,15001
15,2,58,48,82.76,10,17.24,15002
15,3,66,47,71.21,19,28.79,15003
15,4,67,47,70.15,20,29.85,15004
15,5,63,55,87.3,8,12.7,15005
15,6,55,45,81.82,10,18.18,15006
15,7,86,67,77.91,19,22.09,15007
15,8,93,44,47.31,49,52.69,15008
15,9,80,57,71.25,23,28.75,15009
15,10,67,30,44.78,37,55.22,15010
15,11,77,65,84.42,12,15.58,15011
15,12,41,29,70.73,12,29.27,15012
15,13,65,14,21.54,51,78.46,15013
15,14,113,53,46.9,60,53.1,15014
15,15,66,48,72.73,18,27.27,15015
15,16,66,28,42.42,38,57.58,15016
15,17,90,53,58.89,37,41.11,15017
15,18,44,33,75.0,11,25.0,15018
15,19,88,50,56.82,38,43.18,15019
15,20,46,40,86.96,6,13.04,15020
15,21,68,54,79.41,14,20.59,15021
15,22,117,96,82.05,21,17.95,15022
15,23,50,33,66.0,17,34.0,15023
15,24,60,44,73.33,16,26.67,15024
15,25,63,39,61.9,24,38.1,15025
15,26,72,59,81.94,13,18.06,15026
15,27,59,49,83.05,10,16.95,15027
15,28,113,47,41.59,66,58.41,15028
15,29,25,22,88.0,3,12.0,15029
15,30,56,43,76.79,13,23.21,15030
15,31,53,40,75.47,13,24.53,15031
15,32,65,41,63.08,24,36.92,15032
15,33,42,35,83.33,7,16.67,15033
15,34,95,88,92.63,7,7.37,15034
15,35,87,64,73.56,23,26.44,15035
15,36,66,46,69.7,20,30.3,15036
15,37,59,41,69.49,18,30.51,15037
15,38,56,33,58.93,23,41.07,15038
15,39,79,69,87.34,10,12.66,15039
15,40,68,62,91.18,6,8.82,15040
15,41,114,66,57.89,48,42.11,15041
15,42,45,35,77.78,10,22.22,15042
15,43,61,44,72.13,17,27.87,15043
15,44,101,57,56.44,44,43.56,15044
15,45,35,18,51.43,17,48.57,15045
15,46,44,35,79.55,9,20.45,15046
15,47,101,64,63.37,37,36.63,15047
15,48,45,38,84.44,7,15.56,15048
15,49,32,22,68.75,10,31.25,15049
15,50,57,35,61.4,22,38.6,15050
15,51,60,41,68.33,19,31.67,15051
15,52,56,44,78.57,12,21.43,15052
