ward,precinct,total,LATASHA R. THOMAS,LATASHA R. THOMAS Percent,precinct_id
17,1,53,26,49.06,17001
17,2,112,53,47.32,17002
17,3,74,53,71.62,17003
17,4,131,106,80.92,17004
17,5,86,50,58.14,17005
17,6,78,42,53.85,17006
17,7,117,58,49.57,17007
17,8,90,38,42.22,17008
17,9,72,37,51.39,17009
17,10,129,81,62.79,17010
17,11,97,39,40.21,17011
17,12,197,117,59.39,17012
17,13,75,34,45.33,17013
17,14,99,59,59.6,17014
17,15,110,49,44.55,17015
17,16,74,24,32.43,17016
17,17,58,32,55.17,17017
17,18,144,94,65.28,17018
17,19,47,29,61.7,17019
17,20,94,46,48.94,17020
17,21,172,92,53.49,17021
17,22,127,44,34.65,17022
17,23,68,31,45.59,17023
17,24,103,38,36.89,17024
17,25,63,20,31.75,17025
17,26,132,84,63.64,17026
17,27,151,72,47.68,17027
17,28,107,60,56.07,17028
17,29,104,71,68.27,17029
17,30,124,49,39.52,17030
17,31,75,39,52.0,17031
17,32,123,51,41.46,17032
17,33,82,41,50.0,17033
17,34,94,26,27.66,17034
17,35,70,37,52.86,17035
17,36,50,17,34.0,17036
17,37,72,38,52.78,17037
17,38,85,31,36.47,17038
17,39,102,70,68.63,17039
17,40,104,56,53.85,17040
17,41,70,28,40.0,17041
17,42,62,30,48.39,17042
17,43,69,31,44.93,17043
17,44,72,27,37.5,17044
17,45,61,24,39.34,17045
17,46,90,52,57.78,17046
17,47,60,37,61.67,17047
17,48,105,41,39.05,17048
17,49,64,23,35.94,17049
17,50,91,48,52.75,17050
17,51,110,87,79.09,17051
17,52,128,86,67.19,17052
17,53,111,58,52.25,17053
17,54,160,93,58.13,17054
17,55,86,52,60.47,17055
17,56,98,50,51.02,17056
17,57,113,64,56.64,17057
17,58,88,49,55.68,17058
17,59,55,17,30.91,17059
17,60,148,104,70.27,17060
17,61,83,51,61.45,17061
17,62,69,46,66.67,17062
17,63,50,24,48.0,17063
17,64,75,36,48.0,17064
