ward,precinct,total,MANNY HOFFMAN (BUSH),MANNY HOFFMAN (BUSH) Percent,SHARON ROBERTS (BUSH),SHARON ROBERTS (BUSH) Percent,MILDRED J. THOMPSON (FORBES),MILDRED J. THOMPSON (FORBES) Percent,JOSEPHINE B. THORNHILL (FORBES),JOSEPHINE B. THORNHILL (FORBES) Percent,PAUL HARVEY (McCAIN),PAUL HARVEY (McCAIN) Percent,JAMES WARREN (McCAIN),JAMES WARREN (McCAIN) Percent,precinct_id
6,18,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,06018
7,2,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07002
7,3,1,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,07003
7,4,8,2,25.0,3,37.5,0,0.0,0,0.0,2,25.0,1,12.5,07004
7,5,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07005
7,6,3,1,33.33,1,33.33,0,0.0,0,0.0,1,33.33,0,0.0,07006
7,7,3,1,33.33,1,33.33,0,0.0,1,33.33,0,0.0,0,0.0,07007
7,8,7,5,71.43,1,14.29,1,14.29,0,0.0,0,0.0,0,0.0,07008
7,10,8,1,12.5,2,25.0,1,12.5,0,0.0,2,25.0,2,25.0,07010
7,11,3,0,0.0,1,33.33,0,0.0,0,0.0,1,33.33,1,33.33,07011
7,12,3,0,0.0,1,33.33,1,33.33,1,33.33,0,0.0,0,0.0,07012
7,14,14,2,14.29,4,28.57,2,14.29,1,7.14,2,14.29,3,21.43,07014
7,15,1,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,07015
7,16,3,0,0.0,0,0.0,0,0.0,1,33.33,1,33.33,1,33.33,07016
7,17,7,0,0.0,1,14.29,0,0.0,0,0.0,4,57.14,2,28.57,07017
7,18,7,1,14.29,1,14.29,0,0.0,0,0.0,3,42.86,2,28.57,07018
7,19,2,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,07019
7,20,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,07020
7,21,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07021
7,23,1,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,07023
7,24,1,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,07024
7,26,7,2,28.57,2,28.57,2,28.57,0,0.0,0,0.0,1,14.29,07026
7,27,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07027
7,28,2,0,0.0,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,07028
7,29,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07029
7,31,4,1,25.0,2,50.0,0,0.0,0,0.0,1,25.0,0,0.0,07031
7,32,4,0,0.0,1,25.0,1,25.0,1,25.0,1,25.0,0,0.0,07032
7,33,4,0,0.0,1,25.0,2,50.0,0,0.0,0,0.0,1,25.0,07033
7,35,5,1,20.0,1,20.0,0,0.0,0,0.0,2,40.0,1,20.0,07035
7,39,5,0,0.0,0,0.0,1,20.0,1,20.0,1,20.0,2,40.0,07039
7,40,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,07040
7,42,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,0,0.0,07042
7,44,8,2,25.0,2,25.0,0,0.0,0,0.0,2,25.0,2,25.0,07044
7,45,7,1,14.29,2,28.57,0,0.0,1,14.29,3,42.86,0,0.0,07045
7,46,2,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0,0,0.0,07046
9,1,1,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,09001
9,3,4,2,50.0,1,25.0,0,0.0,1,25.0,0,0.0,0,0.0,09003
9,4,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,09004
9,5,1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,100.0,09005
9,6,1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,09006
9,7,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,09007
9,8,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,09008
9,9,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,09009
9,11,5,3,60.0,2,40.0,0,0.0,0,0.0,0,0.0,0,0.0,09011
9,15,4,0,0.0,1,25.0,1,25.0,1,25.0,0,0.0,1,25.0,09015
9,16,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,09016
