ward,precinct,total,JOHN D. BENOIT,JOHN D. BENOIT Percent,precinct_id
18,1,4,4,100.0,18001
18,2,2,2,100.0,18002
18,3,0,0,0.0,18003
18,4,0,0,0.0,18004
18,5,0,0,0.0,18005
18,6,3,3,100.0,18006
18,7,1,1,100.0,18007
18,8,2,2,100.0,18008
18,9,4,4,100.0,18009
18,10,8,8,100.0,18010
18,11,6,6,100.0,18011
18,12,2,2,100.0,18012
18,13,5,5,100.0,18013
18,14,4,4,100.0,18014
18,15,0,0,0.0,18015
18,16,2,2,100.0,18016
18,17,4,4,100.0,18017
18,18,1,1,100.0,18018
18,19,0,0,0.0,18019
18,20,3,3,100.0,18020
18,21,6,6,100.0,18021
18,22,0,0,0.0,18022
18,23,1,1,100.0,18023
18,24,0,0,0.0,18024
18,25,2,2,100.0,18025
18,26,1,1,100.0,18026
18,27,1,1,100.0,18027
18,28,1,1,100.0,18028
18,29,11,11,100.0,18029
18,30,0,0,0.0,18030
18,31,2,2,100.0,18031
18,32,2,2,100.0,18032
18,33,0,0,0.0,18033
18,34,3,3,100.0,18034
18,35,3,3,100.0,18035
18,36,3,3,100.0,18036
18,37,4,4,100.0,18037
18,38,0,0,0.0,18038
18,39,0,0,0.0,18039
18,40,2,2,100.0,18040
18,41,1,1,100.0,18041
18,42,1,1,100.0,18042
18,43,1,1,100.0,18043
18,44,2,2,100.0,18044
18,45,4,4,100.0,18045
18,46,1,1,100.0,18046
18,47,2,2,100.0,18047
18,48,1,1,100.0,18048
18,49,3,3,100.0,18049
18,50,1,1,100.0,18050
18,51,1,1,100.0,18051
18,52,1,1,100.0,18052
18,53,0,0,0.0,18053
18,54,3,3,100.0,18054
18,55,0,0,0.0,18055
18,56,0,0,0.0,18056
18,57,1,1,100.0,18057
18,58,0,0,0.0,18058
18,59,1,1,100.0,18059
18,60,0,0,0.0,18060
18,61,1,1,100.0,18061
18,62,0,0,0.0,18062
18,63,0,0,0.0,18063
