ward,precinct,total,JOSEPH F. NOVAK,JOSEPH F. NOVAK Percent,ANNIE L.H. MILLER,ANNIE L.H. MILLER Percent,precinct_id
1,1,6,3,50.0,3,50.0,01001
1,2,6,5,83.33,1,16.67,01002
1,3,8,6,75.0,2,25.0,01003
1,4,6,2,33.33,4,66.67,01004
1,5,7,1,14.29,6,85.71,01005
1,6,8,8,100.0,0,0.0,01006
1,7,30,27,90.0,3,10.0,01007
1,8,3,3,100.0,0,0.0,01008
1,9,11,9,81.82,2,18.18,01009
1,10,12,6,50.0,6,50.0,01010
1,11,9,4,44.44,5,55.56,01011
1,12,8,7,87.5,1,12.5,01012
1,13,2,1,50.0,1,50.0,01013
1,14,2,1,50.0,1,50.0,01014
1,15,2,1,50.0,1,50.0,01015
1,16,2,2,100.0,0,0.0,01016
1,17,6,3,50.0,3,50.0,01017
1,18,3,2,66.67,1,33.33,01018
1,19,4,1,25.0,3,75.0,01019
1,20,0,0,0.0,0,0.0,01020
1,21,6,4,66.67,2,33.33,01021
1,22,2,1,50.0,1,50.0,01022
1,23,14,9,64.29,5,35.71,01023
1,24,6,4,66.67,2,33.33,01024
1,25,6,4,66.67,2,33.33,01025
1,26,12,6,50.0,6,50.0,01026
1,27,6,3,50.0,3,50.0,01027
1,28,0,0,0.0,0,0.0,01028
1,29,11,7,63.64,4,36.36,01029
1,30,4,3,75.0,1,25.0,01030
1,31,3,1,33.33,2,66.67,01031
1,32,3,2,66.67,1,33.33,01032
1,33,7,5,71.43,2,28.57,01033
1,34,3,0,0.0,3,100.0,01034
1,35,7,5,71.43,2,28.57,01035
1,36,5,3,60.0,2,40.0,01036
