ward,precinct,total,CHRISTOPHER A. HOHN,CHRISTOPHER A. HOHN Percent,KENNETH E. GREENE-VELEZ,KENNETH E. GREENE-VELEZ Percent,precinct_id
26,1,6,2,33.33,4,66.67,26001
26,2,6,0,0.0,6,100.0,26002
26,3,2,2,100.0,0,0.0,26003
26,4,4,3,75.0,1,25.0,26004
26,5,1,1,100.0,0,0.0,26005
26,6,5,1,20.0,4,80.0,26006
26,7,14,7,50.0,7,50.0,26007
26,8,9,6,66.67,3,33.33,26008
26,9,2,1,50.0,1,50.0,26009
26,10,3,0,0.0,3,100.0,26010
26,11,7,3,42.86,4,57.14,26011
26,12,4,1,25.0,3,75.0,26012
26,13,7,6,85.71,1,14.29,26013
26,14,8,1,12.5,7,87.5,26014
26,15,3,0,0.0,3,100.0,26015
26,16,2,1,50.0,1,50.0,26016
26,17,2,1,50.0,1,50.0,26017
26,18,5,2,40.0,3,60.0,26018
26,19,7,4,57.14,3,42.86,26019
26,20,5,2,40.0,3,60.0,26020
26,21,5,1,20.0,4,80.0,26021
26,22,2,0,0.0,2,100.0,26022
26,23,8,1,12.5,7,87.5,26023
26,24,7,6,85.71,1,14.29,26024
26,25,3,1,33.33,2,66.67,26025
26,26,0,0,0.0,0,0.0,26026
26,27,0,0,0.0,0,0.0,26027
26,28,6,2,33.33,4,66.67,26028
26,29,11,3,27.27,8,72.73,26029
26,30,12,3,25.0,9,75.0,26030
26,31,7,3,42.86,4,57.14,26031
26,32,17,4,23.53,13,76.47,26032
26,33,11,6,54.55,5,45.45,26033
26,34,4,3,75.0,1,25.0,26034
26,35,7,4,57.14,3,42.86,26035
26,36,9,5,55.56,4,44.44,26036
26,37,5,2,40.0,3,60.0,26037
