ward,precinct,total,KATHLEEN THOMAS (BUSH),KATHLEEN THOMAS (BUSH) Percent,THOMAS D. GRUSECKI (BUSH),THOMAS D. GRUSECKI (BUSH) Percent,RALPH CONNOR (FORBES),RALPH CONNOR (FORBES) Percent,JOHN ANTHONY GABLE (McCAIN),JOHN ANTHONY GABLE (McCAIN) Percent,EDWARD X. CLINTON (McCAIN),EDWARD X. CLINTON (McCAIN) Percent,precinct_id
1,6,15,8,53.33,3,20.0,2,13.33,1,6.67,1,6.67,01006
1,28,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,01028
1,34,8,3,37.5,3,37.5,1,12.5,1,12.5,0,0.0,01034
1,35,1,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,01035
2,1,47,18,38.3,11,23.4,2,4.26,9,19.15,7,14.89,02001
2,3,3,1,33.33,1,33.33,0,0.0,1,33.33,0,0.0,02003
2,4,2,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0,02004
2,5,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,02005
2,7,1,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0,02007
2,8,38,15,39.47,9,23.68,3,7.89,6,15.79,5,13.16,02008
2,9,1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,02009
2,10,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,02010
2,11,35,10,28.57,12,34.29,2,5.71,6,17.14,5,14.29,02011
2,15,2,1,50.0,0,0.0,0,0.0,0,0.0,1,50.0,02015
2,17,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,02017
2,19,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,02019
2,22,38,17,44.74,12,31.58,2,5.26,5,13.16,2,5.26,02022
2,23,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,02023
2,25,9,2,22.22,1,11.11,1,11.11,2,22.22,3,33.33,02025
2,26,6,3,50.0,2,33.33,0,0.0,0,0.0,1,16.67,02026
2,27,2,0,0.0,0,0.0,1,50.0,0,0.0,1,50.0,02027
2,28,5,2,40.0,1,20.0,1,20.0,1,20.0,0,0.0,02028
2,30,5,1,20.0,0,0.0,1,20.0,1,20.0,2,40.0,02030
2,32,5,2,40.0,0,0.0,2,40.0,0,0.0,1,20.0,02032
2,34,5,3,60.0,2,40.0,0,0.0,0,0.0,0,0.0,02034
2,35,7,2,28.57,2,28.57,0,0.0,2,28.57,1,14.29,02035
2,36,3,1,33.33,0,0.0,1,33.33,0,0.0,1,33.33,02036
2,37,28,10,35.71,8,28.57,1,3.57,5,17.86,4,14.29,02037
2,38,5,2,40.0,1,20.0,0,0.0,1,20.0,1,20.0,02038
2,39,4,3,75.0,1,25.0,0,0.0,0,0.0,0,0.0,02039
2,40,6,2,33.33,1,16.67,1,16.67,1,16.67,1,16.67,02040
2,41,1,0,0.0,0,0.0,0,0.0,1,100.0,0,0.0,02041
2,42,3,0,0.0,1,33.33,0,0.0,1,33.33,1,33.33,02042
2,43,50,16,32.0,15,30.0,3,6.0,9,18.0,7,14.0,02043
2,49,13,2,15.38,3,23.08,1,7.69,4,30.77,3,23.08,02049
2,51,3,1,33.33,1,33.33,1,33.33,0,0.0,0,0.0,02051
2,52,14,4,28.57,3,21.43,0,0.0,4,28.57,3,21.43,02052
2,53,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,02053
2,54,41,15,36.59,7,17.07,4,9.76,8,19.51,7,17.07,02054
3,1,5,2,40.0,1,20.0,1,20.0,1,20.0,0,0.0,03001
3,4,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03004
3,5,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03005
3,7,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03007
3,8,1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,03008
3,10,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,03010
3,11,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,03011
3,12,5,3,60.0,1,20.0,1,20.0,0,0.0,0,0.0,03012
3,13,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03013
3,14,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03014
3,15,2,0,0.0,0,0.0,0,0.0,1,50.0,1,50.0,03015
3,16,1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,03016
3,17,2,1,50.0,0,0.0,0,0.0,0,0.0,1,50.0,03017
3,18,2,1,50.0,0,0.0,1,50.0,0,0.0,0,0.0,03018
3,19,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03019
3,20,1,1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,03020
3,21,2,1,50.0,0,0.0,0,0.0,0,0.0,1,50.0,03021
3,22,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03022
3,26,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,03026
3,29,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03029
3,30,2,1,50.0,1,50.0,0,0.0,0,0.0,0,0.0,03030
3,31,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,03031
