ward,precinct,total,ROBERT DALLAS,ROBERT DALLAS Percent,STEVE DENARI,STEVE DENARI Percent,precinct_id
1,6,8,3,37.5,5,62.5,01006
1,28,1,1,100.0,0,0.0,01028
1,34,3,0,0.0,3,100.0,01034
1,35,3,2,66.67,1,33.33,01035
2,1,24,10,41.67,14,58.33,02001
2,3,1,0,0.0,1,100.0,02003
2,4,1,1,100.0,0,0.0,02004
2,5,2,0,0.0,2,100.0,02005
2,7,2,2,100.0,0,0.0,02007
2,8,20,11,55.0,9,45.0,02008
2,9,1,0,0.0,1,100.0,02009
2,10,0,0,0.0,0,0.0,02010
2,11,12,7,58.33,5,41.67,02011
2,15,2,1,50.0,1,50.0,02015
2,17,0,0,0.0,0,0.0,02017
2,19,0,0,0.0,0,0.0,02019
2,22,18,9,50.0,9,50.0,02022
2,23,0,0,0.0,0,0.0,02023
2,25,4,1,25.0,3,75.0,02025
2,26,2,1,50.0,1,50.0,02026
2,27,1,1,100.0,0,0.0,02027
2,28,3,2,66.67,1,33.33,02028
2,30,3,2,66.67,1,33.33,02030
2,32,4,3,75.0,1,25.0,02032
2,34,2,0,0.0,2,100.0,02034
2,35,4,3,75.0,1,25.0,02035
2,36,1,0,0.0,1,100.0,02036
2,37,14,8,57.14,6,42.86,02037
2,38,3,1,33.33,2,66.67,02038
2,39,4,3,75.0,1,25.0,02039
2,40,3,3,100.0,0,0.0,02040
2,41,1,1,100.0,0,0.0,02041
2,42,1,1,100.0,0,0.0,02042
2,43,25,10,40.0,15,60.0,02043
2,49,7,3,42.86,4,57.14,02049
2,51,2,0,0.0,2,100.0,02051
2,52,6,3,50.0,3,50.0,02052
2,53,0,0,0.0,0,0.0,02053
2,54,21,11,52.38,10,47.62,02054
3,1,3,3,100.0,0,0.0,03001
3,4,0,0,0.0,0,0.0,03004
3,5,1,0,0.0,1,100.0,03005
3,7,0,0,0.0,0,0.0,03007
3,8,1,1,100.0,0,0.0,03008
3,10,1,0,0.0,1,100.0,03010
3,11,2,1,50.0,1,50.0,03011
3,12,2,1,50.0,1,50.0,03012
3,13,0,0,0.0,0,0.0,03013
3,14,0,0,0.0,0,0.0,03014
3,15,0,0,0.0,0,0.0,03015
3,16,1,1,100.0,0,0.0,03016
3,17,1,1,100.0,0,0.0,03017
3,18,1,1,100.0,0,0.0,03018
3,19,0,0,0.0,0,0.0,03019
3,20,1,0,0.0,1,100.0,03020
3,21,1,0,0.0,1,100.0,03021
3,22,0,0,0.0,0,0.0,03022
3,26,1,1,100.0,0,0.0,03026
3,29,0,0,0.0,0,0.0,03029
3,30,1,1,100.0,0,0.0,03030
3,31,0,0,0.0,0,0.0,03031
3,32,3,1,33.33,2,66.67,03032
3,35,0,0,0.0,0,0.0,03035
3,37,1,1,100.0,0,0.0,03037
3,40,3,3,100.0,0,0.0,03040
3,43,0,0,0.0,0,0.0,03043
3,46,0,0,0.0,0,0.0,03046
3,47,3,2,66.67,1,33.33,03047
3,48,1,0,0.0,1,100.0,03048
3,49,2,1,50.0,1,50.0,03049
3,50,1,1,100.0,0,0.0,03050
3,52,2,1,50.0,1,50.0,03052
4,8,0,0,0.0,0,0.0,04008
11,12,0,0,0.0,0,0.0,11012
11,13,4,3,75.0,1,25.0,11013
11,34,5,2,40.0,3,60.0,11034
11,35,1,1,100.0,0,0.0,11035
11,37,2,2,100.0,0,0.0,11037
11,38,4,2,50.0,2,50.0,11038
11,39,6,4,66.67,2,33.33,11039
11,40,3,2,66.67,1,33.33,11040
11,41,2,0,0.0,2,100.0,11041
11,42,0,0,0.0,0,0.0,11042
11,43,6,2,33.33,4,66.67,11043
11,45,4,3,75.0,1,25.0,11045
11,46,1,1,100.0,0,0.0,11046
11,47,5,3,60.0,2,40.0,11047
11,48,1,1,100.0,0,0.0,11048
11,49,7,4,57.14,3,42.86,11049
11,50,1,1,100.0,0,0.0,11050
11,52,4,1,25.0,3,75.0,11052
11,53,4,3,75.0,1,25.0,11053
11,54,0,0,0.0,0,0.0,11054
12,19,1,0,0.0,1,100.0,12019
16,16,1,1,100.0,0,0.0,16016
16,17,0,0,0.0,0,0.0,16017
16,18,0,0,0.0,0,0.0,16018
20,4,1,0,0.0,1,100.0,20004
20,8,0,0,0.0,0,0.0,20008
20,15,1,0,0.0,1,100.0,20015
20,21,1,1,100.0,0,0.0,20021
20,27,1,1,100.0,0,0.0,20027
20,31,2,0,0.0,2,100.0,20031
20,48,3,2,66.67,1,33.33,20048
22,7,2,1,50.0,1,50.0,22007
22,8,3,1,33.33,2,66.67,22008
22,12,1,0,0.0,1,100.0,22012
22,20,1,1,100.0,0,0.0,22020
22,21,1,0,0.0,1,100.0,22021
22,28,2,2,100.0,0,0.0,22028
24,1,0,0,0.0,0,0.0,24001
24,2,2,1,50.0,1,50.0,24002
24,3,1,1,100.0,0,0.0,24003
24,4,0,0,0.0,0,0.0,24004
24,5,0,0,0.0,0,0.0,24005
24,6,1,1,100.0,0,0.0,24006
24,7,0,0,0.0,0,0.0,24007
24,8,0,0,0.0,0,0.0,24008
24,9,7,3,42.86,4,57.14,24009
24,10,0,0,0.0,0,0.0,24010
24,11,4,4,100.0,0,0.0,24011
24,12,2,2,100.0,0,0.0,24012
24,13,1,1,100.0,0,0.0,24013
24,14,0,0,0.0,0,0.0,24014
24,15,0,0,0.0,0,0.0,24015
24,16,0,0,0.0,0,0.0,24016
24,17,0,0,0.0,0,0.0,24017
24,18,0,0,0.0,0,0.0,24018
24,19,1,1,100.0,0,0.0,24019
24,20,1,1,100.0,0,0.0,24020
24,21,1,0,0.0,1,100.0,24021
24,22,0,0,0.0,0,0.0,24022
24,23,0,0,0.0,0,0.0,24023
24,24,1,0,0.0,1,100.0,24024
24,25,2,1,50.0,1,50.0,24025
24,26,0,0,0.0,0,0.0,24026
24,27,0,0,0.0,0,0.0,24027
24,28,0,0,0.0,0,0.0,24028
24,29,1,1,100.0,0,0.0,24029
24,30,0,0,0.0,0,0.0,24030
24,31,1,1,100.0,0,0.0,24031
24,32,3,2,66.67,1,33.33,24032
24,33,0,0,0.0,0,0.0,24033
24,34,4,3,75.0,1,25.0,24034
24,35,0,0,0.0,0,0.0,24035
24,36,0,0,0.0,0,0.0,24036
24,37,1,0,0.0,1,100.0,24037
24,38,1,0,0.0,1,100.0,24038
24,39,0,0,0.0,0,0.0,24039
24,40,2,1,50.0,1,50.0,24040
24,41,1,1,100.0,0,0.0,24041
24,42,1,1,100.0,0,0.0,24042
24,43,1,1,100.0,0,0.0,24043
24,44,0,0,0.0,0,0.0,24044
24,45,1,1,100.0,0,0.0,24045
24,46,3,1,33.33,2,66.67,24046
24,47,2,2,100.0,0,0.0,24047
24,48,1,1,100.0,0,0.0,24048
24,49,1,1,100.0,0,0.0,24049
24,50,2,0,0.0,2,100.0,24050
24,51,8,6,75.0,2,25.0,24051
24,52,0,0,0.0,0,0.0,24052
24,53,2,0,0.0,2,100.0,24053
25,3,11,3,27.27,8,72.73,25003
25,4,7,1,14.29,6,85.71,25004
25,6,0,0,0.0,0,0.0,25006
25,10,0,0,0.0,0,0.0,25010
25,14,14,5,35.71,9,64.29,25014
25,16,11,8,72.73,3,27.27,25016
25,18,11,4,36.36,7,63.64,25018
25,21,21,7,33.33,14,66.67,25021
27,1,34,17,50.0,17,50.0,27001
27,2,2,1,50.0,1,50.0,27002
27,3,0,0,0.0,0,0.0,27003
27,4,0,0,0.0,0,0.0,27004
27,5,14,8,57.14,6,42.86,27005
27,6,1,1,100.0,0,0.0,27006
27,7,2,2,100.0,0,0.0,27007
27,8,1,0,0.0,1,100.0,27008
27,9,1,0,0.0,1,100.0,27009
27,11,3,3,100.0,0,0.0,27011
27,12,2,1,50.0,1,50.0,27012
27,13,37,22,59.46,15,40.54,27013
27,14,1,1,100.0,0,0.0,27014
27,15,2,2,100.0,0,0.0,27015
27,16,13,8,61.54,5,38.46,27016
27,17,11,3,27.27,8,72.73,27017
27,18,3,1,33.33,2,66.67,27018
27,19,1,1,100.0,0,0.0,27019
27,20,3,2,66.67,1,33.33,27020
27,21,0,0,0.0,0,0.0,27021
27,22,1,0,0.0,1,100.0,27022
27,23,1,1,100.0,0,0.0,27023
27,24,2,2,100.0,0,0.0,27024
27,25,1,1,100.0,0,0.0,27025
27,26,0,0,0.0,0,0.0,27026
27,27,1,1,100.0,0,0.0,27027
27,28,12,6,50.0,6,50.0,27028
27,29,0,0,0.0,0,0.0,27029
27,30,13,5,38.46,8,61.54,27030
27,31,0,0,0.0,0,0.0,27031
27,33,5,3,60.0,2,40.0,27033
27,34,0,0,0.0,0,0.0,27034
27,35,0,0,0.0,0,0.0,27035
27,36,1,1,100.0,0,0.0,27036
27,37,11,3,27.27,8,72.73,27037
27,38,28,14,50.0,14,50.0,27038
27,39,1,1,100.0,0,0.0,27039
27,40,0,0,0.0,0,0.0,27040
27,41,80,26,32.5,54,67.5,27041
27,42,10,7,70.0,3,30.0,27042
27,43,0,0,0.0,0,0.0,27043
27,44,0,0,0.0,0,0.0,27044
27,45,0,0,0.0,0,0.0,27045
27,46,0,0,0.0,0,0.0,27046
27,47,1,1,100.0,0,0.0,27047
27,48,3,1,33.33,2,66.67,27048
27,49,1,1,100.0,0,0.0,27049
27,50,10,4,40.0,6,60.0,27050
27,51,1,1,100.0,0,0.0,27051
27,52,0,0,0.0,0,0.0,27052
27,53,41,20,48.78,21,51.22,27053
27,54,2,1,50.0,1,50.0,27054
27,55,0,0,0.0,0,0.0,27055
28,1,2,2,100.0,0,0.0,28001
28,2,1,1,100.0,0,0.0,28002
28,3,1,1,100.0,0,0.0,28003
28,4,1,1,100.0,0,0.0,28004
28,5,1,0,0.0,1,100.0,28005
28,6,1,1,100.0,0,0.0,28006
28,7,0,0,0.0,0,0.0,28007
28,8,0,0,0.0,0,0.0,28008
28,9,0,0,0.0,0,0.0,28009
28,10,2,2,100.0,0,0.0,28010
28,11,0,0,0.0,0,0.0,28011
