ward,precinct,total,Donne E. Trotter,Donne E. Trotter Percent,precinct_id
6,1,202,202,100.0,06001
6,2,164,164,100.0,06002
6,3,147,147,100.0,06003
6,8,179,179,100.0,06008
6,9,134,134,100.0,06009
6,10,224,224,100.0,06010
6,13,97,97,100.0,06013
6,14,113,113,100.0,06014
6,16,169,169,100.0,06016
6,17,157,157,100.0,06017
6,19,79,79,100.0,06019
6,21,170,170,100.0,06021
6,22,146,146,100.0,06022
6,23,110,110,100.0,06023
6,24,144,144,100.0,06024
6,25,85,85,100.0,06025
6,26,141,141,100.0,06026
6,27,182,182,100.0,06027
6,28,258,258,100.0,06028
6,29,186,186,100.0,06029
6,31,156,156,100.0,06031
6,34,102,102,100.0,06034
6,35,130,130,100.0,06035
6,37,181,181,100.0,06037
6,38,136,136,100.0,06038
6,39,72,72,100.0,06039
6,40,194,194,100.0,06040
6,41,160,160,100.0,06041
6,43,137,137,100.0,06043
6,44,163,163,100.0,06044
6,45,200,200,100.0,06045
6,46,128,128,100.0,06046
6,47,150,150,100.0,06047
6,50,182,182,100.0,06050
6,51,141,141,100.0,06051
6,52,90,90,100.0,06052
6,53,123,123,100.0,06053
6,54,118,118,100.0,06054
6,57,129,129,100.0,06057
6,58,167,167,100.0,06058
6,59,132,132,100.0,06059
7,2,138,138,100.0,07002
7,4,79,79,100.0,07004
7,21,97,97,100.0,07021
7,22,69,69,100.0,07022
7,24,213,213,100.0,07024
7,25,222,222,100.0,07025
7,26,137,137,100.0,07026
7,36,120,120,100.0,07036
7,37,169,169,100.0,07037
7,38,186,186,100.0,07038
7,39,284,284,100.0,07039
7,43,118,118,100.0,07043
7,48,98,98,100.0,07048
8,1,158,158,100.0,08001
8,2,69,69,100.0,08002
8,3,213,213,100.0,08003
8,4,312,312,100.0,08004
8,5,335,335,100.0,08005
8,6,152,152,100.0,08006
8,7,115,115,100.0,08007
8,8,180,180,100.0,08008
8,9,202,202,100.0,08009
8,10,205,205,100.0,08010
8,11,130,130,100.0,08011
8,12,104,104,100.0,08012
8,14,89,89,100.0,08014
8,15,110,110,100.0,08015
8,16,169,169,100.0,08016
8,18,65,65,100.0,08018
8,19,183,183,100.0,08019
8,24,150,150,100.0,08024
8,25,130,130,100.0,08025
8,27,163,163,100.0,08027
8,29,131,131,100.0,08029
8,30,100,100,100.0,08030
8,31,87,87,100.0,08031
8,32,193,193,100.0,08032
8,33,181,181,100.0,08033
8,34,160,160,100.0,08034
8,35,185,185,100.0,08035
8,36,152,152,100.0,08036
8,37,143,143,100.0,08037
8,38,114,114,100.0,08038
8,39,149,149,100.0,08039
8,40,103,103,100.0,08040
8,41,112,112,100.0,08041
8,42,156,156,100.0,08042
8,43,5,5,100.0,08043
8,44,115,115,100.0,08044
8,45,85,85,100.0,08045
8,46,147,147,100.0,08046
8,47,162,162,100.0,08047
8,48,115,115,100.0,08048
8,49,179,179,100.0,08049
8,50,131,131,100.0,08050
8,51,177,177,100.0,08051
8,52,147,147,100.0,08052
8,53,148,148,100.0,08053
8,54,137,137,100.0,08054
8,55,79,79,100.0,08055
8,56,128,128,100.0,08056
8,58,163,163,100.0,08058
8,61,114,114,100.0,08061
8,62,194,194,100.0,08062
8,63,168,168,100.0,08063
8,64,115,115,100.0,08064
9,8,108,108,100.0,09008
9,9,171,171,100.0,09009
9,13,148,148,100.0,09013
9,23,88,88,100.0,09023
9,25,71,71,100.0,09025
9,28,34,34,100.0,09028
9,36,144,144,100.0,09036
9,37,87,87,100.0,09037
9,38,97,97,100.0,09038
9,42,55,55,100.0,09042
9,46,60,60,100.0,09046
9,47,161,161,100.0,09047
10,2,42,42,100.0,10002
10,3,74,74,100.0,10003
10,5,71,71,100.0,10005
10,6,123,123,100.0,10006
10,8,57,57,100.0,10008
10,9,52,52,100.0,10009
10,13,0,0,0.0,10013
10,15,27,27,100.0,10015
10,16,60,60,100.0,10016
10,17,61,61,100.0,10017
10,21,59,59,100.0,10021
10,24,59,59,100.0,10024
10,28,91,91,100.0,10028
10,29,91,91,100.0,10029
10,36,80,80,100.0,10036
10,40,61,61,100.0,10040
10,42,56,56,100.0,10042
10,46,8,8,100.0,10046
17,21,131,131,100.0,17021
17,54,33,33,100.0,17054
21,2,41,41,100.0,21002
21,37,8,8,100.0,21037
21,65,184,184,100.0,21065
