ward,precinct,total,Rudy Lozano,Rudy Lozano Percent,Silvana Tabares,Silvana Tabares Percent,precinct_id
12,1,90,59,65.56,31,34.44,12001
12,2,90,47,52.22,43,47.78,12002
12,3,46,35,76.09,11,23.91,12003
12,4,27,15,55.56,12,44.44,12004
12,5,41,15,36.59,26,63.41,12005
12,6,85,54,63.53,31,36.47,12006
12,7,128,71,55.47,57,44.53,12007
12,10,92,51,55.43,41,44.57,12010
12,11,157,87,55.41,70,44.59,12011
12,12,97,44,45.36,53,54.64,12012
12,13,129,56,43.41,73,56.59,12013
12,15,84,67,79.76,17,20.24,12015
12,18,126,68,53.97,58,46.03,12018
12,19,27,13,48.15,14,51.85,12019
12,21,78,35,44.87,43,55.13,12021
12,22,81,53,65.43,28,34.57,12022
12,24,28,12,42.86,16,57.14,12024
14,7,131,55,41.98,76,58.02,14007
14,8,86,49,56.98,37,43.02,14008
14,12,118,69,58.47,49,41.53,14012
14,22,178,99,55.62,79,44.38,14022
22,1,57,41,71.93,16,28.07,22001
22,5,2,2,100.0,0,0.0,22005
22,8,68,44,64.71,24,35.29,22008
22,10,116,75,64.66,41,35.34,22010
22,12,101,67,66.34,34,33.66,22012
22,13,64,44,68.75,20,31.25,22013
22,14,67,49,73.13,18,26.87,22014
22,15,41,25,60.98,16,39.02,22015
22,16,118,86,72.88,32,27.12,22016
22,18,90,81,90.0,9,10.0,22018
22,22,59,41,69.49,18,30.51,22022
22,23,38,37,97.37,1,2.63,22023
22,24,84,68,80.95,16,19.05,22024
22,28,67,46,68.66,21,31.34,22028
23,1,186,32,17.2,154,82.8,23001
23,12,176,53,30.11,123,69.89,23012
23,13,183,51,27.87,132,72.13,23013
23,16,181,50,27.62,131,72.38,23016
23,27,214,62,28.97,152,71.03,23027
23,47,195,50,25.64,145,74.36,23047
24,33,91,63,69.23,28,30.77,24033
28,29,108,75,69.44,33,30.56,28029
28,34,37,24,64.86,13,35.14,28034
