ward,precinct,total,William ''Willie'' Delgado,William ''Willie'' Delgado Percent,precinct_id
1,1,86,86,100.0,01001
1,2,40,40,100.0,01002
1,3,39,39,100.0,01003
1,4,48,48,100.0,01004
1,5,40,40,100.0,01005
1,10,14,14,100.0,01010
1,11,40,40,100.0,01011
1,12,16,16,100.0,01012
1,14,68,68,100.0,01014
1,15,61,61,100.0,01015
1,17,22,22,100.0,01017
1,18,56,56,100.0,01018
1,22,51,51,100.0,01022
1,23,56,56,100.0,01023
1,27,30,30,100.0,01027
1,29,55,55,100.0,01029
1,32,68,68,100.0,01032
1,33,54,54,100.0,01033
1,34,31,31,100.0,01034
1,36,41,41,100.0,01036
1,38,37,37,100.0,01038
1,40,33,33,100.0,01040
1,43,59,59,100.0,01043
1,44,28,28,100.0,01044
1,45,59,59,100.0,01045
1,46,67,67,100.0,01046
1,47,52,52,100.0,01047
1,48,56,56,100.0,01048
26,1,37,37,100.0,26001
26,2,59,59,100.0,26002
26,3,39,39,100.0,26003
26,4,26,26,100.0,26004
26,5,51,51,100.0,26005
26,6,43,43,100.0,26006
26,7,36,36,100.0,26007
26,8,41,41,100.0,26008
26,9,43,43,100.0,26009
26,10,55,55,100.0,26010
26,11,31,31,100.0,26011
26,12,57,57,100.0,26012
26,13,116,116,100.0,26013
26,14,38,38,100.0,26014
26,15,27,27,100.0,26015
26,16,33,33,100.0,26016
26,18,29,29,100.0,26018
26,20,43,43,100.0,26020
26,21,20,20,100.0,26021
26,22,32,32,100.0,26022
26,23,34,34,100.0,26023
26,24,40,40,100.0,26024
26,25,32,32,100.0,26025
26,26,30,30,100.0,26026
26,27,55,55,100.0,26027
26,28,20,20,100.0,26028
26,29,33,33,100.0,26029
26,30,23,23,100.0,26030
26,31,48,48,100.0,26031
26,32,35,35,100.0,26032
26,33,31,31,100.0,26033
26,35,47,47,100.0,26035
26,36,37,37,100.0,26036
26,37,25,25,100.0,26037
26,38,19,19,100.0,26038
26,39,12,12,100.0,26039
26,40,20,20,100.0,26040
26,41,40,40,100.0,26041
26,42,22,22,100.0,26042
26,43,33,33,100.0,26043
26,44,35,35,100.0,26044
26,45,55,55,100.0,26045
26,47,23,23,100.0,26047
26,48,42,42,100.0,26048
26,49,41,41,100.0,26049
26,50,29,29,100.0,26050
26,52,44,44,100.0,26052
26,53,34,34,100.0,26053
27,4,35,35,100.0,27004
27,13,97,97,100.0,27013
27,30,0,0,0.0,27030
27,32,74,74,100.0,27032
27,38,53,53,100.0,27038
27,39,70,70,100.0,27039
27,41,46,46,100.0,27041
29,2,44,44,100.0,29002
29,6,71,71,100.0,29006
29,7,35,35,100.0,29007
29,9,38,38,100.0,29009
29,10,47,47,100.0,29010
29,24,5,5,100.0,29024
29,30,43,43,100.0,29030
29,32,30,30,100.0,29032
29,36,32,32,100.0,29036
29,39,53,53,100.0,29039
30,2,64,64,100.0,30002
30,4,37,37,100.0,30004
30,5,46,46,100.0,30005
30,6,82,82,100.0,30006
30,9,29,29,100.0,30009
30,10,39,39,100.0,30010
30,11,52,52,100.0,30011
30,12,55,55,100.0,30012
30,14,81,81,100.0,30014
30,16,17,17,100.0,30016
30,17,29,29,100.0,30017
30,19,33,33,100.0,30019
30,20,21,21,100.0,30020
30,21,44,44,100.0,30021
30,22,58,58,100.0,30022
30,23,34,34,100.0,30023
30,24,54,54,100.0,30024
30,26,35,35,100.0,30026
30,27,67,67,100.0,30027
30,29,18,18,100.0,30029
30,31,24,24,100.0,30031
31,1,23,23,100.0,31001
31,3,45,45,100.0,31003
31,12,32,32,100.0,31012
31,15,19,19,100.0,31015
31,17,37,37,100.0,31017
31,20,34,34,100.0,31020
31,21,52,52,100.0,31021
31,25,26,26,100.0,31025
31,27,41,41,100.0,31027
31,29,36,36,100.0,31029
31,34,24,24,100.0,31034
31,36,50,50,100.0,31036
31,37,24,24,100.0,31037
31,39,26,26,100.0,31039
31,42,52,52,100.0,31042
31,43,36,36,100.0,31043
31,44,25,25,100.0,31044
31,45,28,28,100.0,31045
32,1,69,69,100.0,32001
32,2,12,12,100.0,32002
32,3,43,43,100.0,32003
32,11,52,52,100.0,32011
32,12,38,38,100.0,32012
32,17,75,75,100.0,32017
35,2,53,53,100.0,35002
35,3,49,49,100.0,35003
35,20,50,50,100.0,35020
35,23,45,45,100.0,35023
35,32,45,45,100.0,35032
35,35,71,71,100.0,35035
36,1,65,65,100.0,36001
36,2,67,67,100.0,36002
36,3,178,178,100.0,36003
36,4,32,32,100.0,36004
36,6,60,60,100.0,36006
36,7,69,69,100.0,36007
36,10,67,67,100.0,36010
36,13,124,124,100.0,36013
36,14,82,82,100.0,36014
36,15,66,66,100.0,36015
36,17,45,45,100.0,36017
36,19,80,80,100.0,36019
36,20,96,96,100.0,36020
36,22,30,30,100.0,36022
36,25,116,116,100.0,36025
36,26,59,59,100.0,36026
36,28,52,52,100.0,36028
36,36,62,62,100.0,36036
36,41,55,55,100.0,36041
36,43,67,67,100.0,36043
36,46,76,76,100.0,36046
36,50,69,69,100.0,36050
36,51,82,82,100.0,36051
37,1,31,31,100.0,37001
37,2,10,10,100.0,37002
37,11,26,26,100.0,37011
37,19,38,38,100.0,37019
37,39,48,48,100.0,37039
37,42,32,32,100.0,37042
38,8,25,25,100.0,38008
38,28,77,77,100.0,38028
38,43,48,48,100.0,38043
38,44,57,57,100.0,38044
