ward,precinct,total,Karen A. Yarbrough,Karen A. Yarbrough Percent,precinct_id
1,1,79,79,100.0,01001
1,2,42,42,100.0,01002
1,3,31,31,100.0,01003
1,4,48,48,100.0,01004
1,5,37,37,100.0,01005
1,6,49,49,100.0,01006
1,7,27,27,100.0,01007
1,8,60,60,100.0,01008
1,9,76,76,100.0,01009
1,10,44,44,100.0,01010
1,11,34,34,100.0,01011
1,12,56,56,100.0,01012
1,13,112,112,100.0,01013
1,14,63,63,100.0,01014
1,15,51,51,100.0,01015
1,16,51,51,100.0,01016
1,17,20,20,100.0,01017
1,18,52,52,100.0,01018
1,19,40,40,100.0,01019
1,20,97,97,100.0,01020
1,21,55,55,100.0,01021
1,22,43,43,100.0,01022
1,23,59,59,100.0,01023
1,24,135,135,100.0,01024
1,25,39,39,100.0,01025
1,26,25,25,100.0,01026
1,27,25,25,100.0,01027
1,28,20,20,100.0,01028
1,29,53,53,100.0,01029
1,30,112,112,100.0,01030
1,31,38,38,100.0,01031
1,32,59,59,100.0,01032
1,33,56,56,100.0,01033
1,34,26,26,100.0,01034
1,35,31,31,100.0,01035
1,36,42,42,100.0,01036
1,37,64,64,100.0,01037
1,38,32,32,100.0,01038
1,39,59,59,100.0,01039
1,40,32,32,100.0,01040
1,41,46,46,100.0,01041
1,42,35,35,100.0,01042
1,43,52,52,100.0,01043
1,44,27,27,100.0,01044
1,45,56,56,100.0,01045
1,46,65,65,100.0,01046
1,47,48,48,100.0,01047
1,48,51,51,100.0,01048
2,1,116,116,100.0,02001
2,2,15,15,100.0,02002
2,3,87,87,100.0,02003
2,4,72,72,100.0,02004
2,5,90,90,100.0,02005
2,6,64,64,100.0,02006
2,7,156,156,100.0,02007
2,8,118,118,100.0,02008
2,9,82,82,100.0,02009
2,10,93,93,100.0,02010
2,11,130,130,100.0,02011
2,12,66,66,100.0,02012
2,13,135,135,100.0,02013
2,14,158,158,100.0,02014
2,15,51,51,100.0,02015
2,16,65,65,100.0,02016
2,17,83,83,100.0,02017
2,18,90,90,100.0,02018
2,19,110,110,100.0,02019
2,20,200,200,100.0,02020
2,21,152,152,100.0,02021
2,22,154,154,100.0,02022
2,23,72,72,100.0,02023
2,24,59,59,100.0,02024
2,25,98,98,100.0,02025
2,26,99,99,100.0,02026
2,27,88,88,100.0,02027
2,28,44,44,100.0,02028
2,29,61,61,100.0,02029
2,30,83,83,100.0,02030
2,31,109,109,100.0,02031
2,32,27,27,100.0,02032
2,33,42,42,100.0,02033
2,34,107,107,100.0,02034
2,35,75,75,100.0,02035
2,36,140,140,100.0,02036
2,37,78,78,100.0,02037
2,38,142,142,100.0,02038
2,39,75,75,100.0,02039
2,40,164,164,100.0,02040
2,41,41,41,100.0,02041
2,42,86,86,100.0,02042
2,43,123,123,100.0,02043
2,44,83,83,100.0,02044
2,45,96,96,100.0,02045
2,46,167,167,100.0,02046
2,47,154,154,100.0,02047
2,48,107,107,100.0,02048
2,49,66,66,100.0,02049
2,50,47,47,100.0,02050
2,51,58,58,100.0,02051
2,52,138,138,100.0,02052
2,53,54,54,100.0,02053
2,54,33,33,100.0,02054
3,1,101,101,100.0,03001
3,2,173,173,100.0,03002
3,3,90,90,100.0,03003
3,4,75,75,100.0,03004
3,5,114,114,100.0,03005
3,6,9,9,100.0,03006
3,7,147,147,100.0,03007
3,8,79,79,100.0,03008
3,9,100,100,100.0,03009
3,10,28,28,100.0,03010
3,11,101,101,100.0,03011
3,12,70,70,100.0,03012
3,13,31,31,100.0,03013
3,14,95,95,100.0,03014
3,15,108,108,100.0,03015
3,16,89,89,100.0,03016
3,17,43,43,100.0,03017
3,18,55,55,100.0,03018
3,19,15,15,100.0,03019
3,20,73,73,100.0,03020
3,21,32,32,100.0,03021
3,22,58,58,100.0,03022
3,23,86,86,100.0,03023
3,24,114,114,100.0,03024
3,25,62,62,100.0,03025
3,26,20,20,100.0,03026
3,27,90,90,100.0,03027
3,28,104,104,100.0,03028
3,29,100,100,100.0,03029
3,30,87,87,100.0,03030
3,31,177,177,100.0,03031
3,32,73,73,100.0,03032
3,33,119,119,100.0,03033
3,34,90,90,100.0,03034
3,35,94,94,100.0,03035
3,36,22,22,100.0,03036
3,37,44,44,100.0,03037
3,38,202,202,100.0,03038
3,39,203,203,100.0,03039
3,40,113,113,100.0,03040
3,41,99,99,100.0,03041
3,42,89,89,100.0,03042
3,43,34,34,100.0,03043
3,44,16,16,100.0,03044
3,45,145,145,100.0,03045
3,46,40,40,100.0,03046
3,47,54,54,100.0,03047
3,48,43,43,100.0,03048
3,49,46,46,100.0,03049
3,50,36,36,100.0,03050
4,1,161,161,100.0,04001
4,2,200,200,100.0,04002
4,3,161,161,100.0,04003
4,4,131,131,100.0,04004
4,5,177,177,100.0,04005
