ward,precinct,total,Maureen Elizabeth Connors,Maureen Elizabeth Connors Percent,precinct_id
1,1,78,78,100.0,01001
1,2,43,43,100.0,01002
1,3,31,31,100.0,01003
1,4,48,48,100.0,01004
1,5,37,37,100.0,01005
1,6,47,47,100.0,01006
1,7,26,26,100.0,01007
1,8,58,58,100.0,01008
1,9,74,74,100.0,01009
1,10,43,43,100.0,01010
1,11,34,34,100.0,01011
1,12,55,55,100.0,01012
1,13,121,121,100.0,01013
1,14,62,62,100.0,01014
1,15,47,47,100.0,01015
1,16,50,50,100.0,01016
1,17,21,21,100.0,01017
1,18,51,51,100.0,01018
1,19,45,45,100.0,01019
1,20,103,103,100.0,01020
1,21,54,54,100.0,01021
1,22,46,46,100.0,01022
1,23,57,57,100.0,01023
1,24,131,131,100.0,01024
1,25,41,41,100.0,01025
1,26,22,22,100.0,01026
1,27,29,29,100.0,01027
1,28,19,19,100.0,01028
1,29,50,50,100.0,01029
1,30,118,118,100.0,01030
1,31,39,39,100.0,01031
1,32,56,56,100.0,01032
1,33,52,52,100.0,01033
1,34,28,28,100.0,01034
1,35,34,34,100.0,01035
1,36,41,41,100.0,01036
1,37,61,61,100.0,01037
1,38,36,36,100.0,01038
1,39,56,56,100.0,01039
1,40,33,33,100.0,01040
1,41,42,42,100.0,01041
1,42,34,34,100.0,01042
1,43,57,57,100.0,01043
1,44,26,26,100.0,01044
1,45,59,59,100.0,01045
1,46,59,59,100.0,01046
1,47,47,47,100.0,01047
1,48,59,59,100.0,01048
2,1,112,112,100.0,02001
2,2,14,14,100.0,02002
2,3,84,84,100.0,02003
2,4,61,61,100.0,02004
2,5,77,77,100.0,02005
2,6,61,61,100.0,02006
2,7,154,154,100.0,02007
2,8,116,116,100.0,02008
2,9,73,73,100.0,02009
2,10,82,82,100.0,02010
2,11,133,133,100.0,02011
2,12,65,65,100.0,02012
2,13,128,128,100.0,02013
2,14,154,154,100.0,02014
2,15,52,52,100.0,02015
2,16,67,67,100.0,02016
2,17,71,71,100.0,02017
2,18,84,84,100.0,02018
2,19,106,106,100.0,02019
2,20,185,185,100.0,02020
2,21,140,140,100.0,02021
2,22,139,139,100.0,02022
2,23,62,62,100.0,02023
2,24,52,52,100.0,02024
2,25,81,81,100.0,02025
2,26,90,90,100.0,02026
2,27,83,83,100.0,02027
2,28,43,43,100.0,02028
2,29,53,53,100.0,02029
2,30,67,67,100.0,02030
2,31,101,101,100.0,02031
2,32,29,29,100.0,02032
