ward,precinct,total,Hillary Clinton,Hillary Clinton Percent,Willie L. Wilson,Willie L. Wilson Percent,Martin J. O'Malley,Martin J. O'Malley Percent,Roque ''Rocky'' De La Fuente,Roque ''Rocky'' De La Fuente Percent,Larry (Lawrence) Cohen,Larry (Lawrence) Cohen Percent,Bernie Sanders,Bernie Sanders Percent,precinct_id
1,1,453,145,32.01,1,0.22,0,0.0,1,0.22,0,0.0,306,67.55,01001
1,2,418,138,33.01,1,0.24,0,0.0,1,0.24,0,0.0,278,66.51,01002
1,3,424,164,38.68,0,0.0,0,0.0,0,0.0,0,0.0,260,61.32,01003
1,4,385,170,44.16,0,0.0,0,0.0,0,0.0,0,0.0,215,55.84,01004
1,5,375,171,45.6,1,0.27,1,0.27,0,0.0,1,0.27,201,53.6,01005
1,6,400,165,41.25,0,0.0,1,0.25,1,0.25,0,0.0,233,58.25,01006
1,7,283,94,33.22,1,0.35,0,0.0,0,0.0,0,0.0,188,66.43,01007
1,8,357,188,52.66,0,0.0,1,0.28,0,0.0,0,0.0,168,47.06,01008
1,9,349,165,47.28,0,0.0,2,0.57,0,0.0,0,0.0,182,52.15,01009
1,10,404,171,42.33,1,0.25,1,0.25,0,0.0,0,0.0,231,57.18,01010
1,11,409,175,42.79,1,0.24,0,0.0,0,0.0,1,0.24,232,56.72,01011
1,12,439,134,30.52,1,0.23,2,0.46,0,0.0,0,0.0,302,68.79,01012
1,13,192,76,39.58,1,0.52,0,0.0,0,0.0,0,0.0,115,59.9,01013
1,14,426,184,43.19,1,0.23,0,0.0,0,0.0,0,0.0,241,56.57,01014
1,15,383,134,34.99,0,0.0,0,0.0,0,0.0,0,0.0,249,65.01,01015
1,16,357,141,39.5,1,0.28,1,0.28,0,0.0,0,0.0,214,59.94,01016
1,17,403,114,28.29,2,0.5,0,0.0,0,0.0,1,0.25,286,70.97,01017
1,18,435,150,34.48,0,0.0,1,0.23,0,0.0,0,0.0,284,65.29,01018
1,19,534,182,34.08,0,0.0,0,0.0,1,0.19,0,0.0,351,65.73,01019
1,20,354,111,31.36,0,0.0,1,0.28,1,0.28,0,0.0,241,68.08,01020
1,21,395,163,41.27,0,0.0,0,0.0,0,0.0,0,0.0,232,58.73,01021
1,22,303,122,40.26,0,0.0,0,0.0,0,0.0,1,0.33,180,59.41,01022
1,23,609,185,30.38,1,0.16,0,0.0,1,0.16,1,0.16,421,69.13,01023
1,24,414,149,35.99,1,0.24,0,0.0,1,0.24,3,0.72,260,62.8,01024
1,25,418,121,28.95,0,0.0,0,0.0,0,0.0,0,0.0,297,71.05,01025
1,26,333,129,38.74,0,0.0,1,0.3,1,0.3,1,0.3,201,60.36,01026
1,27,389,169,43.44,1,0.26,0,0.0,0,0.0,0,0.0,219,56.3,01027
1,28,161,118,73.29,0,0.0,1,0.62,2,1.24,1,0.62,39,24.22,01028
1,29,365,140,38.36,1,0.27,0,0.0,1,0.27,0,0.0,223,61.1,01029
1,30,454,156,34.36,1,0.22,0,0.0,2,0.44,0,0.0,295,64.98,01030
1,31,415,173,41.69,1,0.24,0,0.0,0,0.0,0,0.0,241,58.07,01031
1,32,389,144,37.02,1,0.26,0,0.0,0,0.0,0,0.0,244,62.72,01032
1,33,414,189,45.65,0,0.0,4,0.97,1,0.24,0,0.0,220,53.14,01033
1,34,372,110,29.57,0,0.0,0,0.0,0,0.0,0,0.0,262,70.43,01034
1,35,448,178,39.73,0,0.0,0,0.0,1,0.22,0,0.0,269,60.04,01035
1,36,348,146,41.95,0,0.0,1,0.29,0,0.0,0,0.0,201,57.76,01036
1,37,376,151,40.16,0,0.0,0,0.0,0,0.0,0,0.0,225,59.84,01037
1,38,421,195,46.32,1,0.24,1,0.24,0,0.0,1,0.24,223,52.97,01038
1,39,335,149,44.48,1,0.3,1,0.3,0,0.0,0,0.0,184,54.93,01039
1,40,378,196,51.85,1,0.26,0,0.0,1,0.26,1,0.26,179,47.35,01040
1,41,269,88,32.71,0,0.0,1,0.37,0,0.0,0,0.0,180,66.91,01041
1,42,124,37,29.84,0,0.0,0,0.0,0,0.0,0,0.0,87,70.16,01042
1,43,287,98,34.15,4,1.39,0,0.0,0,0.0,1,0.35,184,64.11,01043
1,44,354,97,27.4,1,0.28,1,0.28,0,0.0,0,0.0,255,72.03,01044
2,1,385,148,38.44,0,0.0,1,0.26,0,0.0,0,0.0,236,61.3,02001
2,2,234,169,72.22,0,0.0,1,0.43,0,0.0,0,0.0,64,27.35,02002
2,3,417,186,44.6,0,0.0,1,0.24,1,0.24,1,0.24,228,54.68,02003
2,4,357,128,35.85,0,0.0,0,0.0,0,0.0,0,0.0,229,64.15,02004
2,5,412,162,39.32,2,0.49,1,0.24,0,0.0,0,0.0,247,59.95,02005
2,6,397,140,35.26,1,0.25,0,0.0,0,0.0,0,0.0,256,64.48,02006
2,7,353,166,47.03,1,0.28,2,0.57,0,0.0,1,0.28,183,51.84,02007
2,8,412,146,35.44,0,0.0,0,0.0,0,0.0,0,0.0,266,64.56,02008
2,9,239,148,61.92,0,0.0,0,0.0,1,0.42,0,0.0,90,37.66,02009
2,10,242,176,72.73,1,0.41,0,0.0,0,0.0,0,0.0,65,26.86,02010
2,11,289,192,66.44,0,0.0,1,0.35,0,0.0,0,0.0,96,33.22,02011
2,12,347,210,60.52,1,0.29,1,0.29,1,0.29,2,0.58,132,38.04,02012
2,13,306,201,65.69,0,0.0,0,0.0,1,0.33,0,0.0,104,33.99,02013
2,14,412,143,34.71,0,0.0,2,0.49,0,0.0,0,0.0,267,64.81,02014
2,15,361,139,38.5,3,0.83,1,0.28,1,0.28,0,0.0,217,60.11,02015
2,16,325,129,39.69,0,0.0,2,0.62,0,0.0,0,0.0,194,59.69,02016
2,17,441,149,33.79,1,0.23,1,0.23,0,0.0,0,0.0,290,65.76,02017
2,18,279,183,65.59,0,0.0,2,0.72,1,0.36,0,0.0,93,33.33,02018
2,19,202,148,73.27,0,0.0,0,0.0,0,0.0,0,0.0,54,26.73,02019
2,20,298,171,57.38,0,0.0,0,0.0,0,0.0,0,0.0,127,42.62,02020
2,21,378,151,39.95,0,0.0,2,0.53,0,0.0,0,0.0,225,59.52,02021
2,22,293,160,54.61,0,0.0,2,0.68,0,0.0,0,0.0,131,44.71,02022
2,23,212,159,75.0,0,0.0,0,0.0,0,0.0,1,0.47,52,24.53,02023
2,24,303,196,64.69,0,0.0,1,0.33,0,0.0,1,0.33,105,34.65,02024
2,25,370,163,44.05,0,0.0,1,0.27,1,0.27,0,0.0,205,55.41,02025
2,26,297,178,59.93,0,0.0,0,0.0,0,0.0,0,0.0,119,40.07,02026
2,27,273,164,60.07,2,0.73,0,0.0,0,0.0,1,0.37,106,38.83,02027
2,28,311,180,57.88,0,0.0,1,0.32,0,0.0,0,0.0,130,41.8,02028
2,29,299,165,55.18,0,0.0,1,0.33,0,0.0,0,0.0,133,44.48,02029
2,30,253,171,67.59,0,0.0,0,0.0,0,0.0,0,0.0,82,32.41,02030
2,31,363,256,70.52,3,0.83,0,0.0,1,0.28,0,0.0,103,28.37,02031
2,32,228,127,55.7,0,0.0,3,1.32,0,0.0,0,0.0,98,42.98,02032
2,33,453,288,63.58,0,0.0,0,0.0,0,0.0,2,0.44,163,35.98,02033
2,34,233,168,72.1,0,0.0,2,0.86,0,0.0,1,0.43,62,26.61,02034
2,35,311,186,59.81,0,0.0,0,0.0,0,0.0,0,0.0,125,40.19,02035
2,36,251,150,59.76,0,0.0,0,0.0,0,0.0,1,0.4,100,39.84,02036
2,37,275,185,67.27,0,0.0,0,0.0,0,0.0,0,0.0,90,32.73,02037
2,38,269,166,61.71,1,0.37,3,1.12,0,0.0,0,0.0,99,36.8,02038
2,39,188,120,63.83,0,0.0,0,0.0,1,0.53,0,0.0,67,35.64,02039
2,40,274,174,63.5,0,0.0,0,0.0,0,0.0,0,0.0,100,36.5,02040
2,41,225,135,60.0,0,0.0,0,0.0,0,0.0,0,0.0,90,40.0,02041
2,42,331,194,58.61,1,0.3,1,0.3,0,0.0,0,0.0,135,40.79,02042
2,43,336,189,56.25,1,0.3,1,0.3,0,0.0,1,0.3,144,42.86,02043
2,44,186,128,68.82,0,0.0,1,0.54,0,0.0,0,0.0,57,30.65,02044
2,45,347,200,57.64,3,0.86,2,0.58,0,0.0,0,0.0,142,40.92,02045
2,46,182,88,48.35,0,0.0,1,0.55,0,0.0,0,0.0,93,51.1,02046
3,1,579,358,61.83,6,1.04,1,0.17,0,0.0,2,0.35,212,36.61,03001
3,2,585,436,74.53,3,0.51,0,0.0,0,0.0,0,0.0,146,24.96,03002
3,3,417,294,70.5,3,0.72,0,0.0,1,0.24,2,0.48,117,28.06,03003
3,4,488,290,59.43,4,0.82,0,0.0,0,0.0,0,0.0,194,39.75,03004
3,5,339,228,67.26,2,0.59,1,0.29,0,0.0,0,0.0,108,31.86,03005
3,6,376,215,57.18,1,0.27,1,0.27,0,0.0,0,0.0,159,42.29,03006
3,7,334,247,73.95,6,1.8,0,0.0,0,0.0,0,0.0,81,24.25,03007
3,8,454,274,60.35,7,1.54,2,0.44,0,0.0,2,0.44,169,37.22,03008
