ward,precinct,total,RICHARD M. DALEY,RICHARD M. DALEY Percent,PATRICIA McALLISTER,PATRICIA McALLISTER Percent,"PAUL L. JAKES, JR.","PAUL L. JAKES, JR. Percent",JOSEPH McAFEE,JOSEPH McAFEE Percent,precinct_id
1,1,223,201,90.13,8,3.59,12,5.38,2,0.9,01001
1,2,171,143,83.63,14,8.19,12,7.02,2,1.17,01002
1,3,140,107,76.43,18,12.86,10,7.14,5,3.57,01003
1,4,155,133,85.81,7,4.52,12,7.74,3,1.94,01004
1,5,128,97,75.78,13,10.16,17,13.28,1,0.78,01005
1,6,184,152,82.61,17,9.24,11,5.98,4,2.17,01006
1,7,231,202,87.45,13,5.63,12,5.19,4,1.73,01007
1,8,181,140,77.35,11,6.08,27,14.92,3,1.66,01008
1,9,192,162,84.38,12,6.25,15,7.81,3,1.56,01009
1,10,103,84,81.55,8,7.77,9,8.74,2,1.94,01010
1,11,208,179,86.06,15,7.21,11,5.29,3,1.44,01011
1,12,117,93,79.49,10,8.55,11,9.4,3,2.56,01012
1,13,193,167,86.53,7,3.63,18,9.33,1,0.52,01013
1,14,215,178,82.79,7,3.26,27,12.56,3,1.4,01014
1,15,125,100,80.0,5,4.0,16,12.8,4,3.2,01015
1,16,132,107,81.06,11,8.33,13,9.85,1,0.76,01016
1,17,138,102,73.91,13,9.42,14,10.14,9,6.52,01017
1,18,161,117,72.67,23,14.29,20,12.42,1,0.62,01018
1,19,269,246,91.45,13,4.83,5,1.86,5,1.86,01019
1,20,222,195,87.84,13,5.86,12,5.41,2,0.9,01020
1,21,246,207,84.15,16,6.5,19,7.72,4,1.63,01021
1,22,195,173,88.72,9,4.62,10,5.13,3,1.54,01022
1,23,194,161,82.99,22,11.34,11,5.67,0,0.0,01023
1,24,256,213,83.2,12,4.69,25,9.77,6,2.34,01024
1,25,161,141,87.58,10,6.21,8,4.97,2,1.24,01025
1,26,216,188,87.04,17,7.87,9,4.17,2,0.93,01026
1,27,212,186,87.74,13,6.13,9,4.25,4,1.89,01027
1,28,163,112,68.71,13,7.98,28,17.18,10,6.13,01028
1,29,127,109,85.83,8,6.3,9,7.09,1,0.79,01029
1,30,231,200,86.58,20,8.66,10,4.33,1,0.43,01030
1,31,107,93,86.92,7,6.54,6,5.61,1,0.93,01031
1,32,165,136,82.42,11,6.67,15,9.09,3,1.82,01032
1,33,203,184,90.64,5,2.46,7,3.45,7,3.45,01033
1,34,94,79,84.04,5,5.32,9,9.57,1,1.06,01034
1,35,88,80,90.91,4,4.55,4,4.55,0,0.0,01035
1,36,196,173,88.27,14,7.14,8,4.08,1,0.51,01036
1,37,184,150,81.52,14,7.61,14,7.61,6,3.26,01037
1,38,105,96,91.43,7,6.67,1,0.95,1,0.95,01038
1,39,259,231,89.19,14,5.41,9,3.47,5,1.93,01039
1,40,84,75,89.29,3,3.57,6,7.14,0,0.0,01040
2,1,174,143,82.18,11,6.32,20,11.49,0,0.0,02001
2,2,13,4,30.77,1,7.69,8,61.54,0,0.0,02002
2,3,111,87,78.38,8,7.21,14,12.61,2,1.8,02003
2,4,131,80,61.07,15,11.45,32,24.43,4,3.05,02004
2,5,87,45,51.72,4,4.6,38,43.68,0,0.0,02005
2,6,57,50,87.72,5,8.77,2,3.51,0,0.0,02006
2,7,216,122,56.48,19,8.8,69,31.94,6,2.78,02007
2,8,219,182,83.11,14,6.39,20,9.13,3,1.37,02008
2,9,107,51,47.66,14,13.08,42,39.25,0,0.0,02009
2,10,53,28,52.83,6,11.32,17,32.08,2,3.77,02010
2,11,108,94,87.04,4,3.7,10,9.26,0,0.0,02011
2,12,91,79,86.81,7,7.69,5,5.49,0,0.0,02012
2,13,140,107,76.43,8,5.71,24,17.14,1,0.71,02013
2,14,279,190,68.1,24,8.6,61,21.86,4,1.43,02014
2,15,57,30,52.63,6,10.53,21,36.84,0,0.0,02015
2,16,102,72,70.59,7,6.86,22,21.57,1,0.98,02016
2,17,149,81,54.36,15,10.07,49,32.89,4,2.68,02017
2,18,284,253,89.08,13,4.58,17,5.99,1,0.35,02018
2,19,122,80,65.57,9,7.38,26,21.31,7,5.74,02019
2,20,197,137,69.54,9,4.57,43,21.83,8,4.06,02020
2,21,244,186,76.23,14,5.74,39,15.98,5,2.05,02021
2,22,304,260,85.53,7,2.3,36,11.84,1,0.33,02022
2,23,109,58,53.21,16,14.68,32,29.36,3,2.75,02023
2,24,93,56,60.22,9,9.68,28,30.11,0,0.0,02024
2,25,81,49,60.49,8,9.88,21,25.93,3,3.7,02025
2,26,171,136,79.53,10,5.85,21,12.28,4,2.34,02026
2,27,145,83,57.24,10,6.9,46,31.72,6,4.14,02027
2,28,43,36,83.72,2,4.65,5,11.63,0,0.0,02028
2,29,65,54,83.08,1,1.54,10,15.38,0,0.0,02029
2,30,91,57,62.64,12,13.19,22,24.18,0,0.0,02030
2,31,195,117,60.0,18,9.23,58,29.74,2,1.03,02031
2,32,60,35,58.33,6,10.0,15,25.0,4,6.67,02032
2,33,100,37,37.0,5,5.0,57,57.0,1,1.0,02033
2,34,222,150,67.57,6,2.7,64,28.83,2,0.9,02034
2,35,54,46,85.19,1,1.85,7,12.96,0,0.0,02035
2,36,80,50,62.5,7,8.75,21,26.25,2,2.5,02036
2,37,180,158,87.78,4,2.22,15,8.33,3,1.67,02037
2,38,177,119,67.23,10,5.65,45,25.42,3,1.69,02038
2,39,144,112,77.78,9,6.25,22,15.28,1,0.69,02039
2,40,203,152,74.88,14,6.9,34,16.75,3,1.48,02040
2,41,101,50,49.5,7,6.93,44,43.56,0,0.0,02041
2,42,58,45,77.59,2,3.45,8,13.79,3,5.17,02042
2,43,272,225,82.72,18,6.62,29,10.66,0,0.0,02043
2,44,144,94,65.28,8,5.56,36,25.0,6,4.17,02044
2,45,141,72,51.06,12,8.51,54,38.3,3,2.13,02045
2,46,271,168,61.99,19,7.01,79,29.15,5,1.85,02046
2,47,120,56,46.67,7,5.83,54,45.0,3,2.5,02047
2,48,105,64,60.95,5,4.76,35,33.33,1,0.95,02048
2,49,119,101,84.87,5,4.2,11,9.24,2,1.68,02049
2,50,119,98,82.35,8,6.72,13,10.92,0,0.0,02050
2,51,149,98,65.77,12,8.05,37,24.83,2,1.34,02051
2,52,149,82,55.03,19,12.75,47,31.54,1,0.67,02052
2,53,64,36,56.25,8,12.5,19,29.69,1,1.56,02053
2,54,176,154,87.5,5,2.84,14,7.95,3,1.7,02054
2,55,44,35,79.55,2,4.55,6,13.64,1,2.27,02055
2,56,136,61,44.85,14,10.29,60,44.12,1,0.74,02056
2,57,125,87,69.6,4,3.2,29,23.2,5,4.0,02057
2,58,79,61,77.22,7,8.86,10,12.66,1,1.27,02058
2,59,210,179,85.24,8,3.81,22,10.48,1,0.48,02059
3,1,162,90,55.56,13,8.02,54,33.33,5,3.09,03001
3,2,288,181,62.85,17,5.9,86,29.86,4,1.39,03002
3,3,121,101,83.47,4,3.31,14,11.57,2,1.65,03003
3,4,63,29,46.03,8,12.7,23,36.51,3,4.76,03004
3,5,108,52,48.15,15,13.89,39,36.11,2,1.85,03005
3,6,91,55,60.44,12,13.19,19,20.88,5,5.49,03006
3,7,209,136,65.07,3,1.44,63,30.14,7,3.35,03007
3,8,25,13,52.0,2,8.0,9,36.0,1,4.0,03008
3,9,154,93,60.39,18,11.69,40,25.97,3,1.95,03009
3,10,88,52,59.09,5,5.68,28,31.82,3,3.41,03010
3,11,94,50,53.19,7,7.45,30,31.91,7,7.45,03011
3,12,205,119,58.05,18,8.78,64,31.22,4,1.95,03012
3,13,152,137,90.13,5,3.29,8,5.26,2,1.32,03013
3,14,110,75,68.18,7,6.36,20,18.18,8,7.27,03014
3,15,209,114,54.55,28,13.4,61,29.19,6,2.87,03015
3,16,339,209,61.65,25,7.37,100,29.5,5,1.47,03016
3,17,121,75,61.98,8,6.61,37,30.58,1,0.83,03017
3,18,129,65,50.39,12,9.3,49,37.98,3,2.33,03018
3,19,50,22,44.0,3,6.0,21,42.0,4,8.0,03019
3,20,28,19,67.86,3,10.71,4,14.29,2,7.14,03020
3,21,91,54,59.34,5,5.49,29,31.87,3,3.3,03021
3,22,109,68,62.39,8,7.34,32,29.36,1,0.92,03022
3,23,24,11,45.83,2,8.33,11,45.83,0,0.0,03023
3,24,157,87,55.41,10,6.37,57,36.31,3,1.91,03024
3,25,33,13,39.39,8,24.24,11,33.33,1,3.03,03025
3,26,120,73,60.83,5,4.17,41,34.17,1,0.83,03026
3,27,10,4,40.0,2,20.0,3,30.0,1,10.0,03027
3,28,84,47,55.95,10,11.9,22,26.19,5,5.95,03028
3,29,158,102,64.56,16,10.13,36,22.78,4,2.53,03029
3,30,137,72,52.55,16,11.68,47,34.31,2,1.46,03030
3,31,274,173,63.14,20,7.3,81,29.56,0,0.0,03031
3,32,110,70,63.64,11,10.0,23,20.91,6,5.45,03032
3,33,191,110,57.59,21,10.99,56,29.32,4,2.09,03033
3,34,134,78,58.21,11,8.21,42,31.34,3,2.24,03034
3,35,160,89,55.63,13,8.13,55,34.38,3,1.88,03035
3,36,84,47,55.95,5,5.95,31,36.9,1,1.19,03036
3,37,90,48,53.33,13,14.44,26,28.89,3,3.33,03037
3,38,36,25,69.44,2,5.56,9,25.0,0,0.0,03038
3,39,319,228,71.47,19,5.96,67,21.0,5,1.57,03039
3,40,211,131,62.09,16,7.58,59,27.96,5,2.37,03040
3,41,173,115,66.47,14,8.09,42,24.28,2,1.16,03041
3,42,100,57,57.0,10,10.0,30,30.0,3,3.0,03042
3,43,77,61,79.22,5,6.49,10,12.99,1,1.3,03043
3,44,59,39,66.1,4,6.78,16,27.12,0,0.0,03044
3,45,84,36,42.86,13,15.48,33,39.29,2,2.38,03045
3,46,195,145,74.36,16,8.21,31,15.9,3,1.54,03046
3,47,107,61,57.01,15,14.02,29,27.1,2,1.87,03047
3,48,134,75,55.97,15,11.19,39,29.1,5,3.73,03048
3,49,47,22,46.81,3,6.38,22,46.81,0,0.0,03049
3,50,183,120,65.57,15,8.2,46,25.14,2,1.09,03050
3,51,63,50,79.37,8,12.7,4,6.35,1,1.59,03051
3,52,78,42,53.85,9,11.54,25,32.05,2,2.56,03052
3,53,190,144,75.79,15,7.89,26,13.68,5,2.63,03053
3,54,150,137,91.33,3,2.0,9,6.0,1,0.67,03054
3,55,113,56,49.56,18,15.93,38,33.63,1,0.88,03055
3,56,151,80,52.98,16,10.6,53,35.1,2,1.32,03056
3,57,171,93,54.39,17,9.94,58,33.92,3,1.75,03057
3,58,65,30,46.15,9,13.85,25,38.46,1,1.54,03058
3,59,72,41,56.94,5,6.94,21,29.17,5,6.94,03059
3,60,143,85,59.44,15,10.49,42,29.37,1,0.7,03060
3,61,148,102,68.92,13,8.78,31,20.95,2,1.35,03061
3,62,82,48,58.54,10,12.2,17,20.73,7,8.54,03062
3,63,93,74,79.57,6,6.45,9,9.68,4,4.3,03063
4,1,158,94,59.49,24,15.19,36,22.78,4,2.53,04001
4,2,249,160,64.26,24,9.64,61,24.5,4,1.61,04002
4,3,259,143,55.21,29,11.2,80,30.89,7,2.7,04003
4,4,282,157,55.67,23,8.16,95,33.69,7,2.48,04004
4,5,207,106,51.21,25,12.08,73,35.27,3,1.45,04005
4,6,98,37,37.76,12,12.24,46,46.94,3,3.06,04006
4,7,174,108,62.07,12,6.9,50,28.74,4,2.3,04007
4,8,198,115,58.08,21,10.61,57,28.79,5,2.53,04008
4,9,392,251,64.03,36,9.18,101,25.77,4,1.02,04009
4,10,191,101,52.88,17,8.9,70,36.65,3,1.57,04010
4,11,183,108,59.02,16,8.74,57,31.15,2,1.09,04011
4,12,101,46,45.54,16,15.84,37,36.63,2,1.98,04012
4,13,160,112,70.0,8,5.0,39,24.38,1,0.63,04013
4,14,116,55,47.41,17,14.66,39,33.62,5,4.31,04014
4,15,88,41,46.59,10,11.36,35,39.77,2,2.27,04015
4,16,246,170,69.11,14,5.69,59,23.98,3,1.22,04016
4,17,249,176,70.68,16,6.43,54,21.69,3,1.2,04017
4,18,204,126,61.76,18,8.82,53,25.98,7,3.43,04018
4,19,216,125,57.87,21,9.72,63,29.17,7,3.24,04019
4,20,62,32,51.61,6,9.68,19,30.65,5,8.06,04020
4,21,236,155,65.68,19,8.05,56,23.73,6,2.54,04021
4,22,223,158,70.85,15,6.73,49,21.97,1,0.45,04022
4,23,146,90,61.64,17,11.64,38,26.03,1,0.68,04023
4,24,225,141,62.67,22,9.78,58,25.78,4,1.78,04024
4,25,214,132,61.68,17,7.94,64,29.91,1,0.47,04025
4,26,213,117,54.93,17,7.98,69,32.39,10,4.69,04026
4,27,239,135,56.49,23,9.62,72,30.13,9,3.77,04027
4,28,129,95,73.64,10,7.75,24,18.6,0,0.0,04028
4,29,135,97,71.85,7,5.19,29,21.48,2,1.48,04029
4,30,69,43,62.32,6,8.7,19,27.54,1,1.45,04030
4,31,55,23,41.82,7,12.73,23,41.82,2,3.64,04031
4,32,178,133,74.72,7,3.93,38,21.35,0,0.0,04032
4,33,80,46,57.5,6,7.5,25,31.25,3,3.75,04033
4,34,130,103,79.23,6,4.62,19,14.62,2,1.54,04034
4,35,98,56,57.14,9,9.18,33,33.67,0,0.0,04035
4,36,102,66,64.71,5,4.9,27,26.47,4,3.92,04036
4,37,129,65,50.39,17,13.18,45,34.88,2,1.55,04037
4,38,267,177,66.29,16,5.99,71,26.59,3,1.12,04038
4,39,100,47,47.0,13,13.0,37,37.0,3,3.0,04039
4,40,165,107,64.85,9,5.45,46,27.88,3,1.82,04040
4,41,80,56,70.0,8,10.0,16,20.0,0,0.0,04041
4,42,266,178,66.92,25,9.4,62,23.31,1,0.38,04042
4,43,124,83,66.94,14,11.29,25,20.16,2,1.61,04043
4,44,107,69,64.49,8,7.48,28,26.17,2,1.87,04044
4,45,339,250,73.75,18,5.31,66,19.47,5,1.47,04045
4,46,152,78,51.32,15,9.87,56,36.84,3,1.97,04046
4,47,221,138,62.44,13,5.88,67,30.32,3,1.36,04047
4,48,259,181,69.88,19,7.34,52,20.08,7,2.7,04048
4,49,111,77,69.37,8,7.21,21,18.92,5,4.5,04049
4,50,199,127,63.82,13,6.53,50,25.13,9,4.52,04050
4,51,250,152,60.8,21,8.4,72,28.8,5,2.0,04051
4,52,40,24,60.0,5,12.5,10,25.0,1,2.5,04052
4,53,213,136,63.85,16,7.51,58,27.23,3,1.41,04053
4,54,89,59,66.29,8,8.99,20,22.47,2,2.25,04054
4,55,102,70,68.63,8,7.84,24,23.53,0,0.0,04055
4,56,250,145,58.0,30,12.0,67,26.8,8,3.2,04056
4,57,123,81,65.85,14,11.38,28,22.76,0,0.0,04057
5,1,195,105,53.85,14,7.18,74,37.95,2,1.03,05001
5,2,141,83,58.87,6,4.26,47,33.33,5,3.55,05002
5,3,87,53,60.92,7,8.05,25,28.74,2,2.3,05003
5,4,139,67,48.2,14,10.07,56,40.29,2,1.44,05004
5,5,161,87,54.04,18,11.18,52,32.3,4,2.48,05005
5,6,218,111,50.92,31,14.22,72,33.03,4,1.83,05006
5,7,200,117,58.5,18,9.0,63,31.5,2,1.0,05007
5,8,171,134,78.36,11,6.43,26,15.2,0,0.0,05008
5,9,164,97,59.15,12,7.32,46,28.05,9,5.49,05009
5,10,188,102,54.26,21,11.17,62,32.98,3,1.6,05010
5,11,168,108,64.29,19,11.31,35,20.83,6,3.57,05011
5,12,134,89,66.42,11,8.21,33,24.63,1,0.75,05012
5,13,166,90,54.22,12,7.23,63,37.95,1,0.6,05013
5,14,206,144,69.9,12,5.83,47,22.82,3,1.46,05014
5,15,144,80,55.56,15,10.42,45,31.25,4,2.78,05015
5,16,124,67,54.03,9,7.26,44,35.48,4,3.23,05016
5,17,225,129,57.33,16,7.11,69,30.67,11,4.89,05017
5,18,195,125,64.1,15,7.69,49,25.13,6,3.08,05018
5,19,104,66,63.46,4,3.85,33,31.73,1,0.96,05019
5,20,76,45,59.21,7,9.21,19,25.0,5,6.58,05020
5,21,211,126,59.72,20,9.48,60,28.44,5,2.37,05021
