ward,precinct,total,Rosa Pritchett,Rosa Pritchett Percent,precinct_id
15,1,9,9,100.0,15001
15,2,1,1,100.0,15002
15,3,1,1,100.0,15003
15,4,1,1,100.0,15004
15,5,0,0,0.0,15005
15,6,4,4,100.0,15006
15,7,0,0,0.0,15007
15,8,0,0,0.0,15008
15,9,6,6,100.0,15009
15,10,10,10,100.0,15010
15,11,0,0,0.0,15011
15,12,0,0,0.0,15012
15,13,3,3,100.0,15013
15,14,4,4,100.0,15014
15,15,5,5,100.0,15015
15,16,1,1,100.0,15016
15,17,2,2,100.0,15017
15,18,0,0,0.0,15018
15,19,0,0,0.0,15019
15,20,0,0,0.0,15020
15,21,0,0,0.0,15021
15,22,0,0,0.0,15022
15,23,2,2,100.0,15023
15,24,7,7,100.0,15024
15,25,2,2,100.0,15025
15,26,0,0,0.0,15026
15,27,4,4,100.0,15027
15,28,6,6,100.0,15028
15,29,1,1,100.0,15029
15,30,1,1,100.0,15030
15,31,0,0,0.0,15031
15,32,1,1,100.0,15032
15,33,2,2,100.0,15033
15,34,1,1,100.0,15034
15,35,0,0,0.0,15035
15,36,0,0,0.0,15036
15,37,0,0,0.0,15037
15,38,2,2,100.0,15038
15,39,1,1,100.0,15039
15,40,0,0,0.0,15040
15,41,4,4,100.0,15041
15,42,0,0,0.0,15042
